Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CK A549 2_lxb\Human CK A549 2_P1_A5.lxb Human CK A549 2 
"EventNo","RID","RP1","CL1","CL2"
"1","63","2186","478","2900"
"2","75","15","729","4681"
"3","57","10","4032","1508"
"4","57","12","4443","1636"
"5","63","2921","449","2795"
"6","63","3011","447","2947"
"7","63","1791","408","2673"
"8","75","15","724","4849"
"9","63","2254","458","2846"
"10","57","32","4228","1573"
"11","57","14","3918","1459"
"12","57","12","4170","1599"
"13","75","19","714","4726"
"14","57","13","4315","1654"
"15","57","13","4419","1626"
"16","75","33","758","4813"
"17","63","199","446","2725"
"18","75","15","724","4644"
"19","75","18","727","4680"
"20","75","19","702","4592"
"21","75","11","769","4937"
"22","77","6","2172","4392"
"23","75","6","780","4940"
"24","63","1562","410","2648"
"25","75","20","751","4742"
"26","63","2418","418","2770"
"27","63","1990","426","2692"
"28","57","19","3838","1442"
"29","75","34","691","4692"
"30","63","2138","447","2749"
"31","63","1515","471","2870"
"32","63","1836","439","2823"
"33","63","2415","442","2862"
"34","75","15","757","5197"
"35","75","12","722","4714"
"36","57","17","4159","1635"
"37","57","12","4077","1574"
"38","63","2104","446","2804"
"39","75","13","729","4886"
"40","63","2441","444","2809"
"41","57","23","4291","1682"
"42","57","17","4427","1637"
"43","75","12","668","4487"
"44","63","2358","409","2591"
"45","57","17","3962","1492"
"46","75","18","722","4645"
"47","57","19","3860","1484"
"48","57","14","4006","1534"
"49","75","10","734","4635"
"50","63","2386","438","2911"
"51","57","12","3914","1480"
"52","57","22","4116","1544"
"53","63","2670","450","2950"
"54","75","24","774","5069"
"55","63","1977","411","2594"
"56","75","9","756","4886"
"57","57","12","4246","1608"
"58","57","19","4356","1668"
"59","57","17","4250","1592"
"60","75","14","758","4794"
"61","63","1869","464","3131"
"62","63","288","422","2818"
"63","75","13","729","4845"
"64","63","1795","464","3129"
"65","57","15","4223","1636"
"66","57","22","3905","1510"
"67","75","21","758","4684"
"68","75","11","703","4551"
"69","63","2151","429","2763"
"70","63","2501","473","2890"
"71","57","13","4033","1571"
"72","75","18","747","4907"
"73","63","2782","420","2691"
"74","63","2803","450","2847"
"75","57","17","4238","1632"
"76","75","11","730","4784"
"77","75","40","707","4567"
"78","75","48","711","4834"
"79","63","2019","442","2819"
"80","75","9","747","4876"
"81","63","2897","432","2735"
"82","57","18","4113","1558"
"83","63","2159","444","2790"
"84","75","16","721","4754"
"85","57","20","4158","1590"
"86","75","19","706","4545"
"87","63","1774","432","2750"
"88","63","1783","418","2733"
"89","57","18","4096","1592"
"90","63","1948","432","2753"
"91","75","147","731","4776"
"92","75","12","702","4535"
"93","57","13","4232","1619"
"94","57","17","3923","1539"
"95","57","10","4048","1545"
"96","63","2525","442","2841"
"97","63","2527","465","2958"
"98","63","1688","430","2776"
"99","63","1457","451","2849"
"100","75","14","732","4779"
"101","57","15","3916","1493"
"102","63","1600","418","2722"
"103","57","28","4224","1632"
"104","57","15","4071","1581"
"105","57","11","4094","1586"
"106","57","9","4237","1643"
"107","57","19","4220","1615"
"108","57","20","4044","1573"
"109","57","11","4251","1630"
"110","57","12","4193","1634"
"111","63","1925","434","2793"
"112","57","15","4105","1572"
"113","63","1700","446","2890"
"114","63","2640","456","2905"
"115","75","22","749","4903"
"116","57","12","4117","1595"
"117","75","18","681","4604"
"118","75","8","768","5014"
"119","75","17","712","4707"
"120","63","1964","451","2925"
"121","57","12","4274","1630"
"122","57","18","4253","1619"
"123","57","14","3862","1511"
"124","57","13","4136","1588"
"125","57","17","4289","1665"
"126","75","17","708","4794"
"127","57","23","4202","1564"
"128","63","2418","432","2826"
"129","57","9","4385","1676"
"130","75","21","716","4833"
"131","63","2090","430","2791"
"132","75","8","763","5179"
"133","63","204","437","2856"
"134","63","1985","478","2957"
"135","63","2356","467","2886"
"136","57","24","4206","1603"
"137","0","31","1189","6849"
"138","63","1646","454","2836"
"139","57","14","4192","1620"
"140","75","12","746","4998"
"141","57","14","4155","1621"
"142","57","16","4244","1658"
"143","57","16","3976","1488"
"144","63","1637","461","2919"
