Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CK A549 2_lxb\Human CK A549 2_P1_B3.lxb Human CK A549 2 
"EventNo","RID","RP1","CL1","CL2"
"1","75","1021","703","4594"
"2","57","2605","4011","1523"
"3","75","958","737","4758"
"4","63","2786","450","2873"
"5","63","2625","431","2720"
"6","57","2400","4016","1513"
"7","63","3090","445","2783"
"8","63","2730","421","2647"
"9","63","2622","437","2826"
"10","75","1327","773","4860"
"11","75","1710","771","4956"
"12","75","684","735","4958"
"13","63","180","445","2846"
"14","57","2411","4275","1561"
"15","63","2275","448","2868"
"16","75","1159","716","4639"
"17","63","2428","443","2744"
"18","63","2556","444","2747"
"19","63","2659","439","2674"
"20","75","1582","745","4753"
"21","77","7","2187","4404"
"22","75","1368","707","4760"
"23","57","10354","4193","1547"
"24","57","1625","4077","1587"
"25","63","3073","421","2740"
"26","75","978","723","4474"
"27","57","2423","3718","1403"
"28","63","2069","430","2697"
"29","63","1936","438","2704"
"30","57","1592","4230","1576"
"31","57","1797","4016","1479"
"32","75","1872","742","4890"
"33","57","1712","4262","1598"
"34","57","1916","4019","1507"
"35","57","1301","3982","1542"
"36","75","1187","733","4940"
"37","57","2537","4215","1630"
"38","57","5726","4239","1606"
"39","75","1292","766","4762"
"40","63","657","418","2616"
"41","75","1216","711","4712"
"42","75","1472","718","4822"
"43","75","1475","783","4923"
"44","63","2798","450","2813"
"45","75","1083","722","4916"
"46","57","2454","4182","1555"
"47","57","514","4069","1528"
"48","75","128","705","4800"
"49","75","10","736","4921"
"50","75","1339","757","4805"
"51","75","264","761","5026"
"52","75","943","719","4764"
"53","57","1935","4083","1582"
"54","63","2300","448","2828"
"55","63","1997","450","2869"
"56","57","2212","3995","1537"
"57","63","2580","424","2796"
"58","63","3882","406","2640"
"59","75","1225","732","4820"
"60","75","958","757","4905"
"61","75","913","768","4948"
"62","63","4281","434","2769"
"63","75","1207","722","4793"
"64","63","2414","423","2707"
"65","57","2637","4022","1545"
"66","63","1719","438","2860"
"67","75","1024","715","4639"
"68","75","858","756","4920"
"69","63","2807","439","2896"
"70","63","2911","477","3035"
"71","75","1831","733","4810"
"72","63","2264","443","2760"
"73","57","3459","4057","1605"
"74","63","2621","443","2798"
"75","75","1081","711","4694"
"76","63","2401","396","2652"
"77","57","2271","4058","1600"
"78","63","4209","454","2917"
"79","57","2018","4282","1616"
"80","63","3075","434","2819"
"81","57","2641","4157","1634"
"82","57","2052","4173","1617"
"83","57","2274","4200","1612"
"84","63","2518","418","2653"
"85","57","14","4416","1698"
"86","57","2687","4309","1824"
"87","63","2048","436","2805"
"88","57","2115","4192","1654"
"89","57","2579","4227","1664"
"90","75","1109","693","4710"
"91","63","2682","432","2837"
"92","75","1132","751","5105"
"93","57","4246","4085","1559"
"94","57","1434","4191","1628"
"95","75","1533","843","5516"
"96","63","2101","448","2928"
"97","63","325","426","2724"
"98","57","3491","4136","1604"
"99","57","2256","4194","1601"
"100","57","104","4395","1690"
"101","75","940","747","4877"
"102","75","987","744","4904"
"103","57","3760","4190","1612"
"104","57","1647","4169","1578"
"105","75","1469","749","4903"
"106","63","2195","464","2912"
"107","75","967","755","4947"
"108","57","1364","4330","1622"
"109","75","1174","734","4780"
"110","75","1092","742","4790"
"111","75","1173","741","4908"
"112","75","1216","700","4675"
"113","57","2024","4008","1557"
"114","75","913","751","5010"
"115","75","1314","753","4900"
"116","75","1459","769","4924"
"117","57","2788","4324","1682"
"118","63","1831","423","2760"
"119","63","2168","449","2843"
"120","75","1022","705","4723"
"121","75","214","744","4817"
"122","57","2600","4044","1574"
"123","63","2552","407","2627"
"124","63","3132","442","2787"
"125","57","5768","4018","1549"
"126","75","1036","719","4703"
"127","63","2903","447","2926"
"128","75","1374","746","4947"
"129","75","898","741","4922"
"130","57","3767","4221","1654"
"131","63","3380","457","2868"
"132","75","796","782","4900"
"133","75","1984","713","4688"
"134","57","2050","4277","1655"
"135","75","938","741","4797"
"136","63","2202","422","2714"
"137","75","1150","659","4444"
"138","57","1790","4367","1646"
"139","57","2404","4102","1574"
"140","63","2526","450","2916"
"141","57","1809","3870","1484"
"142","57","307","4082","1549"
"143","57","2653","4363","1698"
"144","57","2302","4089","1556"
"145","57","1621","4310","1682"
"146","75","1097","704","4646"
"147","75","1098","800","5408"
"148","57","2344","4108","1592"
"149","72","6","160","4288"
"150","75","2171","735","4906"
"151","75","1151","744","4850"
"152","75","1447","770","5104"
"153","75","568","749","4936"
"154","75","1164","762","4953"
"155","75","1040","737","4779"
"156","75","1266","734","4857"
"157","57","1269","4157","1660"
"158","75","1389","749","4910"
"159","57","2551","4414","1695"
"160","75","1435","719","4802"
"161","57","4459","4297","1650"
"162","63","1658","429","2833"
"163","75","2165","705","4580"
"164","75","3147","714","4721"
"165","57","2073","4247","1627"
"166","75","629","769","5007"
"167","57","2772","4251","1653"
"168","75","1145","758","4953"
"169","57","1723","4242","1625"
"170","63","2455","435","2825"
"171","75","479","763","5111"
"172","57","1853","4084","1577"
"173","63","2343","430","2809"
"174","63","292","442","2827"
"175","57","2618","4374","1699"
"176","63","3268","440","2844"
"177","75","1062","770","5007"
"178","75","1684","742","4877"
"179","57","2037","3967","1525"
"180","57","1460","4062","1545"
"181","57","2270","3917","1515"
"182","75","990","764","5073"
"183","75","2121","751","4940"
"184","57","2439","4263","1616"
"185","63","3177","438","2872"
"186","63","2627","441","2778"
"187","75","1460","698","4638"
"188","75","830","732","4780"
"189","57","2222","4054","1541"
"190","57","2778","4257","1593"
"191","63","1950","427","2787"
"192","63","2626","455","2834"
"193","63","2785","423","2724"
"194","75","1220","708","4699"
"195","75","40","721","4803"
"196","57","1941","4067","1538"
"197","75","1230","756","4907"
"198","57","2151","4338","1656"
"199","57","2852","4096","1523"
"200","63","2679","455","2932"
"201","63","2579","448","2902"
"202","57","2318","4241","1647"
"203","75","1229","732","4864"
"204","63","2172","436","2869"
"205","63","2597","442","2812"
"206","75","1255","761","4914"
"207","57","2152","4150","1580"
"208","75","1080","761","4906"
"209","57","2460","4148","1602"
"210","75","893","708","4712"
"211","75","109","793","5026"
"212","63","2513","434","2748"
"213","57","2931","4340","1665"
"214","57","22","4118","1570"
"215","75","944","716","4726"
"216","57","1657","4178","1574"
"217","57","318","4203","1584"
"218","57","2315","4008","1536"
"219","75","1066","702","4590"
"220","57","2961","4335","1649"
"221","63","2612","427","2701"
"222","57","1963","4352","1676"
"223","75","1638","756","4941"
"224","75","1523","722","4866"
"225","63","2648","451","2875"
"226","63","2407","465","2727"
"227","57","2654","3792","1466"
"228","63","993","444","2844"
"229","57","2281","4128","1569"
"230","63","2462","444","2855"
"231","75","1836","719","4729"
"232","75","1461","740","4896"
"233","72","13","186","4571"
"234","63","3168","443","2852"
"235","75","1038","728","4757"
"236","63","2911","464","2946"
"237","75","1393","754","4998"
"238","57","2823","4132","1579"
"239","63","2950","445","2817"
"240","63","312","449","2875"
"241","63","4142","418","2657"
"242","63","1968","445","2882"
"243","75","2286","699","4661"
"244","63","1896","439","2822"
"245","75","1053","740","4850"
"246","63","3056","444","2862"
"247","75","979","778","5083"
"248","57","3870","4261","1609"
"249","75","1112","728","4787"
"250","63","2725","442","2821"
"251","63","2557","453","2889"
"252","63","2027","426","2797"
"253","63","2793","440","2795"
"254","57","2104","4346","1666"
"255","75","325","687","4542"
"256","57","3008","4093","1567"
"257","57","2618","4290","1625"
"258","63","3006","442","2846"
"259","57","2476","4234","1588"
"260","57","295","3868","1482"
"261","57","2654","4118","1575"
"262","75","1382","762","4946"
"263","75","1380","729","4896"
"264","63","1845","432","2841"
"265","63","1866","397","2531"
"266","57","2088","3921","1524"
"267","57","2621","4269","1636"
"268","75","24","732","4744"
"269","63","2795","454","2913"
"270","57","2350","4067","1558"
"271","57","3172","4010","1534"
"272","75","319","741","4756"
"273","57","2518","4298","1636"
"274","63","3578","427","2724"
"275","63","3030","445","2865"
"276","57","2418","4266","1609"
"277","57","1936","3953","1505"
"278","63","2493","453","2863"
"279","63","413","464","2937"
"280","57","2051","4073","1568"
"281","63","1849","419","2734"
"282","75","1114","718","4753"
"283","75","1197","785","5066"
"284","75","1389","694","4596"
"285","63","138","435","2779"
"286","57","1985","4168","1582"
"287","63","2532","440","2845"
"288","75","1321","687","4579"
"289","63","3676","441","2757"
"290","57","1630","4193","1572"
"291","75","1333","737","4833"
"292","75","1026","710","4607"
"293","75","1192","711","4652"
"294","63","1988","442","2740"
"295","57","1697","4096","1555"
"296","63","1994","434","2794"
"297","75","1004","724","4704"
"298","75","858","776","4913"
"299","63","2784","412","2642"
"300","63","3160","446","2901"
"301","75","1352","703","4628"
"302","75","1716","768","5019"
"303","63","2264","443","2844"
"304","75","938","707","4655"
"305","57","2277","4147","1606"
"306","75","988","712","4649"
"307","75","131","754","4919"
"308","57","3252","3916","1509"
"309","57","2321","3836","1546"
"310","57","675","3909","1467"
"311","75","1185","730","4716"
"312","75","751","681","4512"
"313","57","20","4103","1560"
"314","63","2650","449","2851"
"315","75","1184","748","4835"
"316","57","1855","3987","1565"
"317","63","2600","426","2628"
"318","63","2784","428","2792"
"319","63","2290","438","2801"
"320","75","911","716","4657"
"321","57","2485","4174","1585"
"322","57","2000","3949","1490"
"323","63","564","424","2711"
"324","57","4206","4046","1547"
"325","57","2265","3989","1558"
"326","75","1110","686","4519"
"327","75","1351","731","4694"
"328","75","1040","765","4984"
"329","75","1434","745","4873"
"330","63","2430","417","2703"
"331","75","560","686","4609"
"332","63","2377","438","2819"
"333","75","598","688","4441"
"334","75","969","710","4666"
"335","57","4934","4105","1585"
"336","63","4195","444","2776"
"337","57","2611","3932","1493"
"338","75","1101","731","4695"
"339","75","1223","699","4575"
"340","63","5061","429","2726"
"341","75","1668","768","4881"
"342","57","2888","4253","1620"
"343","75","1289","724","4697"
"344","75","878","716","4658"
"345","57","2137","4325","1672"
"346","63","2813","408","2657"
"347","57","2001","4176","1602"
"348","57","3016","3969","1497"
"349","63","2054","448","2861"
"350","75","2196","741","4933"
"351","63","71","437","2784"
"352","63","2818","435","2770"
"353","57","1502","3955","1475"
"354","75","1234","726","4827"
"355","75","109","759","4772"
"356","75","1131","702","4607"
"357","75","1000","769","4991"
"358","57","17","4033","1531"
"359","57","177","4097","1584"
"360","57","4398","4050","1532"
"361","63","2077","445","2807"
"362","57","3170","4230","1597"
"363","75","1166","718","4717"
"364","63","2511","439","2780"
"365","75","83","730","4751"
"366","57","2728","4127","1584"
"367","75","1186","723","4770"
"368","63","2813","455","2948"
"369","75","1592","745","4835"
"370","57","6848","4273","1621"
"371","75","1198","719","4624"
"372","75","1262","751","4963"
"373","75","1394","701","4584"
"374","57","1599","3930","1587"
"375","75","108","781","5017"
"376","0","5272","3834","1699"
"377","57","2169","4266","1624"
"378","57","1662","4120","1543"
"379","76","1417","1239","4731"
"380","63","3109","443","2871"
"381","57","2044","4138","1566"
"382","63","3253","451","2801"
"383","75","1190","649","4401"
"384","57","1356","4204","1610"
"385","75","1772","706","4595"
"386","75","1253","724","4629"
"387","75","1057","718","4649"
"388","75","1101","761","4950"
"389","75","1371","708","4592"
"390","75","1367","769","4876"
"391","63","3336","427","2720"
"392","63","1660","448","2836"
"393","63","1943","425","2759"
"394","63","2922","437","2800"
"395","63","2326","434","2746"
"396","75","1147","688","4616"
"397","75","700","716","4791"
"398","63","3727","432","2837"
"399","57","2632","3971","1531"
"400","75","1573","704","4580"
"401","57","1783","4214","1616"
"402","75","1153","719","4686"
"403","75","734","711","4615"
"404","57","5214","4134","1600"
"405","63","1616","426","2688"
"406","75","987","726","4664"
"407","63","2689","453","2852"
"408","57","852","4108","1534"
"409","75","1150","703","4648"
"410","63","2277","425","2692"
"411","63","2208","447","2851"
"412","57","2517","4171","1563"
"413","63","3963","440","2873"
"414","57","3411","4085","1595"
"415","57","4167","4357","1666"
"416","57","2251","4035","1526"
"417","75","1024","726","4756"
"418","63","3463","461","2902"
"419","63","2640","441","2838"
"420","57","1932","4198","1618"
"421","75","1323","773","4893"
"422","57","2225","4118","1587"
"423","57","2148","3977","1528"
"424","57","1428","3740","1491"
"425","63","2499","458","2878"
"426","63","2326","433","2739"
"427","75","1100","740","4798"
"428","57","5510","4198","1595"
"429","75","88","719","4644"
"430","57","3921","4044","1527"
"431","57","2140","4140","1564"
"432","75","2926","744","4746"
"433","75","73","699","4483"
"434","57","1915","4037","1555"
"435","75","1177","717","4686"
"436","63","2677","444","2811"
"437","75","1397","757","4919"
"438","75","1090","748","4846"
"439","75","1033","689","4430"
"440","63","455","449","2838"
"441","75","974","773","4995"
"442","63","2362","430","2787"
"443","57","2042","4062","1553"
"444","63","2004","450","2919"
"445","63","2682","429","2749"
"446","75","650","737","4816"
"447","75","1074","751","4919"
"448","75","1067","750","4837"
"449","75","1182","758","4920"
"450","63","4460","433","2809"
"451","63","2325","435","2745"
"452","63","2733","424","2683"
"453","57","2314","4132","1586"
"454","63","36","452","2923"
"455","75","1242","716","4628"
"456","57","459","4309","1660"
"457","57","2942","4220","1608"
"458","75","1110","780","4953"
"459","57","2697","4043","1511"
"460","57","2462","3772","1466"
"461","75","36","807","5082"
"462","57","11","4122","1560"
"463","57","2682","4156","1570"
"464","75","19","776","4880"
"465","63","1858","447","2849"
"466","57","2128","4157","1592"
"467","63","1729","456","2876"
"468","57","1486","4277","1617"
"469","75","1366","789","5067"
"470","75","1264","753","4803"
"471","57","1696","4082","1528"
"472","75","78","735","4784"
"473","75","163","743","4889"
"474","75","1267","754","4855"
"475","57","2668","4285","1599"
"476","75","263","717","4670"
"477","75","1228","738","4780"
"478","57","2243","4087","1539"
"479","75","1632","747","4916"
"480","57","105","3861","1481"
"481","75","1321","748","4839"
"482","57","4291","4008","1507"
"483","57","2016","4168","1577"
"484","57","1473","3997","1492"
"485","75","1167","753","4805"
"486","57","2071","4031","1530"
"487","57","2058","3988","1504"
"488","63","2151","458","2904"
"489","57","2278","4134","1583"
"490","63","1930","441","2768"
"491","75","1601","742","4864"
"492","57","2100","4307","1634"
"493","63","2203","461","2919"
"494","57","2156","3957","1506"
"495","63","2658","405","2607"
"496","63","2540","423","2676"
"497","63","2860","422","2733"
"498","57","2763","4351","1652"
"499","57","958","4174","1589"
"500","57","1285","4330","1637"
"501","57","2286","4119","1567"
"502","63","2114","433","2715"
"503","63","2988","455","2902"
"504","75","1167","730","4790"
"505","57","2168","4308","1652"
"506","57","977","4374","1662"
"507","75","1245","767","4977"
"508","63","4972","501","3139"
"509","63","2596","434","2817"
"510","75","2428","753","4900"
"511","57","1602","4142","1571"
"512","75","1109","741","4837"
"513","75","1093","740","4790"
"514","57","1295","4155","1602"
"515","75","1493","784","5202"
"516","57","1840","4219","1613"
"517","63","2626","417","2686"
"518","75","874","739","4800"
"519","63","2780","470","3047"
"520","63","2810","447","2833"
"521","57","44","4388","1643"
"522","57","1841","4063","1540"
"523","57","2349","4052","1555"
"524","75","979","726","5006"
"525","75","1372","752","4913"
"526","57","105","4127","1552"
"527","63","2051","495","3129"
"528","63","3029","457","2952"
"529","75","1067","783","5043"
"530","57","380","3938","1530"
"531","63","2670","432","2751"
"532","75","1181","739","4711"
"533","75","1509","752","4889"
"534","63","2774","463","2936"
"535","63","5391","430","2770"
"536","57","2254","4161","1592"
"537","75","681","733","4721"
"538","63","1989","439","2875"
"539","75","1492","707","4729"
"540","75","1791","716","4700"
"541","57","33","4020","1561"
"542","63","4882","447","2862"
"543","75","1161","762","4931"
"544","57","5278","4129","1608"
"545","75","3046","720","4681"
"546","75","2068","722","4652"
"547","75","120","776","4985"
"548","75","898","740","4863"
"549","75","1474","714","4665"
"550","75","923","744","4900"
"551","57","1567","4160","1590"
"552","63","2515","450","2900"
"553","63","2376","437","2805"
"554","63","2600","402","2610"
"555","63","2825","433","2893"
"556","63","3968","411","2698"
"557","63","5071","467","2976"
"558","63","2672","439","2728"
"559","57","2527","4148","1609"
"560","57","2558","4207","1614"
"561","63","2437","437","2815"
"562","75","1332","726","4687"
"563","75","1157","689","4513"
"564","75","1373","777","5104"
"565","63","2887","463","2962"
"566","57","1544","4315","1645"
"567","63","2613","436","2767"
"568","63","2681","434","2796"
"569","75","1018","718","4753"
"570","63","2506","436","2757"
"571","63","3087","467","3001"
"572","57","2298","4117","1560"
"573","57","1299","4002","1538"
"574","75","880","725","4739"
"575","75","1230","747","4927"
"576","75","1083","723","4803"
"577","57","4067","4284","1651"
"578","75","154","702","4619"
"579","57","3074","4329","1611"
"580","57","3312","4245","1610"
"581","57","2198","4316","1621"
"582","63","2482","431","2828"
"583","75","1087","752","4962"
"584","63","2903","457","2899"
"585","63","3231","452","2844"
"586","75","1256","775","5037"
"587","57","2271","4150","1592"
"588","57","434","4229","1609"
"589","63","2475","442","2835"
"590","63","4493","445","2828"
"591","63","2052","437","2709"
"592","57","2341","4299","1656"
"593","57","1308","4137","1589"
"594","75","1467","719","4684"
"595","57","2250","4154","1540"
"596","75","1061","735","4719"
"597","75","1203","709","4701"
"598","57","303","4262","1588"
"599","57","1428","4253","1609"
"600","57","1684","4378","1691"
"601","57","3747","4437","1664"
"602","57","1899","4081","1560"
"603","57","3825","4201","1581"
"604","63","2337","442","2834"
"605","75","1078","737","4778"
"606","63","2411","429","2727"
"607","75","1906","747","4843"
"608","75","1159","776","4904"
"609","57","2766","4178","1578"
"610","63","2709","423","2782"
"611","57","4534","4093","1566"
"612","57","2182","4283","1613"
"613","75","1226","706","4668"
"614","75","1152","758","4901"
"615","75","1083","734","4847"
"616","63","3097","454","2836"
"617","75","966","751","4922"
"618","75","1866","690","4575"
"619","57","2233","3926","1567"
"620","63","2092","437","2794"
"621","63","1908","422","2686"
"622","63","2386","425","2704"
"623","57","4528","4126","1575"
"624","75","619","741","4835"
"625","75","1402","745","5044"
"626","63","2905","425","2773"
"627","63","2716","435","2745"
"628","75","1560","700","4548"
"629","57","4384","4301","1607"
"630","75","952","684","4592"
"631","63","2343","472","2924"
"632","63","2459","435","2711"
"633","57","2773","4053","1503"
"634","63","51","433","2790"
"635","63","5498","444","2833"
"636","57","164","4197","1563"
"637","57","2469","4105","1516"
"638","75","581","688","4584"
"639","57","51","4188","1584"
"640","57","4867","4478","1682"
"641","57","1996","4132","1578"
"642","57","2529","4170","1570"
"643","63","2866","436","2780"
"644","75","920","702","4492"
"645","63","2992","447","2830"
"646","75","1488","680","4632"
"647","63","4121","463","2877"
"648","75","1457","700","4506"
"649","75","596","709","4595"
"650","75","1005","730","4684"
"651","63","2287","414","2642"
"652","57","2714","4124","1610"
"653","75","1546","766","4850"
"654","75","1095","720","4822"
"655","63","73","456","2813"
"656","57","2390","4151","1590"
"657","57","3019","4443","1640"
"658","63","2647","455","2813"
"659","57","2177","4476","1610"
"660","75","1099","773","4828"
"661","57","2067","3815","1407"
"662","75","124","758","4736"
"663","63","3012","460","2833"
"664","75","1123","725","4577"
