Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CK A549 2_lxb\Human CK A549 2_P1_C2.lxb Human CK A549 2 
"EventNo","RID","RP1","CL1","CL2"
"1","63","25453","449","2736"
"2","75","3597","716","4704"
"3","75","13918","742","4713"
"4","63","29951","431","2759"
"5","63","26839","457","2738"
"6","57","34756","4205","1574"
"7","75","12234","644","4116"
"8","57","26585","4308","1569"
"9","75","15722","770","4943"
"10","57","26549","3845","1513"
"11","57","26539","4172","1557"
"12","75","17730","752","5033"
"13","75","22323","708","4685"
"14","63","24687","419","2648"
"15","75","12896","712","4527"
"16","57","26775","4026","1569"
"17","57","26256","4070","1535"
"18","77","18","2204","4375"
"19","57","28662","4419","1655"
"20","75","10316","735","4734"
"21","57","25837","4462","1667"
"22","63","28213","443","2841"
"23","75","18790","705","4615"
"24","57","31228","4053","1509"
"25","75","14235","740","4868"
"26","57","30174","4131","1576"
"27","57","29311","3986","1556"
"28","63","28060","427","2828"
"29","75","20964","732","4893"
"30","63","27411","461","2888"
"31","63","22591","417","2759"
"32","75","19094","716","4649"
"33","75","17280","700","4648"
"34","75","19748","727","4560"
"35","57","25675","4024","1521"
"36","57","36171","3956","1528"
"37","63","28302","402","2683"
"38","75","17198","747","5065"
"39","57","9220","4328","1627"
"40","57","4056","4202","1583"
"41","57","33809","4148","1608"
"42","57","4220","4098","1558"
"43","63","30370","419","2793"
"44","75","1530","717","4776"
"45","57","26488","4319","1610"
"46","57","26957","4105","1574"
"47","57","29476","4345","1648"
"48","75","13571","722","4830"
"49","63","31348","448","2844"
"50","75","13770","764","4850"
"51","63","25496","444","2780"
"52","63","23859","406","2621"
"53","75","13887","758","4831"
"54","63","21795","409","2727"
"55","57","23293","3875","1464"
"56","75","1984","736","4758"
"57","63","25969","410","2766"
"58","75","5333","751","5017"
"59","57","24543","4257","1624"
"60","75","13706","712","4664"
"61","63","24039","457","2810"
"62","75","16419","735","4659"
"63","63","25795","429","2786"
"64","75","1625","745","4844"
"65","75","17487","754","5099"
"66","75","15008","739","4914"
"67","75","18476","754","4914"
"68","75","13524","755","4993"
"69","63","28418","434","2820"
"70","63","22053","464","2929"
"71","63","55488","460","2863"
"72","57","26464","4273","1668"
"73","63","23196","423","2692"
"74","57","2729","4257","1635"
"75","63","27835","445","2912"
"76","75","11437","743","4914"
"77","63","47385","466","3092"
"78","75","21117","745","4902"
"79","75","16817","761","5026"
"80","57","25158","4238","1638"
"81","57","24658","4250","1631"
"82","63","5970","404","2628"
"83","57","28670","4330","1693"
"84","57","25475","4112","1602"
"85","57","25829","3913","1517"
"86","57","24430","4095","1553"
"87","57","23751","4193","1627"
"88","75","15132","736","4842"
"89","57","29184","4112","1597"
"90","63","25911","434","2806"
"91","57","26100","4215","1621"
"92","75","10992","737","4868"
"93","57","23700","4116","1605"
"94","63","25802","424","2702"
"95","57","26240","4122","1552"
"96","63","24069","451","2846"
"97","57","28570","4244","1675"
"98","63","4609","440","2845"
"99","57","3234","4150","1597"
"100","75","19531","745","5039"
"101","57","27387","4158","1599"
"102","63","6850","421","2748"
"103","57","627","4121","1593"
"104","75","31240","772","5103"
"105","63","25240","428","2783"
"106","57","25755","4458","1656"
"107","75","16072","720","4721"
"108","57","25706","4144","1593"
"109","63","28068","466","2996"
"110","63","23890","441","2902"
"111","75","14494","740","4900"
"112","72","14","156","4334"
"113","57","23642","4061","1571"
"114","57","30974","3824","1473"
"115","63","23262","460","3028"
"116","75","129","699","4590"
