Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CK A549 2_lxb\Human CK A549 2_P1_D7.lxb Human CK A549 2 
"EventNo","RID","RP1","CL1","CL2"
"1","75","15","754","4787"
"2","57","13","3940","1486"
"3","75","18","734","4780"
"4","75","18","750","4705"
"5","75","15","756","4881"
"6","75","11","751","4961"
"7","75","13","724","4749"
"8","77","22","2227","4413"
"9","57","17","4125","1538"
"10","63","2740","429","2692"
"11","57","16","4084","1579"
"12","57","18","3921","1533"
"13","75","11","711","4762"
"14","75","14","780","4923"
"15","63","2008","427","2769"
"16","63","2990","433","2711"
"17","75","9","723","4758"
"18","57","10","4285","1608"
"19","57","14","4206","1615"
"20","63","1050","430","2814"
"21","75","15","707","4652"
"22","63","4835","439","2745"
"23","75","12","693","4462"
"24","57","23","4040","1534"
"25","57","35","4074","1578"
"26","63","2195","433","2761"
"27","75","17","706","4533"
"28","57","17","4150","1595"
"29","63","2546","442","2895"
"30","57","16","4157","1590"
"31","75","15","720","4910"
"32","63","2639","443","2839"
"33","57","12","4748","1886"
"34","63","3166","445","2871"
"35","63","3810","441","2782"
"36","75","14","752","5003"
"37","57","16","4079","1551"
"38","57","15","4015","1534"
"39","75","25","786","5017"
"40","75","11","731","4790"
"41","63","3125","437","2839"
"42","63","2783","440","2866"
"43","63","3739","414","2718"
"44","63","2812","451","2830"
"45","57","12","4049","1571"
"46","63","3835","486","3216"
"47","57","13","4329","1630"
"48","57","11","4323","1634"
"49","75","21","741","4900"
"50","57","20","4281","1644"
"51","63","3568","428","2695"
"52","75","18","727","4805"
"53","75","20","695","4725"
"54","63","3060","431","2823"
"55","63","2254","408","2637"
"56","63","3048","439","2836"
"57","75","10","748","5079"
"58","57","13","4012","1592"
"59","75","15","718","4784"
"60","63","2251","434","2776"
"61","57","14","4122","1616"
"62","57","29","4098","1546"
"63","63","2909","421","2691"
"64","63","4259","436","2828"
"65","63","3928","437","2765"
"66","63","2348","451","2864"
"67","57","16","4194","1589"
"68","75","13","782","4911"
"69","75","3","701","4660"
"70","63","5601","422","2815"
"71","75","12","733","4835"
"72","57","12","3787","1460"
"73","57","21","4314","1638"
"74","75","13","737","4948"
"75","75","14","662","4331"
"76","63","3518","462","2915"
"77","63","3272","443","2833"
"78","57","15","4106","1555"
"79","57","11","3762","1436"
"80","75","15","696","4530"
"81","75","10","749","4732"
"82","57","16","4186","1640"
"83","72","8","185","4748"
"84","63","1866","438","2826"
"85","63","2800","438","2805"
"86","63","3142","462","2932"
"87","75","14","752","5039"
"88","63","2835","463","2962"
"89","57","21","4048","1541"
"90","57","17","4331","1645"
"91","75","13","736","4777"
"92","75","17","761","4963"
"93","57","25","4174","1605"
"94","63","3019","450","2875"
"95","57","9","4211","1648"
"96","75","18","717","4668"
"97","57","30","4067","1557"
"98","75","23","735","4915"
"99","57","17","4200","1623"
"100","63","3032","438","2834"
"101","75","14","729","4956"
"102","75","17","732","4699"
"103","63","2868","431","2810"
"104","63","3339","447","2904"
"105","63","1965","470","2850"
"106","57","12","4482","1637"
"107","75","187","708","4744"
"108","63","250","461","2941"
"109","0","1838","345","2244"
"110","75","10","744","4863"
"111","75","13","710","4705"
"112","57","12","4069","1582"
"113","75","15","766","5035"
"114","57","13","4300","1640"
"115","57","17","3973","1520"
"116","75","8","780","5144"
"117","75","11","770","4868"
"118","57","22","4290","1646"
"119","57","20","3999","1537"
"120","57","10","4286","1634"
"121","63","2800","444","2828"
"122","57","17","4280","1636"
"123","75","17","724","4726"
"124","63","2829","455","2914"
"125","75","17","759","4964"
"126","63","3061","424","2727"
"127","57","14","4088","1578"
"128","75","8","772","4905"
"129","57","17","4166","1605"
"130","75","19","746","4887"
"131","57","26","4253","1616"
"132","75","29","703","4616"
"133","75","10","764","4967"
"134","63","5156","469","2976"
"135","63","3791","423","2699"
"136","75","10","733","4870"
"137","57","19","4041","1541"
"138","72","7","183","4572"
"139","63","2730","470","3000"
"140","0","15","1178","7060"
"141","63","3744","447","2901"
"142","75","11","754","4912"
"143","75","13","767","4973"
"144","75","10","685","4512"
"145","63","2261","430","2777"
"146","75","14","747","4789"
"147","57","17","4296","1699"
"148","57","15","4221","1586"
"149","57","11","3872","1484"
"150","57","12","4073","1566"
"151","63","4092","452","2880"
"152","63","2985","453","2879"
"153","57","16","4194","1620"
"154","63","2462","446","2811"
"155","63","2498","401","2542"
"156","57","16","3963","1551"
"157","75","10","741","4821"
"158","75","14","742","4815"
"159","75","19","732","4883"
"160","57","11","4140","1581"
"161","63","3132","443","2838"
"162","75","14","730","4745"
"163","75","10","757","4895"
"164","57","19","4299","1621"
"165","63","5508","432","2739"
"166","57","15","4397","1696"
"167","63","3548","441","2827"
"168","57","9","4158","1581"
"169","75","21","731","4748"
"170","63","4839","434","2732"
"171","57","14","4163","1590"
"172","63","3351","458","2929"
"173","75","10","688","4683"
"174","57","14","4145","1570"
"175","57","14","4070","1564"
"176","63","3006","464","2936"
"177","75","11","769","4988"
"178","75","22","721","4776"
"179","57","48","3953","1532"
"180","75","27","742","4821"
"181","75","13","706","4637"
"182","63","2600","399","2616"
"183","57","17","4400","1677"
"184","75","13","701","4549"
"185","75","13","721","4817"
"186","57","13","3971","1530"
"187","63","308","432","2748"
"188","75","13","689","4546"
"189","57","12","4093","1559"
"190","75","5","710","4637"
"191","57","14","4118","1553"
"192","75","10","718","4740"
"193","63","2732","422","2637"
"194","57","56","3833","1447"
"195","63","2738","425","2764"
"196","57","16","4437","1641"
"197","57","16","4001","1483"
"198","63","3711","435","2786"
"199","63","2899","447","2798"
"200","57","13","4009","1540"
"201","75","36","686","4504"
"202","75","11","753","4911"
"203","57","25","4252","1604"
"204","75","13","748","4852"
"205","75","17","684","4369"
"206","75","10","737","4808"
"207","57","21","3988","1511"
"208","57","13","4025","1555"
"209","63","2505","432","2768"
"210","78","23","4677","5339"
"211","63","2358","455","3010"
"212","63","2799","445","2823"
"213","75","13","626","4181"
"214","75","19","728","4626"
"215","75","37","737","4681"
"216","57","15","3929","1475"
"217","57","13","4207","1569"
"218","75","17","684","4482"
"219","75","18","693","4596"
