Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CK A549 2_lxb\Human CK A549 2_P1_E3.lxb Human CK A549 2 
"EventNo","RID","RP1","CL1","CL2"
"1","57","16","4010","1503"
"2","63","1619","453","2759"
"3","63","1622","439","2755"
"4","57","11","4298","1592"
"5","75","15","739","4897"
"6","63","2322","449","2863"
"7","75","21","786","4873"
"8","57","12","4210","1560"
"9","75","15","690","4405"
"10","75","17","746","4783"
"11","57","22","4232","1630"
"12","63","1479","435","2690"
"13","77","9","2152","4374"
"14","57","10","3695","1425"
"15","75","18","739","4959"
"16","75","27","752","4880"
"17","57","24","4278","1630"
"18","63","1828","428","2802"
"19","57","17","3923","1522"
"20","75","10","686","4613"
"21","57","17","4237","1640"
"22","57","14","3910","1525"
"23","75","11","700","4610"
"24","63","1588","420","2746"
"25","75","19","733","4725"
"26","63","2242","437","2717"
"27","75","9","710","4569"
"28","75","12","750","4883"
"29","57","17","4186","1648"
"30","63","2333","456","2982"
"31","75","20","752","4983"
"32","75","11","707","4663"
"33","75","11","682","4518"
"34","75","12","730","4922"
"35","57","14","4204","1568"
"36","63","552","417","2746"
"37","63","2137","454","2850"
"38","75","16","709","4786"
"39","63","238","443","2856"
"40","57","11","4407","1649"
"41","75","12","724","4708"
"42","57","13","4205","1631"
"43","75","11","731","4728"
"44","63","2132","437","2788"
"45","75","14","772","4972"
"46","57","15","4144","1542"
"47","75","14","724","4718"
"48","63","1404","446","2839"
"49","75","16","710","4768"
"50","57","16","4336","1641"
"51","57","15","4062","1559"
"52","75","13","745","4784"
"53","63","585","444","2921"
"54","63","2020","437","2780"
"55","63","1819","406","2728"
"56","63","1950","446","2869"
"57","75","13","711","4718"
"58","57","17","4078","1538"
"59","75","17","779","5023"
"60","57","17","4214","1604"
"61","75","7","737","4809"
"62","57","10","4089","1592"
"63","75","10","747","4920"
"64","57","14","3993","1542"
"65","57","15","4434","1689"
"66","75","30","735","4794"
"67","57","14","4162","1588"
"68","63","4220","414","2678"
"69","57","11","4359","1638"
"70","63","2543","431","2740"
"71","63","1635","440","2791"
"72","63","2428","431","2767"
"73","75","11","737","4925"
"74","75","11","732","4759"
"75","57","26","4062","1564"
"76","63","1809","419","2683"
"77","63","2405","452","2866"
"78","57","11","4335","1675"
"79","63","2079","425","2811"
"80","63","2021","429","2780"
"81","75","14","728","4777"
"82","57","4097","4178","1585"
"83","57","15","4225","1625"
"84","75","12","742","4852"
"85","63","2697","422","2771"
"86","75","585","740","4807"
"87","63","2046","410","2692"
"88","57","11","4168","1579"
"89","75","25","783","5070"
"90","75","10","697","4601"
"91","75","11","746","4948"
"92","75","13","740","4919"
"93","63","1299","429","2741"
"94","57","21","4179","1584"
"95","57","21","4110","1640"
"96","63","2494","433","2847"
"97","75","17","754","4950"
"98","57","14","4212","1629"
"99","57","19","4361","1626"
"100","63","1764","432","2767"
"101","57","24","4244","1596"
"102","75","14","723","4701"
"103","63","1834","444","2847"
"104","75","10","752","4957"
"105","75","9","761","5035"
"106","75","14","709","4563"
"107","75","20","764","5050"
"108","63","191","433","2829"
"109","63","2313","423","2762"
"110","75","11","785","5228"
"111","57","13","4021","1536"
"112","57","12","4190","1577"
"113","75","18","756","5003"
"114","57","13","4300","1646"
"115","75","10","706","4641"
"116","57","13","4222","1623"
"117","75","14","731","4796"
"118","75","48","805","5023"
"119","57","36","4262","1642"
"120","63","5569","427","2746"
"121","63","1789","420","2727"
"122","75","10","754","4963"
"123","75","16","758","4915"
"124","72","7","166","4440"
"125","57","14","4146","1634"
"126","63","1686","437","2876"
"127","75","19","701","4634"
"128","63","991","442","2855"
"129","63","2713","425","2670"
"130","57","17","4257","1630"
"131","75","16","763","5008"
"132","63","1980","468","3007"
"133","63","331","449","2840"
"134","57","12","4227","1628"
"135","57","39","4221","1605"
"136","57","16","4232","1634"
"137","63","274","445","2877"
"138","63","1521","439","2821"
"139","75","21","761","5018"
"140","57","24","4166","1592"
"141","57","11","4284","1664"
"142","57","17","4092","1565"
"143","63","1900","446","2855"
"144","57","9","4162","1594"
"145","63","328","436","2823"
"146","63","1543","444","2908"
"147","57","16","4275","1634"
"148","75","18","737","4835"
"149","63","3007","451","2918"
"150","75","10","729","4806"
"151","75","13","773","5076"
"152","63","1470","443","2868"
"153","63","1556","452","2939"
"154","57","10","4202","1604"
"155","75","7","748","4836"
"156","63","1888","433","2864"
"157","57","16","4070","1562"
"158","57","12","4525","1742"
"159","63","2257","431","2853"
"160","63","2655","428","2782"
"161","63","1781","443","2844"
"162","57","11","4287","1631"
"163","75","21","759","5093"
"164","57","12","4061","1578"
"165","75","18","713","4659"
"166","57","13","4099","1525"
"167","63","1856","461","2889"
"168","57","11","4011","1505"
"169","63","1966","437","2842"
"170","63","1984","450","2916"
"171","75","16","793","5185"
"172","57","16","4184","1583"
"173","75","11","798","5238"
"174","57","15","3893","1606"
"175","63","1777","447","2848"
"176","75","7","728","4810"
"177","57","14","4328","1656"
"178","57","11","4203","1608"
"179","57","18","4246","1632"
"180","63","994","445","2894"
"181","75","8","729","4812"
"182","57","16","4132","1575"
"183","63","1911","438","2799"
"184","63","2543","436","2843"
"185","75","12","670","4489"
"186","63","2128","471","3019"
"187","57","15","3930","1523"
"188","57","14","4268","1635"
"189","75","16","735","4852"
"190","63","1878","436","2827"
"191","75","9","720","4724"
"192","75","18","683","4437"
"193","75","11","709","4696"
"194","63","2003","429","2757"
"195","57","9197","4335","1621"
"196","63","1614","417","2658"
"197","57","13","4216","1597"
"198","63","1470","443","2881"
"199","57","13","3892","1530"
"200","63","2078","431","2785"
"201","75","17","685","4560"
"202","72","6","176","4612"
"203","63","2330","444","2866"
"204","63","2071","424","2713"
"205","75","12","697","4536"
"206","63","1480","427","2698"
"207","57","11","4020","1535"
"208","75","20","736","4836"
"209","75","21","708","4594"
"210","75","27","726","4744"
"211","63","1313","449","2876"
"212","63","2448","486","2999"
"213","63","2264","434","2707"
"214","63","2274","420","2746"
"215","75","12","731","4775"
"216","63","1406","449","2882"
"217","57","16","4247","1603"
"218","75","11","745","4815"
"219","75","14","745","4948"
"220","75","15","749","4935"
"221","57","10","4091","1574"
"222","75","12","742","4847"
"223","57","10","4131","1577"
"224","63","2492","423","2724"
"225","63","1331","408","2667"
"226","57","21","3858","1490"
"227","75","9","757","4919"
"228","63","2778","409","2652"
"229","63","1999","422","2703"
"230","75","10","783","5133"
"231","57","11","4124","1579"
"232","57","13","3896","1480"
"233","75","12","728","4737"
"234","75","12","789","5035"
"235","63","2745","460","2889"
"236","57","14","4118","1618"
"237","75","44","750","4848"
"238","63","2156","434","2822"
"239","57","17","4158","1581"
"240","57","23","4043","1534"
"241","57","26","4272","1603"
"242","57","11","4092","1535"
"243","63","1840","455","2863"
"244","57","18","3966","1517"
"245","63","1946","429","2719"
"246","63","2181","437","2780"
"247","57","17","3988","1527"
"248","63","1848","423","2714"
"249","75","16","698","4649"
"250","75","13","683","4552"
"251","75","31","742","4623"
"252","57","15","4233","1645"
"253","57","16","4094","1580"
"254","75","14","726","4714"
"255","57","23","3844","1474"
"256","57","12","5023","1970"
"257","57","16","4274","1632"
"258","75","13","759","4925"
"259","57","16","4255","1615"
"260","63","1393","435","2742"
"261","57","12","4245","1601"
"262","63","2299","422","2692"
"263","57","15","4213","1595"
"264","57","8","4024","1485"
"265","57","12","4122","1581"
"266","63","1910","442","2829"
"267","63","1801","471","2954"
"268","75","16","744","4859"
"269","57","10","4248","1634"
"270","75","18","749","4807"
"271","57","11","3915","1507"
"272","75","11","719","4664"
"273","57","9","4490","1705"
"274","57","16","4008","1534"
"275","63","2036","418","2729"
"276","57","14","3877","1503"
"277","75","18","735","4751"
"278","57","17","3952","1500"
"279","75","15","738","4805"
"280","63","2004","428","2739"
"281","57","18","4128","1564"
"282","75","13","709","4528"
"283","63","1688","453","2849"
"284","75","16","721","4694"
"285","75","12","721","4620"
"286","57","15","4031","1507"
"287","57","12","4246","1609"
"288","63","1876","443","2808"
"289","75","10","725","4746"
"290","63","2119","432","2775"
"291","63","1746","437","2843"
"292","75","9","743","4806"
"293","63","1558","450","2764"
"294","57","15","4373","1624"
"295","63","67","435","2783"
"296","57","17","4225","1607"
"297","75","15","720","4611"
"298","75","38","741","4763"
"299","63","1820","413","2555"
"300","75","9","728","4796"
"301","57","16","4037","1523"
"302","63","1963","451","2884"
"303","63","1845","446","2815"
"304","57","13","4183","1612"
"305","63","348","427","2734"
"306","75","15","713","4552"
"307","63","1999","446","2782"
"308","75","13","702","4679"
"309","63","2417","398","2528"
"310","75","13","731","4718"
"311","63","2046","406","2644"
"312","63","2340","434","2748"
"313","57","9","4051","1537"
"314","75","14","725","4645"
"315","57","11","4231","1618"
"316","63","1871","438","2790"
"317","63","406","444","2852"
"318","57","13","3993","1505"
"319","57","18","4142","1554"
"320","75","12","741","4805"
"321","57","20","4229","1635"
"322","0","12","604","4009"
"323","63","2884","432","2787"
"324","63","2012","427","2735"
"325","57","15","4293","1596"
"326","63","2030","441","2791"
"327","75","22","740","4842"
"328","75","11","778","5045"
"329","75","21","696","4509"
"330","57","18","4014","1513"
"331","63","2324","468","2942"
"332","57","15","4245","1578"
"333","75","29","704","4552"
"334","75","14","728","4834"
"335","75","18","701","4571"
"336","75","10","722","4735"
"337","75","12","759","4979"
"338","63","1822","420","2663"
"339","75","29","722","4856"
"340","75","20","769","4924"
"341","57","13","4461","1695"
"342","57","23","3813","1421"
"343","63","2688","416","2650"
"344","75","15","740","4886"
"345","75","13","741","4857"
"346","57","18","4146","1576"
"347","75","19","702","4554"
"348","57","16","4188","1621"
"349","75","17","688","4507"
"350","57","11","4062","1587"
"351","57","15","4125","1585"
"352","57","16","4131","1552"
"353","63","931","450","2902"
"354","57","13","4261","1645"
"355","75","15","746","4631"
"356","57","19","3968","1492"
"357","57","18","4163","1582"
"358","63","1834","444","2790"
"359","57","21","4194","1647"
"360","63","2294","440","2762"
"361","57","9","4280","1604"
"362","63","1550","424","2758"
"363","57","14","3991","1492"
"364","57","16","3786","1437"
"365","75","16","736","4785"
"366","75","10","734","4698"
"367","75","10","752","4841"
"368","75","14","725","4743"
"369","75","13","745","4874"
"370","63","2016","424","2717"
"371","57","13","4226","1589"
"372","63","2361","444","2844"
"373","63","245","435","2753"
"374","57","17","4222","1579"
"375","57","11","4314","1665"
"376","75","13","777","5027"
"377","57","15","4214","1560"
"378","75","19","753","4904"
"379","57","8","4110","1567"
"380","57","11","4224","1622"
"381","57","23","4154","1577"
"382","75","16","738","4766"
"383","63","489","454","2934"
"384","75","21","759","4893"
"385","75","26","714","4744"
"386","57","17","4237","1590"
"387","57","16","4175","1585"
"388","75","4433","850","5089"
"389","63","2506","440","2829"
"390","75","16","758","4852"
"391","57","10","4253","1635"
"392","75","14","754","4874"
"393","75","17","771","5048"
"394","75","13","743","4862"
"395","63","1272","432","2787"
"396","57","18","4178","1558"
"397","57","12","4281","1633"
"398","57","10","4209","1637"
"399","75","38","800","5042"
"400","57","13","4356","1655"
"401","57","20","4078","1551"
"402","75","18","744","4846"
"403","63","273","448","2878"
"404","57","12","4249","1516"
"405","63","2200","440","2837"
"406","63","1994","468","3034"
"407","75","12","724","4652"
"408","75","10","733","4848"
"409","75","16","666","4370"
"410","63","2000","482","3051"
"411","75","14","729","4728"
"412","75","16","755","4791"
