Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CK A549 2_lxb\Human CK A549 2_P1_F1.lxb Human CK A549 2 
"EventNo","RID","RP1","CL1","CL2"
"1","57","16","4067","1491"
"2","75","30","739","4615"
"3","57","20","4255","1570"
"4","63","482","449","2786"
"5","57","14","4201","1547"
"6","63","268","465","2888"
"7","75","41","755","4823"
"8","57","17","3923","1508"
"9","57","18","4379","1609"
"10","57","16","4086","1499"
"11","75","31","704","4704"
"12","77","5","2152","4393"
"13","75","28","718","4604"
"14","63","654","444","2773"
"15","57","19","4294","1680"
"16","57","14","4051","1575"
"17","75","8","716","4741"
"18","63","226","414","2661"
"19","75","11","727","4861"
"20","75","40","706","4559"
"21","63","526","383","2515"
"22","57","15","3989","1552"
"23","63","31","402","2559"
"24","63","264","420","2736"
"25","57","16","3987","1546"
"26","63","338","428","2740"
"27","57","18","4342","1619"
"28","63","355","419","2763"
"29","63","399","446","2847"
"30","75","41","781","4972"
"31","57","15","3957","1530"
"32","75","19","683","4565"
"33","63","18","432","2794"
"34","63","333","446","2807"
"35","57","25","4462","1603"
"36","75","27","700","4498"
"37","75","24","754","5140"
"38","57","22","4308","1623"
"39","63","191","435","2803"
"40","57","15","4186","1583"
"41","63","699","414","2761"
"42","75","17","736","4755"
"43","63","786","437","2788"
"44","75","22","707","4593"
"45","75","43","726","4765"
"46","57","36","4060","1546"
"47","63","391","453","2868"
"48","57","22","4015","1513"
"49","75","22","736","4992"
"50","75","19","751","4940"
"51","63","559","453","2841"
"52","63","290","447","2890"
"53","57","18","4317","1671"
"54","63","385","435","2844"
"55","75","36","717","4771"
"56","57","17","3679","1446"
"57","75","52","691","4620"
"58","63","251","442","2920"
"59","75","37","726","4861"
"60","57","13","4123","1625"
"61","57","19","4223","1647"
"62","57","18","4088","1571"
"63","63","412","449","2935"
"64","63","248","454","2912"
"65","63","352","438","2847"
"66","75","42","709","4722"
"67","75","34","703","4680"
"68","75","27","748","4929"
"69","75","23","704","4668"
"70","57","14","4127","1567"
"71","63","264","445","2895"
"72","57","9","4241","1641"
"73","63","391","437","2764"
"74","63","306","447","2868"
"75","63","294","451","2880"
"76","57","18","4195","1653"
"77","57","10","4312","1669"
"78","63","368","445","2928"
"79","63","433","433","2767"
"80","57","11","3889","1491"
"81","57","21","4232","1647"
"82","75","36","766","5031"
"83","75","30","723","4769"
"84","75","69","722","4827"
"85","63","333","436","2856"
"86","75","22","753","4902"
"87","63","469","432","2807"
"88","63","379","429","2765"
"89","75","37","739","4777"
"90","72","6","165","4434"
"91","75","46","727","4929"
"92","57","20","4232","1638"
"93","57","25","4261","1643"
"94","75","33","751","4963"
"95","57","18","4026","1594"
"96","75","22","727","4744"
"97","75","13","739","4965"
"98","57","13","3912","1526"
"99","63","689","458","2906"
"100","75","24","758","4881"
"101","63","318","452","2895"
"102","57","20","4143","1606"
"103","57","16","4273","1638"
"104","57","9","4141","1597"
"105","75","32","735","4918"
"106","63","53","437","2840"
"107","63","357","419","2676"
"108","57","20","4174","1618"
"109","63","465","469","2996"
"110","75","28","738","4881"
"111","57","10","4364","1700"
"112","57","13","4280","1645"
"113","63","341","447","2910"
"114","57","15","4086","1595"
"115","57","25","4298","1630"
"116","75","42","797","4934"
"117","63","16","431","2770"
"118","63","362","424","2701"
"119","75","21","739","4935"
"120","57","20","4449","1767"
"121","57","21","4373","1714"
"122","63","337","440","2895"
"123","75","17","736","4764"
"124","75","30","746","4891"
"125","63","348","449","2902"
"126","57","19","4307","1629"
"127","63","436","433","2812"
"128","63","343","422","2644"
"129","57","19","3890","1484"
"130","75","40","741","4844"
"131","57","12","4381","1687"
"132","63","428","441","2865"
"133","57","18","4018","1521"
"134","75","24","774","5038"
"135","57","26","4066","1602"
"136","75","37","753","4995"
"137","75","56","690","4573"
"138","75","11","749","4952"
"139","57","18","3968","1522"
"140","57","25","4180","1578"
"141","75","21","741","4727"
"142","57","16","4193","1635"
"143","75","30","764","5023"
"144","63","375","445","2860"
"145","63","316","457","2887"
"146","63","470","430","2761"
"147","72","6","169","4587"
"148","57","22","4291","1635"
"149","75","22","713","4708"
"150","57","14","4256","1628"
"151","57","12","4223","1605"
"152","57","22","4225","1619"
"153","57","16","4389","1690"
"154","75","10","742","4826"
"155","57","20","4038","1550"
"156","57","12","4126","1582"
"157","57","11","4096","1585"
"158","57","26","3953","1517"
"159","63","352","413","2723"
"160","75","23","702","4598"
"161","75","21","718","4755"
"162","63","322","410","2712"
"163","57","16","4226","1608"
"164","57","17","4084","1579"
"165","57","35","4100","1556"
"166","75","32","790","5158"
"167","75","24","747","4801"
"168","63","211","425","2642"
"169","63","298","396","2543"
"170","75","27","725","4783"
"171","57","30","4377","1621"
"172","57","18","4167","1610"
"173","57","16","3978","1521"
"174","75","31","742","4808"
"175","57","25","4157","1587"
"176","63","148","443","2815"
"177","57","19","4291","1621"
"178","57","19","4035","1469"
"179","63","587","420","2702"
"180","75","40","726","4745"
"181","57","18","4183","1569"
"182","63","28","446","2704"
"183","75","21","698","4622"
"184","75","80","759","4601"
"185","75","30","697","4518"
"186","57","16","3977","1526"
"187","63","428","426","2703"
"188","75","28","695","4612"
"189","75","18","718","4587"
"190","75","26","648","4376"
"191","57","12","4093","1560"
"192","57","22","4334","1630"
"193","75","28","740","4691"
"194","57","25","4119","1541"
"195","57","15","3991","1477"
"196","75","35","718","4826"
"197","57","17","4133","1571"
"198","63","503","433","2757"
"199","63","318","433","2800"
"200","63","376","427","2640"
"201","63","435","425","2744"
"202","75","120","665","4237"
"203","63","328","453","2883"
"204","63","369","451","2891"
"205","57","9","4029","1483"
"206","57","22","4195","1557"
"207","57","14","4082","1528"
"208","63","583","446","2838"
"209","75","38","727","4698"
"210","57","17","4069","1540"
"211","63","644","456","2923"
"212","63","375","441","2786"
"213","57","20","4241","1612"
"214","63","299","363","2719"
"215","75","38","681","4487"
"216","63","56","426","2720"
"217","63","20","424","2676"
"218","57","17","4134","1563"
"219","75","27","726","4677"
"220","57","9","4198","1612"
"221","63","86","433","2783"
