Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CK A549 2_lxb\Human CK A549 2_P1_G6.lxb Human CK A549 2 
"EventNo","RID","RP1","CL1","CL2"
"1","57","8","4190","1528"
"2","57","17","3980","1491"
"3","57","12","4057","1501"
"4","63","3604","446","2841"
"5","57","15","3986","1512"
"6","57","16","4084","1522"
"7","75","16","740","4712"
"8","57","16","4136","1578"
"9","63","3546","429","2755"
"10","75","25","726","4794"
"11","75","12","751","4785"
"12","77","21","2220","4412"
"13","75","12","750","4877"
"14","63","3486","435","2785"
"15","75","12","809","5384"
"16","57","12","4110","1550"
"17","57","12","4207","1537"
"18","63","3464","434","2708"
"19","57","19","4147","1569"
"20","75","11","716","4541"
"21","75","8","750","4885"
"22","75","11","755","4726"
"23","75","13","733","4782"
"24","75","73","680","4380"
"25","75","13","721","4782"
"26","57","15","4143","1580"
"27","75","13","709","4731"
"28","57","17","4040","1526"
"29","75","12","702","4608"
"30","63","388","458","2914"
"31","63","3165","433","2861"
"32","57","9","4190","1557"
"33","75","13","754","4959"
"34","57","15","4191","1610"
"35","75","12","731","4728"
"36","75","16","768","4920"
"37","63","5797","466","2923"
"38","63","4309","443","2760"
"39","57","23","4081","1558"
"40","75","29","729","4734"
"41","63","3576","443","2794"
"42","75","10","763","5060"
"43","57","21","4226","1623"
"44","57","10","4388","1665"
"45","75","12","715","4897"
"46","57","10","4085","1625"
"47","63","4897","442","2903"
"48","75","12","746","4780"
"49","63","3838","426","2721"
"50","57","11","3866","1505"
"51","63","2760","441","2761"
"52","57","13","4281","1608"
"53","63","2679","445","2828"
"54","63","3936","441","2908"
"55","57","19","4322","1645"
"56","75","22","721","4746"
"57","75","34","751","4841"
"58","63","6040","445","2887"
"59","75","20","746","4805"
"60","75","20","710","4718"
"61","63","4420","436","2779"
"62","63","3542","456","2872"
"63","57","21","4166","1580"
"64","75","14","748","4785"
"65","75","13","735","4948"
"66","57","12","4191","1640"
"67","57","13","4161","1583"
"68","63","4090","439","2857"
"69","75","14","733","4888"
"70","75","12","754","5024"
"71","57","19","4179","1606"
"72","75","13","740","4867"
"73","75","15","724","4785"
"74","57","25","4295","1617"
"75","63","4756","452","2907"
"76","57","11","4301","1702"
"77","75","15","731","4811"
"78","63","3900","427","2772"
"79","75","17","755","4982"
"80","75","19","723","4680"
"81","57","14","4336","1652"
"82","75","7","754","4866"
"83","75","9","753","4946"
"84","75","8","742","4999"
"85","75","11","779","5121"
"86","75","8","717","4710"
"87","75","11","761","5011"
"88","75","18","719","4678"
"89","57","14","4137","1575"
"90","75","8","745","4808"
"91","57","13","4154","1549"
"92","75","8","753","5006"
"93","57","21","3999","1520"
"94","75","9","745","4940"
"95","57","11","4219","1639"
"96","75","15","733","4919"
"97","63","4061","452","2853"
"98","57","15","4371","1697"
"99","63","3945","432","2833"
"100","75","9","741","4786"
"101","75","25","703","4527"
"102","63","3865","464","3042"
"103","63","616","460","2937"
"104","75","18","731","4599"
"105","75","12","693","4713"
"106","63","4406","460","2997"
"107","63","3241","457","2968"
"108","75","13","727","4610"
"109","75","10","716","4726"
"110","75","11","711","4688"
"111","75","9","776","5108"
"112","63","3117","441","2812"
"113","63","2617","437","2834"
"114","57","13","4115","1563"
"115","75","9","759","5070"
"116","57","9","4256","1660"
"117","72","6","174","4555"
"118","57","12","4338","1604"
"119","63","1603","464","2971"
"120","75","10","733","4840"
"121","57","7","4467","1696"
"122","57","11","4188","1606"
"123","57","15","4385","1678"
"124","75","14","733","4829"
"125","75","39","757","4925"
"126","63","395","409","2628"
"127","57","16","4076","1544"
"128","57","16","4319","1674"
