Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CK A549 2_lxb\Human CK A549 2_P1_H10.lxb Human CK A549 2 
"EventNo","RID","RP1","CL1","CL2"
"1","63","1658","425","2780"
"2","63","1657","429","2781"
"3","57","17","4100","1546"
"4","75","15","738","4624"
"5","63","1486","455","2752"
"6","75","13","742","4707"
"7","63","933","450","2816"
"8","57","13","4134","1552"
"9","57","10","4319","1604"
"10","63","1677","439","2719"
"11","75","11","723","4891"
"12","63","1628","444","2859"
"13","63","1199","410","2675"
"14","77","19","2232","4416"
"15","57","13","4312","1603"
"16","75","12","746","4725"
"17","63","1012","433","2780"
"18","75","13","746","4915"
"19","63","1607","435","2744"
"20","75","14","702","4446"
"21","63","1552","454","2843"
"22","0","15","4190","1879"
"23","57","22","4369","1618"
"24","57","13","4054","1569"
"25","75","12","705","4626"
"26","63","65","449","2941"
"27","57","17","4008","1489"
"28","75","10","775","4927"
"29","57","11","4188","1590"
"30","75","9","750","4834"
"31","75","7","714","4743"
"32","63","1635","420","2782"
"33","57","7","4262","1598"
"34","75","11","684","4499"
"35","75","14","723","4673"
"36","63","1071","437","2756"
"37","63","957","429","2746"
"38","57","15","4039","1553"
"39","63","2193","430","2846"
"40","57","16","3918","1498"
"41","63","1312","455","2887"
"42","57","13","4378","1668"
"43","75","9","731","4928"
"44","63","40","475","2949"
"45","63","1194","446","2817"
"46","57","16","4324","1637"
"47","57","14","3894","1467"
"48","75","15","757","5137"
"49","57","15","4291","1654"
"50","75","14","689","4489"
"51","57","32","4397","1641"
"52","63","1095","418","2765"
"53","75","17","709","4808"
"54","63","1443","425","2785"
"55","75","13","714","4709"
"56","57","18","4304","1620"
"57","75","24","738","4909"
"58","63","1242","442","2745"
"59","75","7","685","4482"
"60","75","12","743","4767"
"61","75","15","762","5019"
"62","75","20","756","4919"
"63","63","1780","446","2806"
"64","75","18","710","4728"
"65","63","1421","453","2836"
"66","75","12","656","4293"
"67","63","1484","430","2770"
"68","63","928","461","2980"
"69","75","12","742","4996"
"70","75","26","743","4915"
"71","63","1832","444","2843"
"72","63","1381","375","2503"
"73","75","26","728","4858"
"74","63","1028","431","2853"
"75","63","2453","442","2893"
"76","57","12","4333","1671"
"77","63","1415","434","2836"
"78","75","16","728","4776"
"79","63","1136","439","2859"
"80","75","12","751","4875"
"81","63","1703","428","2738"
"82","63","1425","438","2847"
"83","63","1557","422","2642"
"84","57","11","4146","1623"
"85","75","13","696","4701"
"86","75","9","728","4931"
"87","75","13","719","4851"
"88","75","14","698","4617"
"89","63","1620","445","2937"
"90","63","1148","439","2828"
"91","63","1714","435","2802"
"92","75","14","746","4991"
"93","75","16","708","4487"
"94","75","9","747","4900"
"95","57","13","4356","1687"
"96","57","18","4224","1600"
"97","63","1303","456","2870"
"98","57","12","3939","1528"
"99","63","1605","477","3237"
"100","75","18","718","4645"
"101","63","31","431","2762"
"102","57","14","4370","1594"
"103","57","11","4149","1606"
"104","57","25","4269","1631"
"105","63","1229","439","2832"
"106","75","9","736","4877"
"107","63","38","455","2919"
"108","63","1526","437","2829"
"109","57","13","4101","1620"
"110","75","12","775","4825"
"111","57","17","4257","1635"
"112","75","12","687","4582"
"113","75","14","705","4712"
"114","57","12","4222","1606"
"115","75","15","775","5098"
"116","75","8","733","4858"
"117","57","16","4364","1637"
"118","57","15","4079","1588"
"119","57","29","4325","1662"
"120","63","1191","466","2973"
"121","75","17","723","4723"
"122","63","12","448","2835"
"123","63","62","424","2731"
"124","75","15","740","4811"
"125","0","10","205","5172"
"126","63","1532","453","2935"
"127","75","11","775","5181"
"128","63","1079","444","2828"
"129","75","9","710","4688"
"130","57","18","4324","1648"
"131","57","12","4457","1760"
"132","75","15","754","4851"
"133","63","1850","438","2896"
"134","63","1385","430","2793"
"135","57","12","4041","1588"
"136","57","18","4162","1592"
"137","63","1415","419","2767"
"138","75","13","747","4765"
"139","75","9","725","4866"
"140","57","13","4197","1628"
"141","75","8","751","4944"
"142","63","2026","433","2767"
"143","63","1607","439","2840"
"144","63","1701","445","2902"
"145","57","15","4084","1571"
"146","57","24","4323","1587"
"147","75","13","710","4642"
"148","63","1513","455","2934"
"149","63","1787","442","2866"
"150","57","16","4198","1614"
"151","75","12","689","4677"
"152","63","2234","408","2675"
"153","63","1532","440","2876"
"154","63","1712","436","2824"
"155","63","1051","454","2750"
"156","57","15","4081","1557"
"157","75","22","760","5009"
"158","75","12","734","4791"
"159","75","17","791","5306"
"160","63","952","442","2796"
"161","75","17","725","4736"
"162","75","11","711","4674"
"163","75","8","730","4781"
"164","57","14","4122","1580"
"165","0","18","1246","7587"
"166","75","11","761","4984"
"167","57","14","4060","1556"
"168","63","1425","424","2732"
"169","57","14","4217","1585"
"170","63","1092","421","2730"
"171","63","1092","450","2813"
"172","57","13","4126","1578"
"173","63","1219","461","2993"
"174","57","12","4596","1765"
"175","57","12","4000","1556"
"176","63","942","436","2763"
"177","75","12","716","4677"
"178","63","2350","425","2694"
"179","75","9","771","4877"
"180","75","14","687","4541"
"181","63","1428","428","2800"
"182","57","30","3769","1460"
"183","63","79","423","2773"
"184","75","10","752","4869"
"185","57","15","4060","1550"
"186","63","46","449","2900"
"187","57","17","4154","1583"
"188","57","14","4244","1631"
"189","75","10","731","4869"
"190","75","9","682","4542"
"191","75","16","631","4222"
"192","75","15","764","4962"
"193","57","12","4226","1646"
"194","57","14","4170","1579"
"195","57","10","3928","1519"
"196","75","15","737","4763"
"197","75","11","767","4876"
"198","57","12","4308","1623"
"199","75","13","692","4529"
"200","63","136","439","2830"
"201","57","9","4347","1657"
"202","57","13","4147","1617"
"203","63","1206","415","2755"
"204","57","10","4193","1618"
"205","57","19","4205","1610"
"206","75","17","807","5155"
"207","75","11","723","4758"
"208","57","18","4090","1577"
"209","75","14","740","4852"
"210","57","16","3858","1490"
"211","63","1051","427","2727"
"212","63","1540","455","2900"
"213","75","14","719","4743"
"214","63","1321","437","2763"
"215","63","1455","444","2875"
"216","75","9","688","4677"
"217","75","14","700","4589"
"218","75","10","738","4791"
"219","57","15","4433","1705"
"220","75","14","720","4726"
"221","75","24","709","4515"
"222","63","1261","445","2908"
"223","75","9","705","4631"
"224","57","23","4104","1572"
"225","57","8","4060","1599"
"226","57","14","4143","1607"
"227","57","18","4041","1520"
"228","75","9","753","4972"
"229","72","7","187","4553"
"230","57","13","3938","1534"
"231","57","22","4029","1548"
"232","75","9","736","4864"
"233","63","1523","441","2833"
"234","75","16","728","4701"
"235","75","16","722","4741"
"236","75","13","788","5116"
"237","57","20","4160","1610"
"238","57","9","4300","1642"
"239","75","12","740","4812"
"240","63","1322","431","2778"
"241","63","1154","443","2811"
"242","75","16","723","4678"
"243","63","1475","434","2752"
"244","57","13","3913","1493"
"245","57","16","4234","1592"
"246","63","1879","437","2786"
"247","57","17","4139","1584"
"248","57","14","4315","1614"
"249","57","19","3983","1524"
"250","63","1304","468","2997"
"251","63","893","429","2778"
"252","75","17","739","4883"
"253","63","1145","451","2842"
"254","63","303","435","2754"
"255","75","13","717","4781"
"256","75","11","716","4770"
"257","63","2083","450","2873"
"258","75","15","760","4944"
"259","75","10","720","4669"
"260","63","1648","437","2782"
"261","75","15","699","4562"
"262","57","16","4197","1577"
"263","57","28","4017","1551"
"264","75","57","760","4906"
"265","57","22","3965","1502"
"266","57","21","4263","1627"
"267","75","11","700","4640"
"268","57","12","4428","1661"
"269","75","12","740","4779"
"270","57","16","4220","1587"
"271","75","11","747","4857"
"272","75","9","782","5009"
"273","75","15","774","5129"
"274","75","7","697","4694"
"275","63","987","428","2714"
"276","57","15","4078","1559"
"277","57","20","4160","1580"
"278","75","10","780","5008"
"279","75","12","674","4430"
