Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\DITNC1 CK_lxb\DITNC1 CK_P1_A12.lxb DITNC1 CK 
"EventNo","RID","RP1","CL1","CL2"
"1","72","275","162","4841"
"2","37","56","1343","563"
"3","72","600","158","4969"
"4","37","26","1350","555"
"5","37","29","1281","545"
"6","72","321","159","4734"
"7","37","22","1335","559"
"8","37","60","1242","519"
"9","72","316","178","4751"
"10","37","26","1296","561"
"11","72","266","157","4906"
"12","37","24","1312","554"
"13","37","26","1418","583"
"14","77","28","2472","4807"
"15","77","46","2404","4761"
"16","77","17","2230","4456"
"17","72","332","161","5111"
"18","77","16","2340","4779"
"19","77","29","2343","4788"
"20","37","22","1390","564"
"21","77","22","2281","4486"
"22","72","451","146","4666"
"23","37","35","1410","583"
"24","37","18","1329","553"
"25","72","600","165","5135"
"26","0","23","992","419"
"27","37","36","1349","574"
"28","77","41","2456","4723"
"29","72","600","166","5074"
"30","37","35","1410","607"
"31","77","46","2365","4636"
"32","72","472","157","4860"
"33","77","41","2196","4428"
"34","37","22","1314","568"
"35","37","23","1406","607"
"36","37","26","1367","574"
"37","77","12","2359","4590"
"38","77","18","2255","4441"
"39","77","107","2272","4554"
"40","72","23","160","4910"
"41","77","61","2206","4431"
"42","72","445","164","5178"
"43","72","103","162","4913"
"44","77","62","2409","5024"
"45","37","29","1355","594"
"46","72","574","161","5258"
"47","77","34","2477","4926"
"48","72","552","161","5270"
"49","37","46","1322","568"
"50","77","39","2503","5158"
"51","72","486","167","5000"
"52","37","28","1338","585"
"53","72","318","154","4964"
"54","72","287","166","5128"
"55","77","27","2315","4670"
"56","77","47","2368","4924"
"57","72","287","163","5329"
"58","72","453","156","4831"
"59","72","291","159","4899"
"60","77","46","2220","4578"
"61","77","30","2157","4323"
"62","37","29","1344","583"
"63","37","28","1381","557"
"64","72","455","169","5140"
"65","77","12","2447","4733"
"66","77","60","2238","4557"
"67","72","505","159","4985"
"68","72","180","162","4949"
"69","37","25","1279","558"
"70","77","38","2348","4806"
"71","77","27","2384","4838"
"72","37","25","1279","542"
"73","77","30","2441","4994"
"74","72","383","150","4794"
"75","72","312","156","4930"
"76","37","16","1321","558"
"77","72","267","158","4955"
"78","37","23","1382","590"
"79","37","23","1397","621"
"80","37","14","1254","532"
"81","77","45","2260","4498"
"82","72","362","161","5114"
"83","37","18","1435","625"
"84","37","24","1411","601"
"85","72","200","164","5162"
"86","77","37","2449","4985"
"87","77","17","2299","4654"
"88","77","30","2435","4855"
"89","37","35","1408","594"
"90","37","47","1220","523"
"91","77","42","2383","4791"
"92","37","238","1314","543"
"93","77","42","2355","4790"
"94","77","17","2193","4592"
"95","77","37","2249","4528"
"96","77","32","2342","4729"
"97","37","30","1416","595"
"98","77","39","2387","4763"
"99","77","71","2399","4877"
"100","72","259","168","5130"
"101","72","347","160","5216"
"102","72","378","168","5090"
"103","77","43","2404","4847"
"104","37","39","1319","584"
"105","72","350","166","5253"
"106","37","38","1437","623"
"107","37","20","1320","566"
"108","72","512","174","5327"
"109","77","19","2427","4989"
"110","37","30","1420","622"
"111","72","239","158","4924"
"112","72","510","159","5080"
"113","77","21","2236","4494"
"114","77","25","2426","4933"
"115","72","532","157","4941"
"116","77","46","2355","4866"
"117","37","29","1417","611"
"118","37","20","1363","574"
"119","37","13","1297","553"
"120","77","74","2319","4701"
"121","37","29","1386","590"
"122","72","465","163","5127"
"123","77","29","2268","4659"
"124","77","33","2340","4811"
"125","77","32","2361","4772"
"126","37","21","1343","566"
"127","37","20","1362","575"
"128","37","42","1399","593"
"129","77","25","2321","4636"
"130","72","322","165","5152"
"131","72","177","170","5383"
"132","37","21","1437","605"
"133","37","23","1381","595"
"134","77","17","2244","4507"
"135","37","40","1312","565"
"136","72","319","161","5070"
"137","72","256","163","5120"
"138","37","23","1310","552"
"139","77","58","2380","4452"
"140","72","322","164","4965"
"141","77","25","2265","4605"
"142","77","27","2218","4315"
"143","77","283","2400","4822"
"144","77","27","2449","4977"
"145","77","43","2418","4704"
