Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\DITNC1 CK_lxb\DITNC1 CK_P1_B6.lxb DITNC1 CK 
"EventNo","RID","RP1","CL1","CL2"
"1","72","281","167","4799"
"2","77","59","2423","4633"
"3","77","257","2303","4551"
"4","72","356","166","5004"
"5","37","49","1290","545"
"6","77","31","2377","4457"
"7","72","98","174","4903"
"8","72","1221","158","4846"
"9","77","26","2350","4535"
"10","72","503","158","4844"
"11","77","20","2242","4497"
"12","37","177","1355","559"
"13","72","606","166","5300"
"14","77","121","2302","4487"
"15","72","273","155","4796"
"16","72","446","161","5025"
"17","77","11","2310","4597"
"18","72","518","159","4938"
"19","72","462","162","5224"
"20","72","448","153","4954"
"21","77","16","2360","4736"
"22","77","10","2096","4383"
"23","77","22","2215","4429"
"24","72","606","157","4842"
"25","72","151","159","5108"
"26","72","301","158","5127"
"27","77","69","2237","4528"
"28","37","20","1458","601"
"29","37","25","1361","568"
"30","72","344","140","4460"
"31","72","512","171","5330"
"32","37","24","1248","543"
"33","37","65","1264","550"
"34","77","28","2205","4558"
"35","72","221","165","4976"
"36","37","19","1403","572"
"37","37","28","1300","555"
"38","37","24","1328","575"
"39","77","23","2228","4451"
"40","72","418","153","4961"
"41","77","20","2276","4628"
"42","77","29","2532","5145"
"43","77","68","2416","4845"
"44","77","17","2188","4449"
"45","77","52","2224","4465"
"46","77","12","2493","4853"
"47","37","24","1401","591"
"48","72","380","174","5586"
"49","37","35","1357","579"
"50","37","27","1420","604"
"51","37","23","1357","595"
"52","77","22","2437","4920"
"53","77","23","2279","4642"
"54","37","25","1361","567"
"55","37","21","1245","534"
"56","72","287","161","5014"
"57","77","29","2372","4688"
"58","72","593","161","5117"
"59","37","22","1380","576"
"60","77","17","2124","4238"
"61","37","28","1387","598"
"62","37","38","1308","563"
"63","77","17","2222","4573"
"64","37","43","1309","560"
"65","77","25","2464","4673"
"66","37","21","1358","595"
"67","37","27","1338","582"
"68","77","26","2338","4803"
"69","77","46","2314","4758"
"70","72","352","166","4984"
"71","72","328","157","4958"
"72","37","26","1296","561"
"73","72","458","158","5112"
"74","72","500","165","5211"
"75","72","456","160","5018"
"76","72","459","153","4876"
"77","37","27","1275","563"
"78","37","25","1355","583"
"79","77","15","2257","4670"
"80","37","44","1322","558"
"81","72","436","167","5234"
"82","72","494","165","5110"
"83","37","26","1335","572"
"84","37","65","1328","576"
"85","37","25","1268","551"
"86","72","367","169","5339"
"87","37","22","1349","565"
"88","72","193","171","5318"
"89","77","377","2457","5042"
"90","77","61","2455","4919"
"91","77","423","2341","4771"
"92","77","46","2273","4664"
"93","72","499","164","5245"
"94","72","612","161","5147"
"95","72","558","156","4920"
"96","77","17","2309","4655"
"97","37","24","1312","561"
"98","77","14","2389","4941"
"99","77","27","2304","4647"
"100","37","57","1373","581"
"101","77","25","2230","4539"
"102","77","50","2214","4488"
"103","77","77","2212","4583"
"104","77","10","2287","4649"
"105","72","321","164","5302"
"106","37","26","1298","554"
"107","37","22","1406","597"
"108","77","33","2388","4810"
"109","37","31","1319","576"
"110","72","497","163","5171"
"111","77","200","2238","4649"
"112","72","620","170","5287"
"113","77","19","2342","4653"
"114","72","589","163","5021"
"115","72","377","166","5121"
"116","37","20","1306","550"
"117","77","16","2278","4627"
"118","77","336","2365","4813"
"119","37","22","1379","594"
"120","72","757","169","5069"
"121","37","24","1329","562"
"122","77","175","2233","4639"
"123","37","22","1371","597"
"124","72","452","168","5318"
"125","72","516","159","4873"
"126","37","28","1456","616"
"127","77","39","2324","4774"
"128","72","248","154","4868"
"129","37","22","1406","591"
"130","77","135","2260","4601"
"131","77","16","2228","4552"
"132","37","18","1366","582"
"133","37","21","1393","601"
"134","77","35","2230","4512"
"135","72","641","170","5141"
"136","72","365","171","5305"
"137","77","39","2327","4632"
"138","37","22","1328","586"
"139","37","21","1400","591"
"140","77","20","2247","4620"
"141","77","29","2299","4690"
"142","37","16","1348","590"
"143","77","24","2415","4760"
"144","37","18","1219","538"
"145","77","28","2442","4961"
"146","77","31","2370","4677"
"147","77","600","2435","5039"
"148","72","291","151","4671"
"149","37","34","1330","570"
"150","37","15","1243","537"
"151","72","271","168","5224"
"152","37","33","1367","577"
"153","77","27","2321","4720"
"154","72","332","175","5473"
"155","72","399","162","4979"
"156","37","22","1320","560"
"157","72","317","153","4797"
"158","72","388","159","4912"
"159","77","10","2355","4632"
"160","72","835","159","5012"
"161","72","373","149","4549"
"162","72","383","159","4947"
"163","77","19","2271","4617"
"164","77","2229","2293","4623"
"165","72","483","166","5179"
"166","72","433","167","5164"
"167","77","26","2207","4496"
"168","37","33","1585","660"
"169","77","63","2310","4624"
"170","37","26","1334","580"
"171","72","154","164","4905"
"172","77","25","2320","4686"
"173","72","384","158","5016"
"174","77","49","2156","4306"
"175","77","50","2169","4460"
"176","37","24","1391","582"
"177","37","30","1289","570"
"178","77","47","2242","4558"
"179","72","456","175","5497"
"180","77","28","2450","4938"
"181","72","476","156","4966"
"182","37","21","1328","565"
"183","37","30","1380","587"
"184","72","219","160","5023"
"185","72","1369","160","5046"
"186","37","33","1337","570"
"187","77","60","2297","4654"
"188","77","18","2299","4607"
"189","77","41","2331","4591"
"190","37","50","1382","587"
"191","37","17","1400","593"
"192","72","1409","159","5032"
"193","72","921","157","4922"
"194","77","25","2238","4559"
"195","77","48","2198","4398"
"196","72","599","157","4918"
"197","77","22","2403","4915"
"198","77","36","2382","4756"
"199","77","66","2362","4767"
"200","77","71","2258","4491"
"201","77","15","2258","4523"
"202","77","22","2309","4652"
"203","37","28","1341","570"
"204","77","13","2264","4643"
"205","72","613","160","5005"
"206","77","42","2231","4569"
"207","72","247","163","4924"
"208","72","209","157","4950"
"209","72","255","155","4891"
"210","37","33","1294","536"
"211","37","22","1361","579"
"212","37","22","1395","593"
"213","77","23","2265","4587"
"214","77","24","2278","4557"
"215","37","71","1305","554"
"216","77","28","2269","4447"
"217","37","28","1302","558"
"218","72","554","153","4779"
"219","72","365","160","4996"
"220","37","19","1345","563"
"221","77","123","2214","4351"
"222","77","23","2271","4540"
"223","37","29","1337","561"
"224","77","34","2376","4543"
"225","77","23","2234","4491"
"226","37","17","1310","570"
"227","37","50","1327","564"
"228","37","40","1306","552"
"229","37","25","1359","568"
"230","37","25","1358","584"
"231","77","46","2181","4219"
"232","77","210","2429","4869"
"233","77","24","2444","4970"
"234","37","59","1372","574"
"235","77","32","2376","4777"
"236","37","24","1390","602"
"237","37","21","1364","582"
"238","72","565","158","4852"
"239","77","21","2304","4609"
"240","72","331","159","4956"
"241","37","25","1372","589"
"242","37","18","1377","588"
"243","77","45","2341","4721"
"244","77","14","2321","4541"
"245","37","26","1367","656"
"246","37","23","1295","535"
"247","72","418","160","4914"
"248","72","631","162","5068"
"249","77","442","2313","4642"
"250","37","16","1408","604"
"251","37","27","1382","588"
"252","37","35","1324","562"
"253","72","272","157","4934"
"254","77","75","2405","4741"
"255","72","380","170","5166"
"256","77","27","2213","4397"
"257","37","16","1413","596"
"258","72","463","166","5263"
"259","37","22","1315","559"
"260","72","592","163","5199"
"261","37","45","1366","582"
"262","72","370","157","4828"
"263","77","29","2287","4663"
"264","72","337","155","4927"
"265","72","255","155","4906"
"266","72","1046","158","4924"
"267","77","14","2400","4830"
"268","72","393","184","5350"
"269","77","28","2397","4931"
"270","72","564","154","4739"
"271","72","351","155","4738"
"272","72","661","152","4742"
"273","77","1346","2346","4727"
"274","37","25","1342","563"
"275","77","13","2425","4844"
"276","77","25","2400","4775"
"277","77","92","2223","4434"
"278","72","388","158","4883"
"279","37","21","1349","578"
"280","37","35","1351","563"
"281","77","26","2287","4651"
"282","37","37","1274","530"
"283","77","11","2343","4789"
"284","77","53","2228","4418"
"285","72","572","159","4963"
"286","72","335","158","4931"
"287","37","26","1323","561"
"288","37","22","1286","544"
"289","77","12","2230","4506"
"290","72","543","164","5057"
"291","72","324","145","4521"
"292","37","27","1319","564"
"293","37","30","1459","609"
"294","72","1317","152","4855"
"295","72","327","131","4006"
"296","77","54","2350","4729"
"297","72","1026","158","4891"
"298","77","16","2271","4563"
"299","77","9","2252","4515"
"300","77","14","2282","4437"
"301","77","25","2344","4726"
"302","77","10","2389","4801"
"303","77","52","2242","4587"
"304","37","23","1361","589"
"305","37","43","1367","580"
"306","77","30","2489","4951"
"307","72","424","163","5108"
"308","72","285","162","5176"
"309","37","53","1411","602"
"310","72","310","155","4895"
"311","77","12","2289","4514"
"312","37","27","1370","566"
"313","77","26","2354","4786"
"314","72","359","167","5245"
"315","77","248","2623","4854"
"316","37","27","1391","581"
"317","72","424","166","5257"
"318","72","286","157","4965"
"319","72","708","152","4750"
"320","72","305","164","4983"
"321","37","24","1378","583"
"322","77","20","2307","4615"
"323","72","326","172","5314"
"324","37","24","1424","599"
"325","37","28","1276","538"
