Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\DITNC1 CK_lxb\DITNC1 CK_P1_C12.lxb DITNC1 CK 
"EventNo","RID","RP1","CL1","CL2"
"1","72","212","162","5080"
"2","72","398","149","4638"
"3","37","21","1472","616"
"4","77","20","2272","4291"
"5","77","34","2325","4735"
"6","72","1166","165","5068"
"7","72","879","162","4955"
"8","37","21","1361","563"
"9","72","507","166","5010"
"10","72","304","179","4743"
"11","72","341","151","4703"
"12","72","93","154","4893"
"13","77","15","2240","4441"
"14","37","25","1392","586"
"15","37","27","1338","547"
"16","77","55","2415","4742"
"17","77","26","2329","4541"
"18","72","308","157","4859"
"19","72","478","157","4736"
"20","72","808","156","4739"
"21","72","615","160","4972"
"22","37","28","1380","577"
"23","72","376","165","5046"
"24","72","879","170","5132"
"25","77","50","2388","4725"
"26","37","36","1423","591"
"27","37","21","1342","563"
"28","37","33","1325","564"
"29","72","262","166","5245"
"30","77","34","2362","4709"
"31","37","41","1343","568"
"32","37","27","1419","574"
"33","72","162","154","4881"
"34","72","343","161","4981"
"35","37","22","1429","595"
"36","72","330","157","4967"
"37","72","902","156","4939"
"38","37","35","1396","587"
"39","37","13","1347","594"
"40","37","53","1429","598"
"41","37","36","1329","559"
"42","77","25","2311","4542"
"43","77","48","2532","5205"
"44","77","47","2330","4569"
"45","37","45","1361","575"
"46","72","364","162","5116"
"47","77","17","2390","4805"
"48","72","592","172","5278"
"49","37","39","1295","559"
"50","37","29","1312","566"
"51","37","33","1408","586"
"52","37","24","1340","582"
"53","37","17","1217","520"
"54","72","115","169","5344"
"55","77","85","2467","5000"
"56","72","390","163","5080"
"57","72","504","167","5164"
"58","37","28","1291","565"
"59","72","222","154","4788"
"60","77","107","2350","4805"
"61","77","28","2682","5408"
"62","77","38","2358","4809"
"63","77","52","2435","4884"
"64","77","22","2271","4633"
"65","77","23","2325","4523"
"66","37","28","1379","601"
"67","37","17","1249","552"
"68","77","25","2282","4609"
"69","37","35","1350","564"
"70","77","43","2326","4705"
"71","37","36","1303","562"
"72","77","38","2454","4844"
"73","37","34","1326","577"
"74","77","32","2402","4936"
"75","37","40","1367","575"
"76","37","57","1426","615"
"77","37","36","1299","571"
"78","72","1735","168","5236"
"79","72","2629","176","5302"
"80","77","21","2237","4661"
"81","77","17","2434","4847"
"82","37","40","1396","581"
"83","37","59","1373","594"
"84","72","242","172","5442"
"85","77","15","2239","4562"
"86","72","231","164","5276"
"87","37","29","1339","579"
"88","77","49","2336","4687"
"89","72","282","165","5096"
"90","37","46","1374","597"
"91","37","27","1427","596"
"92","37","117","1366","599"
"93","77","47","2393","4734"
"94","37","34","1295","566"
"95","37","19","1291","564"
"96","77","24","2519","5245"
"97","37","24","1370","582"
"98","77","25","2368","4897"
"99","37","28","1429","612"
"100","77","19","2338","4757"
"101","37","30","1395","601"
"102","77","15","2490","5204"
"103","37","30","1394","613"
"104","77","16","2452","5098"
"105","77","75","2477","4997"
"106","37","35","1555","668"
"107","77","32","2270","4590"
"108","77","40","2488","4605"
"109","72","1434","155","4725"
"110","72","184","166","4562"
"111","72","282","163","5047"
"112","77","73","2410","4793"
"113","77","24","2321","4600"
"114","72","302","154","4847"
"115","37","54","1392","611"
"116","77","78","2280","4725"
"117","72","415","187","5649"
"118","77","109","2365","4802"
"119","72","201","167","5173"
"120","77","45","2383","4741"
"121","77","23","2474","5022"
"122","72","922","165","5169"
"123","77","25","2284","4709"
"124","72","244","170","5334"
"125","77","32","2340","4781"
"126","37","18","1349","576"
"127","77","19","2342","4770"
"128","77","23","2455","4991"
"129","37","27","1422","603"
"130","72","308","166","5036"
"131","37","31","1395","601"
"132","77","45","2356","4722"
"133","72","671","162","4988"
"134","37","35","1430","604"
"135","37","41","1365","580"
"136","37","23","1283","557"
"137","72","479","167","5121"
"138","37","28","1353","575"
"139","37","27","1373","590"
"140","37","42","1372","572"
"141","37","34","1352","577"
"142","37","31","1388","583"
"143","72","1045","154","5012"
"144","72","589","167","5219"
"145","37","20","1431","616"
"146","37","18","1278","548"
"147","37","26","1375","586"
"148","37","17","1349","566"
"149","77","15","2185","4512"
"150","77","40","2295","4739"
"151","37","33","1371","578"
"152","72","798","168","5043"
"153","37","40","1417","604"
"154","77","17","2331","4695"
"155","37","18","1323","569"
"156","77","43","2416","4897"
"157","72","414","173","5253"
"158","72","295","170","5187"
"159","77","44","2221","4399"
"160","72","262","164","5005"
"161","72","784","167","5172"
"162","77","21","2227","4499"
"163","72","242","161","5077"
"164","72","552","147","4568"
"165","72","336","156","4979"
"166","72","332","165","5107"
"167","72","138","162","4989"
"168","72","173","169","4587"
"169","37","32","1427","590"
"170","72","310","170","5179"
"171","77","24","2304","4567"
"172","37","28","1329","563"
"173","72","136","155","4821"
"174","77","58","2315","4589"
"175","77","17","2301","4631"
"176","37","17","1362","581"
"177","72","445","157","4840"
"178","72","167","162","5005"
"179","72","60","187","4985"
"180","37","37","1303","564"
"181","37","24","1362","575"
"182","72","766","161","5045"
"183","77","24","2179","4305"
"184","72","363","161","4913"
"185","77","28","2271","4493"
"186","37","22","1317","551"
"187","77","21","2246","4518"
