Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\DITNC1 CK_lxb\DITNC1 CK_P1_D6.lxb DITNC1 CK 
"EventNo","RID","RP1","CL1","CL2"
"1","72","1197","151","4821"
"2","77","35","2284","4421"
"3","72","551","166","5066"
"4","37","22","1395","587"
"5","77","22","2220","4584"
"6","77","48","2195","4321"
"7","37","17","1356","561"
"8","72","395","161","5019"
"9","72","117","175","4964"
"10","77","19","2360","4845"
"11","72","1008","157","4847"
"12","77","18","2217","4495"
"13","72","253","154","4842"
"14","37","56","1414","607"
"15","77","14","2241","4517"
"16","37","22","1418","578"
"17","77","20","2426","4896"
"18","37","21","1286","546"
"19","77","18","2274","4569"
"20","72","304","161","4959"
"21","37","17","1431","592"
"22","77","10","2445","4828"
"23","72","227","156","4993"
"24","72","475","166","5358"
"25","37","23","1469","618"
"26","72","778","151","4754"
"27","37","46","1402","605"
"28","37","55","1403","601"
"29","37","49","1373","566"
"30","72","1072","165","5223"
"31","37","27","1343","578"
"32","72","1491","158","5044"
"33","37","22","1352","591"
"34","37","21","1440","594"
"35","37","21","1197","512"
"36","77","31","2192","4669"
"37","37","43","1307","564"
"38","37","21","1350","586"
"39","37","22","1377","576"
"40","72","301","165","5007"
"41","72","238","163","4930"
"42","77","158","2303","4615"
"43","37","21","1301","557"
"44","37","24","1233","533"
"45","37","24","1368","568"
"46","37","25","1392","584"
"47","72","589","165","5132"
"48","37","17","1289","547"
"49","72","2249","159","5039"
"50","37","18","1384","611"
"51","77","15","2292","4619"
"52","37","42","1415","621"
"53","77","20","2499","4953"
"54","37","33","1394","593"
"55","37","19","1298","563"
"56","72","510","172","5336"
"57","37","36","1343","556"
"58","72","256","164","5238"
"59","77","10","2237","4754"
"60","77","942","2304","4465"
"61","37","20","1246","529"
"62","37","32","1459","617"
"63","77","29","2168","4513"
"64","72","360","168","5096"
"65","77","37","2337","4798"
"66","77","26","2279","4698"
"67","77","33","2330","4615"
"68","77","16","2366","4851"
"69","37","15","1358","579"
"70","37","74","1406","598"
"71","77","19","2357","4832"
"72","77","102","2280","4722"
"73","37","30","1396","596"
"74","37","22","1386","582"
"75","77","41","2217","4439"
"76","37","29","1306","542"
"77","72","468","159","5003"
"78","37","28","1358","573"
"79","72","202","163","5134"
"80","37","21","1337","579"
"81","77","13","2378","4887"
"82","37","23","1412","607"
"83","37","28","1391","580"
"84","37","21","1356","576"
"85","77","16","2495","5084"
"86","77","15","2385","4848"
"87","72","271","168","5164"
"88","77","11","2355","4774"
"89","72","163","165","5129"
"90","37","25","1420","615"
"91","72","291","159","5060"
"92","77","11","2486","5055"
"93","37","25","1321","558"
"94","77","28","2387","4774"
"95","37","55","1380","590"
"96","72","607","169","5174"
"97","72","1390","160","5150"
"98","77","32","2264","4575"
"99","37","30","1386","597"
"100","72","304","163","5138"
"101","72","298","153","4984"
"102","37","20","1273","550"
"103","72","2046","157","4930"
"104","37","28","1401","580"
"105","37","16","1404","600"
"106","77","28","2376","4721"
"107","37","16","1312","561"
"108","72","410","159","4849"
"109","72","1164","169","5252"
"110","77","19","2334","4697"
"111","37","31","1380","601"
"112","37","10","1352","578"
"113","77","32","2249","4524"
"114","72","1002","174","5539"
"115","72","1023","157","5118"
"116","72","206","161","4982"
"117","72","1036","164","5167"
"118","77","40","2459","4959"
"119","37","18","1264","546"
"120","37","17","1375","594"
"121","37","26","1364","579"
"122","72","946","164","5135"
"123","37","26","1301","555"
"124","37","23","1413","619"
"125","37","19","1348","590"
"126","37","17","1320","557"
"127","37","44","1290","544"
"128","77","36","2222","4355"
"129","37","12","1348","568"
"130","37","27","1290","546"
"131","37","51","1350","576"
"132","72","728","167","5113"
"133","37","27","1289","549"
"134","37","22","1359","573"
"135","72","469","159","5065"
"136","77","14","2268","4723"
"137","77","73","2497","5040"
"138","77","54","2442","4924"
