Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\DITNC1 CK_lxb\DITNC1 CK_P1_E9.lxb DITNC1 CK 
"EventNo","RID","RP1","CL1","CL2"
"1","37","20","1291","548"
"2","37","18","1324","554"
"3","72","481","163","4994"
"4","37","19","1360","580"
"5","37","17","1417","587"
"6","77","21","2365","4539"
"7","77","59","2346","4593"
"8","37","22","1383","565"
"9","72","404","169","5302"
"10","72","647","158","4878"
"11","72","459","167","4773"
"12","37","26","1375","593"
"13","72","225","159","4895"
"14","77","14","2225","4468"
"15","37","18","1399","589"
"16","37","38","1329","566"
"17","72","567","171","5082"
"18","37","32","1338","552"
"19","77","68","2293","4509"
"20","37","11","1397","591"
"21","77","218","2315","4883"
"22","77","153","2291","4576"
"23","77","131","2245","4745"
"24","72","193","165","5057"
"25","72","580","158","4796"
"26","37","25","1346","600"
"27","72","310","157","5036"
"28","37","17","1330","553"
"29","37","32","1384","569"
"30","72","321","164","5028"
"31","72","192","167","5179"
"32","77","14","2360","4741"
"33","72","364","159","4937"
"34","77","32","2420","4775"
"35","37","18","1281","561"
"36","72","292","170","5275"
"37","72","258","158","4956"
"38","37","21","1416","586"
"39","72","172","155","4873"
"40","37","24","1327","590"
"41","37","25","1281","559"
"42","37","33","1433","602"
"43","77","161","2323","4795"
"44","37","15","1382","612"
"45","72","233","154","4875"
"46","37","44","1213","527"
"47","72","241","163","4935"
"48","37","23","1378","595"
"49","77","27","2341","4889"
"50","72","138","177","4982"
"51","77","31","2190","4408"
"52","37","22","1329","568"
"53","72","289","168","5159"
"54","37","27","1387","575"
"55","72","156","164","5025"
"56","72","393","171","5372"
"57","72","242","163","5141"
"58","37","32","1303","568"
"59","37","31","1432","611"
"60","77","19","2129","4315"
"61","37","31","1200","513"
"62","77","15","2416","4749"
"63","72","278","152","4759"
"64","72","516","163","5203"
"65","37","17","1259","535"
"66","77","19","2313","4517"
"67","37","31","1408","605"
"68","77","53","2239","4399"
"69","72","132","163","4476"
"70","77","62","2276","4331"
"71","72","222","159","5034"
"72","37","30","1433","596"
"73","77","30","2300","4757"
"74","72","150","147","4609"
"75","77","43","2311","4618"
"76","72","619","146","4679"
"77","37","29","1374","584"
"78","77","20","2391","4923"
"79","37","24","1379","595"
"80","77","38","2262","4653"
"81","37","40","1394","596"
"82","37","25","1373","592"
"83","72","198","162","5069"
"84","37","27","1385","585"
"85","77","91","2378","4757"
"86","37","31","1388","605"
"87","72","308","167","5313"
"88","37","22","1422","606"
"89","37","26","1363","591"
"90","72","401","164","4940"
"91","37","25","1331","582"
"92","77","29","2373","4787"
"93","72","244","166","5140"
"94","37","30","1357","608"
"95","77","60","2412","4863"
"96","77","177","2239","4612"
"97","77","61","2402","4913"
"98","37","21","1383","604"
"99","77","45","2449","4604"
"100","37","30","1410","606"
"101","72","461","163","5068"
"102","77","13","2265","4591"
"103","37","23","1374","592"
"104","72","263","158","4579"
"105","37","34","1404","646"
"106","72","205","168","5071"
"107","72","190","148","4820"
"108","72","858","165","5175"
"109","37","18","1266","540"
"110","77","36","2201","4479"
"111","37","19","1370","580"
"112","77","37","2404","4686"
"113","77","86","2192","4591"
"114","77","111","2388","4797"
"115","37","28","1363","571"
"116","37","23","1381","586"
"117","77","69","2343","4815"
"118","37","18","1421","600"
"119","37","25","1414","599"
"120","77","26","2400","4798"
"121","77","28","2421","4877"
"122","72","499","162","5098"
"123","77","28","2337","4857"
"124","77","34","2391","4812"
"125","72","209","178","5446"
"126","37","13","1433","621"
"127","72","675","160","5107"
"128","72","311","164","5082"
"129","37","15","1357","576"
"130","37","34","1317","567"
"131","37","29","1365","585"
"132","72","844","156","4902"
"133","37","43","1391","601"
"134","77","88","2349","4800"
"135","37","23","1329","568"
"136","37","19","1305","555"
"137","37","29","1385","592"
"138","72","207","167","5204"
"139","37","16","1276","542"
"140","72","2142","161","5078"
"141","37","30","1286","549"
"142","37","36","1368","582"
"143","72","509","163","5076"
"144","72","269","169","5333"
"145","72","411","168","5211"
"146","77","153","2412","4746"
"147","37","24","1304","553"
"148","72","350","167","5139"
"149","72","230","155","4872"
"150","37","25","1362","586"
"151","77","37","2351","5158"
"152","37","29","1394","590"
"153","37","21","1407","601"
"154","37","34","1409","589"
"155","37","25","1376","593"
"156","72","322","142","4598"
"157","77","23","2207","4424"
"158","37","23","1334","559"
"159","37","38","1311","563"
"160","77","26","2291","4535"
"161","72","263","156","4960"
"162","37","33","1364","589"
"163","37","10","1295","564"
"164","72","319","159","5180"
"165","72","372","168","5180"
"166","0","94","3741","7159"
"167","77","29","2285","4697"
"168","77","28","2271","4592"
"169","72","382","170","5256"
"170","77","418","2427","4854"
"171","72","267","155","4904"
"172","37","30","1316","574"
"173","37","36","1375","588"
"174","72","466","146","4757"
"175","72","252","161","4596"
"176","72","269","154","4912"
"177","72","480","162","4922"
"178","77","25","2308","4630"
"179","72","221","176","5088"
"180","77","20","2324","4678"
"181","37","33","1398","616"
"182","72","203","166","5302"
"183","77","42","2331","4629"
"184","37","28","1366","581"
"185","37","36","1382","583"
"186","72","299","163","4969"
"187","72","318","169","5371"
"188","77","16","2225","4590"
"189","77","28","2271","4601"
"190","37","47","1387","591"
"191","77","38","2274","4595"
"192","72","574","169","5166"
"193","77","152","2389","4668"
"194","77","30","2149","4377"
"195","37","34","1382","579"
"196","77","18","2366","4630"
"197","37","17","1291","546"
"198","37","49","1444","604"
"199","37","27","1401","601"
"200","72","86","182","4989"
"201","37","21","1294","549"
"202","37","22","1374","591"
"203","77","31","2173","4321"
"204","77","28","2363","4743"
"205","77","35","2262","4446"
"206","72","329","159","4955"
"207","77","24","2312","4724"
"208","77","62","2460","4844"
"209","72","812","162","5027"
"210","37","28","1424","613"
"211","37","26","1421","601"
"212","72","727","169","5114"
"213","72","616","160","5083"
"214","37","24","1321","569"
"215","37","18","1426","597"
"216","37","22","1383","581"
"217","72","357","162","5000"
"218","77","76","2409","4826"
"219","77","29","2384","4739"
"220","37","16","1296","543"
"221","77","187","2226","4518"
"222","37","16","1368","585"
"223","77","40","2295","4624"
"224","37","30","1301","547"
"225","77","15","2337","4727"
"226","37","20","1339","556"
"227","72","430","162","4946"
"228","77","56","2487","4960"
"229","77","46","2223","4492"
"230","72","423","160","5033"
"231","77","39","2241","4463"
"232","77","39","2458","4924"
"233","77","46","2274","4520"
"234","77","3327","2362","4720"
"235","72","387","164","5113"
"236","77","24","2347","4684"
"237","77","34","2308","4623"
"238","77","21","2298","4619"
"239","37","26","1342","567"
"240","77","120","2369","4688"
"241","72","153","161","5026"
"242","77","177","2146","4391"
"243","77","24","2310","4768"
"244","72","437","166","5166"
"245","72","343","157","4858"
"246","77","138","2352","4673"
"247","77","23","2333","4670"
"248","72","431","162","4752"
"249","37","39","1401","592"
"250","77","81","2297","4604"
"251","72","626","162","5031"
"252","72","14","145","4468"
"253","72","314","162","5001"
"254","37","28","1267","527"
"255","72","213","156","4955"
"256","77","21","2308","4708"
"257","37","16","1391","600"
"258","72","359","158","4979"
"259","77","13","2252","4491"
"260","72","345","157","4814"
"261","77","50","2327","4713"
"262","37","27","1417","589"
"263","77","17","2394","4755"
"264","77","26","2159","4355"
"265","77","13","2328","4711"
"266","77","69","2432","4861"
"267","77","40","2251","4435"
"268","37","32","1299","544"
"269","37","22","1381","583"
"270","72","702","170","5199"
"271","77","21","2302","4658"
"272","77","35","2241","4569"
"273","37","34","1320","565"
"274","77","72","2387","4751"
"275","37","28","1357","579"
"276","77","17","2302","4595"
"277","77","474","2299","4605"
"278","77","22","2336","4724"
"279","72","277","153","4938"
"280","72","164","156","4845"
"281","37","29","1330","542"
"282","72","423","157","4772"
"283","72","162","163","5064"
"284","77","28","2309","4511"
"285","77","83","2409","4747"
"286","77","192","2269","4475"
"287","72","375","172","5100"
"288","77","69","2184","4478"
"289","37","32","1283","635"
"290","72","162","163","5052"
"291","37","28","1413","589"
"292","37","35","1357","571"
"293","37","29","1378","577"
"294","77","59","2317","4733"
"295","37","24","1252","541"
"296","37","24","1411","589"
"297","37","20","1313","556"
"298","37","22","1384","584"
"299","72","132","166","5158"
"300","37","21","1305","543"
"301","72","364","168","5022"
"302","37","27","1321","534"
"303","37","25","1391","596"
"304","37","32","1423","596"
"305","72","194","152","4810"
"306","72","185","157","4796"
"307","37","25","1368","579"
"308","77","48","2382","4722"
"309","77","46","2422","4774"
"310","77","42","2169","4419"
"311","37","39","1397","593"
"312","77","29","2307","4588"
"313","37","27","1331","560"
"314","72","282","163","5009"
"315","37","45","1257","521"
"316","77","27","2328","4662"
"317","72","245","166","5145"
"318","77","97","2267","4528"
"319","77","27","2297","4588"
"320","72","349","158","4907"
"321","77","186","2309","4594"
"322","72","339","167","5287"
"323","37","43","1317","563"
"324","77","19","2349","4696"
"325","77","548","2316","4609"
"326","37","24","1302","548"
"327","72","270","158","4998"
"328","72","476","155","4827"
"329","77","107","2306","4652"
"330","37","14","1345","556"
"331","77","27","2362","4635"
"332","37","29","1335","573"
"333","72","495","146","4403"
"334","37","16","1379","585"
"335","37","33","1342","557"
"336","77","75","2280","4576"
"337","77","19","2313","4514"
"338","72","269","158","4962"
"339","37","23","1325","570"
"340","77","123","2312","4606"
"341","77","73","2309","4631"
"342","37","29","1351","575"
"343","37","27","1353","585"
"344","77","45","2161","4262"
"345","37","20","1359","577"
"346","77","171","2137","4457"
"347","77","42","2291","4573"
"348","72","178","156","4791"
"349","77","41","2302","4611"
"350","77","23","2471","4889"
"351","72","670","172","5369"
"352","37","34","1364","566"
"353","72","113","151","4777"
"354","77","37","2335","4774"
"355","77","24","2478","4940"
"356","37","11","1317","551"
"357","77","148","2085","4309"
"358","72","560","166","5039"
"359","77","67","2556","4868"
"360","37","39","1402","594"
"361","72","427","167","5141"
"362","72","644","162","4979"
"363","72","321","156","4853"
"364","72","414","159","4892"
"365","77","102","2307","4620"
"366","37","25","1356","587"
"367","72","229","142","4467"
"368","77","37","2248","4531"
"369","37","23","1373","587"
"370","77","46","2354","4744"
"371","37","29","1349","558"
"372","37","31","1394","592"
"373","77","319","2305","4595"
"374","72","241","153","4757"
"375","77","84","2301","4604"
"376","72","274","161","4974"
"377","37","25","1372","567"
"378","77","458","2342","4653"
"379","77","38","2252","4507"
"380","37","39","1277","529"
"381","37","15","1366","578"
"382","37","32","1403","592"
"383","77","23","2263","4624"
"384","37","23","1260","531"
"385","37","29","1359","565"
"386","72","462","163","5095"
"387","72","376","163","5168"
"388","77","38","2197","4400"
"389","72","367","159","5075"
"390","72","226","161","4960"
"391","72","10","158","4946"
"392","77","72","2308","4600"
"393","37","27","1360","578"
"394","37","237","1289","560"
"395","72","212","164","5123"
"396","72","133","148","4691"
"397","37","50","1341","563"
"398","72","486","161","4898"
"399","37","18","1335","565"
"400","72","441","157","4872"
"401","72","373","175","5193"
"402","77","30","2369","4761"
"403","77","41","2387","4666"
"404","77","213","2204","4623"
"405","77","27","2304","4776"
"406","77","18","2264","4591"
"407","72","573","159","4918"
"408","72","344","168","4978"
"409","0","27","1985","3959"
"410","72","328","158","4894"
"411","77","27","2345","4644"
"412","72","401","156","4955"
"413","37","24","1367","583"
"414","37","23","1327","560"
"415","77","38","2427","4734"
"416","37","20","1321","557"
"417","37","20","1308","558"
"418","77","81","2445","4913"
"419","37","28","1322","559"
