Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\DITNC1 CK_lxb\DITNC1 CK_P1_F4.lxb DITNC1 CK 
"EventNo","RID","RP1","CL1","CL2"
"1","72","275","163","5041"
"2","37","29","1326","544"
"3","72","149","174","4977"
"4","37","23","1268","548"
"5","77","29","2450","4798"
"6","77","43","2412","4615"
"7","77","31","2343","4595"
"8","37","28","1347","575"
"9","77","89","2347","4727"
"10","72","449","150","4851"
"11","72","455","158","5072"
"12","77","53","2248","4449"
"13","72","400","158","4964"
"14","72","184","165","4990"
"15","77","18","2268","4615"
"16","77","43","2264","4618"
"17","77","48","2341","4584"
"18","77","22","2281","4748"
"19","72","141","162","4962"
"20","37","23","1333","585"
"21","77","126","2385","4618"
"22","37","36","1340","579"
"23","72","545","165","5073"
"24","77","51","2312","4491"
"25","72","457","157","4823"
"26","72","563","161","5011"
"27","37","41","1301","562"
"28","72","542","160","5024"
"29","37","45","1306","554"
"30","77","26","2304","4850"
"31","72","481","165","5108"
"32","77","29","2261","4507"
"33","72","415","151","5026"
"34","72","134","167","5258"
"35","37","11","1344","574"
"36","37","35","1289","550"
"37","77","29","2330","4850"
"38","72","452","164","5191"
"39","77","31","2331","4720"
"40","72","307","166","5067"
"41","77","26","2266","4534"
"42","77","42","2284","4596"
"43","37","33","1415","603"
"44","37","23","1362","576"
"45","37","34","1546","634"
"46","37","31","1315","571"
"47","77","1275","2225","4530"
"48","72","293","158","5008"
"49","77","10","2302","4768"
"50","77","27","2388","4722"
"51","77","26","2237","4686"
"52","77","54","2411","4885"
"53","72","243","156","4995"
"54","77","54","2175","4340"
"55","77","28","2233","4544"
"56","77","19","2343","4609"
"57","37","27","1259","558"
"58","37","56","1201","530"
"59","72","383","158","4922"
"60","37","67","1295","537"
"61","77","50","2463","5007"
"62","77","31","2362","4791"
"63","65","21","1593","3491"
"64","72","493","163","5189"
"65","77","22","2339","4678"
"66","72","482","159","4946"
"67","37","31","1397","588"
"68","37","38","1427","615"
"69","77","25","2290","4471"
"70","72","533","158","4995"
"71","72","245","159","5128"
"72","72","394","167","5133"
"73","37","23","1234","535"
"74","37","20","1376","573"
"75","37","23","1407","593"
"76","77","26","2316","4696"
"77","77","27","2278","4699"
"78","72","263","176","5536"
"79","37","28","1361","589"
"80","77","27","2348","4765"
"81","72","417","154","4910"
"82","37","23","1443","626"
