Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\DITNC1 CK_lxb\DITNC1 CK_P1_G11.lxb DITNC1 CK 
"EventNo","RID","RP1","CL1","CL2"
"1","37","22","1429","559"
"2","77","22","2303","4490"
"3","37","8","1413","577"
"4","37","28","1330","552"
"5","77","22","2458","4729"
"6","72","172","162","4987"
"7","37","26","1364","582"
"8","72","489","173","5201"
"9","72","363","154","4508"
"10","37","24","1317","557"
"11","77","42","2256","4557"
"12","72","773","160","5036"
"13","72","325","177","4774"
"14","37","22","1454","595"
"15","77","30","2391","4554"
"16","37","34","1331","557"
"17","72","217","161","4890"
"18","37","19","1507","610"
"19","37","26","1479","604"
"20","77","14","2277","4536"
"21","37","37","1396","580"
"22","37","27","1365","577"
"23","77","23","2523","4857"
"24","72","413","163","4967"
"25","77","24","2344","4552"
"26","37","30","1301","561"
"27","72","135","165","4910"
"28","37","41","1451","595"
"29","77","26","2382","4653"
"30","37","38","1344","566"
"31","72","232","162","5231"
"32","77","23","2215","4357"
"33","37","17","1408","581"
"34","72","1016","149","4634"
"35","72","267","170","5182"
"36","72","800","166","4992"
"37","72","190","164","5229"
"38","37","31","1340","558"
"39","37","25","1388","568"
"40","37","46","1392","608"
"41","72","350","164","4938"
"42","72","248","164","4900"
"43","37","26","1354","577"
"44","77","42","2324","4513"
"45","77","20","2366","4638"
"46","72","622","162","4894"
"47","77","36","2397","4781"
"48","72","1120","159","4873"
"49","37","25","1270","547"
"50","77","208","2328","4750"
"51","77","36","2426","4938"
"52","72","187","164","5088"
"53","77","22","2252","4260"
"54","72","412","165","5026"
"55","77","15","2359","4606"
"56","77","23","2246","4477"
"57","77","27","2389","4493"
"58","72","314","161","5120"
"59","72","875","163","5122"
"60","77","47","2289","4664"
"61","37","39","1377","570"
"62","77","32","2314","4715"
"63","77","40","2403","4820"
"64","37","31","1402","603"
"65","77","35","2280","4773"
"66","72","379","169","5200"
"67","37","33","1338","577"
"68","37","37","1443","592"
"69","72","314","146","4741"
"70","77","40","2418","4815"
"71","77","121","2210","4278"
"72","77","48","2243","4640"
"73","37","27","1310","574"
"74","77","335","2324","4799"
"75","37","27","1426","596"
"76","37","40","1380","571"
"77","37","24","1394","596"
"78","77","23","2418","4866"
"79","77","42","2485","4955"
"80","37","20","1283","549"
"81","72","267","152","4948"
"82","77","34","2316","4679"
"83","77","37","2364","4815"
"84","77","24","2369","4799"
"85","77","41","2320","4728"
