Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,10/16/19,1:56 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX17165724,,,,,,,,,,,,,,,
Batch,DITNC1 CK,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,
ComputerName,ENV18022701X,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Rat Cytokine Chemokine AD,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,Millipore,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,10/16/19 1:58,,,,,,,,,,,,,,,
BatchStopTime,10/16/19 2:57,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,3,,,,,,,,,,
ProtocolAnalysis,Type,Quan,Mode,FitOfAllStandards,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 10/15/2019 15:47:30,,,,,,,,,,,,,,,
Last VER Verification,Passed 10/15/2019 15:48:32,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 10/15/2019 15:49:52,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B62703,11/17/19,10/15/19 15:47,26.4,26.4,26.4,26.4,252,284,353,353,0.00702,0.00697,0.00407,0.11954,Pass,MAGPX17165724
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AssayLotInfo:,,,,,,,,,,,,,,,,
KitName,LotNumber,ExpirationDate,Manufacturer,,,,,,,,,,,,,
Rat Cytokine-Chemokine Panel,RCYT-8605,3/1/21,Millipore,,,,,,,,,,,,,
Reagent,LotName,LotNumber,ExpirationDate,Manufacturer,,,,,,,,,,,,
Standard1,Rat CK Panel,RCYT-8605,3/1/21,Millipore,,,,,,,,,,,,
Standard2,Rat CK Panel,RCYT-8605,3/1/21,Millipore,,,,,,,,,,,,
Standard3,Rat CK Panel,RCYT-8605,3/1/21,Millipore,,,,,,,,,,,,
Standard4,Rat CK Panel,RCYT-8605,3/1/21,Millipore,,,,,,,,,,,,
Standard5,Rat CK Panel,RCYT-8605,3/1/21,Millipore,,,,,,,,,,,,
Standard6,Rat CK Panel,RCYT-8605,3/1/21,Millipore,,,,,,,,,,,,
Standard7,Rat CK Panel,RCYT-8605,3/1/21,Millipore,,,,,,,,,,,,
Control1,Rat CK Panel,RCY-109,3/1/21,Millipore,,,,,,,,,,,,
Control2,Rat CK Panel,RCY-209,3/1/21,Millipore,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,36,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,IL-6,GRO/KC/CINC-1,TNFa,Total Events,,,,,,,,,,,
"1(1,A1)",Background0,27,143.5,25,1109,,,,,,,,,,,
"2(1,B1)",Background0,27,105.5,23,1099,,,,,,,,,,,
"3(1,C1)",Standard1,28,125,48,966,,,,,,,,,,,
"4(1,D1)",Standard1,31,134,55,1029,,,,,,,,,,,
"5(1,E1)",Standard2,33,141,124,1046,,,,,,,,,,,
"6(1,F1)",Standard2,33,117,133,1178,,,,,,,,,,,
