Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\RLE6TN CK_lxb\RLE6TN CK_P1_A12.lxb RLE6TN CK 
"EventNo","RID","RP1","CL1","CL2"
"1","72","218","159","4766"
"2","72","195","168","4960"
"3","77","51","2333","4979"
"4","37","27","1434","589"
"5","77","28","2313","4411"
"6","77","25","2258","4295"
"7","77","51","2352","4590"
"8","72","185","160","4846"
"9","77","58","2361","4736"
"10","37","66","1403","563"
"11","72","166","173","5216"
"12","72","207","169","5085"
"13","37","26","1341","549"
"14","72","211","158","4798"
"15","37","31","1369","573"
"16","77","100","2398","4533"
"17","72","270","159","4922"
"18","37","26","1339","571"
"19","72","185","175","5247"
"20","77","29","2336","4761"
"21","72","449","160","4878"
"22","72","140","154","4766"
"23","37","22","1379","571"
"24","72","243","168","5043"
"25","77","91","2301","4682"
"26","77","43","2442","4723"
"27","77","55","2397","4843"
"28","37","27","1346","572"
"29","37","37","1338","547"
"30","72","190","156","4774"
"31","72","150","154","4759"
"32","37","35","1295","553"
"33","77","30","2298","4775"
"34","37","25","1289","566"
"35","37","28","1378","585"
"36","77","41","2354","4690"
"37","37","28","1425","584"
"38","77","115","2313","4675"
"39","77","63","2227","4548"
"40","77","75","2465","4726"
"41","77","45","2207","4525"
"42","37","26","1384","579"
"43","37","52","1335","588"
"44","72","150","168","5177"
"45","77","35","2328","4563"
"46","77","51","2341","4568"
"47","77","50","2219","4567"
"48","77","217","2392","4761"
"49","37","88","1445","604"
"50","77","50","2401","4824"
"51","37","31","1334","554"
"52","77","112","2434","4846"
"53","72","208","157","4834"
"54","77","71","2258","4607"
"55","77","90","2317","4623"
"56","77","40","2482","5025"
"57","72","299","172","5176"
"58","77","32","2446","4785"
"59","72","274","167","5169"
"60","77","69","2391","4730"
"61","72","497","170","5147"
"62","77","36","2399","5157"
"63","77","60","2246","4454"
"64","72","543","151","4831"
"65","37","21","1380","578"
"66","37","31","1288","556"
"67","72","288","167","5060"
"68","77","86","2401","4943"
"69","37","26","1337","587"
"70","37","24","1376","600"
"71","72","296","166","5166"
"72","37","42","1369","593"
"73","37","30","1420","596"
"74","77","44","2234","4570"
"75","77","45","2584","5062"
"76","37","26","1401","582"
"77","37","35","1539","627"
"78","37","32","1345","571"
"79","37","45","1352","580"
"80","77","102","2321","4623"
"81","77","48","2391","4764"
"82","77","50","2407","4542"
"83","37","88","1301","548"
"84","37","57","1308","579"
"85","37","45","1377","593"
"86","37","31","1340","594"
"87","37","22","1301","570"
"88","72","260","157","5065"
"89","72","212","168","5221"
