Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\RLE6TN CK_lxb\RLE6TN CK_P1_B8.lxb RLE6TN CK 
"EventNo","RID","RP1","CL1","CL2"
"1","72","138","155","4889"
"2","37","24","1332","535"
"3","72","140","169","5027"
"4","37","45","1332","565"
"5","37","39","1400","583"
"6","37","58","1387","593"
"7","77","80","2504","5010"
"8","77","64","2270","4428"
"9","77","84","2449","4701"
"10","37","34","1432","572"
"11","77","124","2270","4496"
"12","72","62","161","5128"
"13","77","56","2376","4581"
"14","77","37","2409","4660"
"15","37","36","1361","572"
"16","72","203","156","4903"
"17","72","173","175","5343"
"18","37","92","1430","593"
"19","77","75","2202","4394"
"20","37","32","1369","572"
"21","72","152","170","5006"
"22","77","57","2310","4567"
"23","37","42","1339","569"
"24","72","127","158","4903"
"25","77","69","2250","4523"
"26","37","29","1294","562"
"27","77","185","2413","4823"
"28","37","33","1389","570"
"29","72","463","160","4836"
"30","37","37","1306","558"
"31","72","253","166","5107"
"32","72","480","161","5026"
"33","72","444","152","4825"
"34","37","35","1351","573"
"35","37","76","1399","575"
"36","77","175","2222","4379"
"37","37","26","1393","581"
"38","72","128","160","4930"
"39","72","93","159","5005"
"40","37","25","1303","557"
"41","72","228","157","4841"
"42","37","50","1368","574"
"43","72","255","144","4820"
"44","37","30","1373","598"
"45","77","45","2475","4840"
"46","37","24","1326","575"
"47","77","59","2271","4549"
"48","77","114","2503","4840"
"49","77","51","2374","4805"
"50","37","42","1277","540"
"51","77","39","2393","4910"
"52","37","26","1335","573"
"53","37","50","1446","592"
"54","72","65","163","5092"
"55","37","36","1340","577"
"56","37","46","1329","563"
"57","77","70","2265","4469"
"58","72","241","163","4995"
"59","37","26","1342","568"
"60","37","50","1261","537"
"61","77","54","2307","4582"
"62","37","38","1390","628"
"63","37","27","1268","560"
"64","77","58","2125","4199"
"65","77","43","2292","4638"
"66","37","46","1374","574"
"67","77","253","2264","4627"
"68","72","279","163","5076"
"69","37","41","1284","556"
"70","37","43","1409","595"
"71","37","35","1375","587"
"72","77","46","2255","4618"
"73","37","27","1398","578"
"74","37","33","1391","579"
"75","37","23","1398","595"
"76","77","255","2417","4725"
"77","37","28","1406","586"
"78","37","9","1372","568"
"79","37","73","1369","588"
"80","77","46","2248","4680"
"81","72","235","150","4779"
"82","37","29","1426","596"
"83","72","76","174","5067"
"84","37","20","1427","592"
"85","72","223","164","5240"
"86","77","32","2385","4743"
"87","77","36","2265","4682"
"88","77","45","2360","4851"
"89","77","12","2131","4275"
"90","37","23","1464","644"
"91","37","25","1410","592"
"92","37","78","1316","564"
"93","77","70","2382","4900"
"94","37","31","1409","599"
"95","77","117","2358","4857"
"96","77","38","2335","4571"
"97","37","29","1299","574"
"98","77","20","2353","4769"
"99","72","98","162","5058"
"100","37","25","1340","565"
"101","77","114","2283","4671"
"102","72","86","161","4990"
"103","72","374","149","4550"
"104","77","68","2331","4690"
"105","72","138","142","4498"
"106","77","56","2425","4794"
"107","77","40","2297","4529"
"108","77","47","2278","4557"
"109","77","42","2393","4589"
"110","37","22","1361","570"
"111","37","52","1336","586"
"112","77","43","2182","4413"
"113","72","309","174","5188"
"114","72","231","159","5292"
"115","37","66","1413","670"
"116","37","24","1402","594"
"117","37","34","1352","566"
"118","72","167","161","5182"
"119","37","35","1350","576"
"120","72","253","157","4909"
"121","77","124","2363","4715"
"122","72","188","159","5034"
"123","72","275","154","4837"
"124","77","69","2269","4634"
"125","37","1021","1517","627"
"126","77","43","2421","4937"
"127","37","34","1376","580"
"128","72","179","165","5118"
"129","37","30","1357","584"
"130","37","17","1326","572"
"131","37","22","1393","560"
"132","37","26","1460","624"
"133","77","52","2302","4642"
"134","37","27","1318","560"
"135","37","33","1340","585"
"136","37","32","1409","580"
"137","72","118","159","4974"
"138","37","15","1321","572"
"139","72","233","163","5021"
"140","72","294","160","4993"
"141","37","81","1291","557"
"142","37","22","1337","585"
"143","77","87","2434","4902"
"144","77","37","2300","4617"
"145","77","73","2288","4692"
"146","37","23","1313","575"
"147","37","33","1406","606"
"148","72","86","155","4776"
"149","72","187","160","4885"
"150","37","25","1415","591"
"151","37","13","1355","599"
"152","77","58","2377","4900"
"153","77","44","2349","4689"
"154","72","213","152","4818"
"155","72","811","163","5159"
"156","37","61","1307","562"
"157","72","436","160","5150"
"158","77","69","2357","4871"
"159","37","49","1338","588"
"160","72","171","161","5097"
"161","77","34","2212","4399"
"162","37","74","1406","595"
"163","37","26","1299","555"
"164","77","133","2370","4791"
"165","37","22","1374","585"
"166","37","40","1386","585"
"167","37","39","1333","582"
"168","37","25","1319","563"
"169","72","226","166","5234"
"170","72","175","170","5246"
"171","77","223","2273","4855"
"172","72","132","171","5125"
"173","77","65","2320","4658"
"174","37","43","1364","582"
"175","37","39","1374","581"
"176","72","117","154","4865"
"177","77","11","2358","4881"
"178","72","78","164","5017"
"179","37","35","1339","579"
"180","72","299","155","4825"
"181","72","128","164","5146"
"182","37","30","1335","577"
"183","37","47","1374","601"
"184","72","262","162","5136"
"185","37","22","1416","614"
"186","37","27","1365","570"
"187","77","119","2395","4894"
"188","37","34","1365","576"
"189","37","35","1348","562"
"190","72","235","162","4952"
"191","77","47","2291","4769"
"192","37","18","1368","598"
"193","72","125","164","5053"
"194","37","18","1409","605"
"195","37","47","1372","585"
"196","77","37","2275","4565"
"197","77","32","2358","4840"
"198","77","43","2479","4816"
"199","37","39","1455","613"
"200","72","110","161","4991"
"201","77","73","2416","4867"
"202","77","62","2458","4835"
"203","77","25","2377","4720"
"204","77","27","2115","4217"
"205","72","271","162","5123"
"206","72","131","167","5061"
"207","77","20","2262","4619"
"208","77","42","2350","4779"
"209","72","113","161","4867"
"210","77","53","2349","4780"
"211","77","129","2356","4815"
"212","77","322","2275","4548"
"213","77","153","2387","4872"
"214","72","80","157","5052"
"215","72","123","159","4921"
"216","77","87","2469","5188"
"217","77","59","2387","4923"
"218","77","166","2373","4816"
"219","72","251","159","5114"
"220","72","273","158","5041"
"221","77","33","2350","4766"
"222","77","40","2235","4503"
"223","72","148","161","5207"
"224","37","24","1381","588"
"225","77","29","2295","4631"
"226","37","62","1401","586"
"227","72","128","157","5142"
"228","37","61","1389","594"
"229","77","58","2387","4803"
"230","77","74","2332","4742"
"231","72","104","164","5139"
"232","77","18","2158","4395"
"233","72","189","154","4881"
"234","77","51","2353","4690"
"235","72","79","167","5004"
"236","37","30","1360","585"
"237","37","25","1326","575"
"238","77","100","2345","4782"
"239","77","59","2320","4711"
"240","77","48","2469","5069"
"241","37","29","1290","562"
"242","77","44","2508","5234"
"243","72","88","156","4880"
"244","77","39","2387","4801"
"245","37","31","1319","574"
"246","77","29","2305","4831"
"247","37","39","1387","586"
"248","77","103","2358","4798"
"249","37","33","1439","614"
"250","37","24","1361","564"
"251","37","33","1447","630"
"252","77","775","2365","4732"
"253","37","27","1363","575"
"254","72","275","164","5056"
"255","77","21","2308","4649"
"256","77","19","2256","4907"
"257","37","63","1349","572"
"258","72","240","161","5117"
"259","77","24","2371","4766"
"260","37","16","1335","571"
"261","77","21","2233","4348"
"262","77","46","2328","4652"
"263","37","14","1409","598"
"264","77","36","2230","4454"
"265","77","43","2285","4729"
"266","37","23","1428","602"
"267","37","56","1321","552"
"268","37","66","1409","589"
"269","37","42","1320","568"
"270","77","124","2202","4494"
"271","72","299","174","5228"
"272","77","40","2226","4590"
"273","37","42","1367","578"
"274","77","41","2222","4488"
"275","37","62","1426","601"
"276","37","34","1382","592"
"277","37","27","1410","599"
"278","37","33","1345","578"
"279","77","20","2436","4804"
"280","77","39","2302","4725"
"281","77","90","2287","4777"
"282","77","57","2266","4499"
"283","72","323","150","4844"
"284","37","53","1430","595"
"285","37","62","1299","544"
"286","37","62","1410","611"
"287","37","28","1359","582"
"288","72","182","151","4849"
"289","72","183","159","5081"
"290","77","109","2354","4644"
"291","72","421","155","4882"
"292","77","34","2242","4444"
"293","37","25","1324","564"
"294","37","44","1304","555"
"295","37","36","1296","546"
"296","72","158","155","4991"
"297","72","162","165","5210"
"298","77","67","2328","4679"
"299","77","166","2429","4893"
"300","72","260","162","5062"
"301","72","64","164","5060"
"302","37","72","1397","597"
"303","77","204","2366","4632"
"304","37","31","1261","548"
"305","72","192","164","4979"
"306","72","131","166","5068"
"307","72","461","180","4943"
"308","77","40","2284","4659"
"309","0","529","1841","3668"
"310","72","179","152","4884"
"311","72","208","160","5104"
"312","77","124","2313","4569"
"313","37","44","1309","561"
"314","77","279","2405","4797"
"315","77","2427","2240","4592"
"316","37","23","1353","562"
"317","77","619","2356","4398"
"318","77","39","2333","4694"
"319","77","44","2293","4965"
"320","37","46","1325","567"
"321","77","259","2388","4807"
"322","37","19","1304","564"
"323","37","49","1357","578"
"324","72","202","154","4841"
"325","37","31","1428","600"
"326","77","287","2073","4088"
"327","37","35","1476","621"
"328","77","20","2167","4244"
"329","72","147","166","5139"
"330","72","210","171","5356"
"331","72","179","163","4975"
"332","37","41","1363","573"
"333","72","185","161","4975"
"334","37","25","1310","573"
"335","77","166","2255","4473"
"336","37","77","1387","587"
