Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\RLE6TN CK_lxb\RLE6TN CK_P1_C10.lxb RLE6TN CK 
"EventNo","RID","RP1","CL1","CL2"
"1","77","40","2360","4659"
"2","37","21","1430","584"
"3","72","237","163","4913"
"4","77","47","2340","4775"
"5","37","35","1339","539"
"6","77","43","2401","4803"
"7","77","48","2226","4494"
"8","77","37","2430","4885"
"9","72","222","163","5113"
"10","37","18","1396","575"
"11","72","167","164","4903"
"12","77","62","2210","4338"
"13","37","27","1365","563"
"14","72","179","168","5288"
"15","72","196","168","5039"
"16","37","46","1376","567"
"17","37","35","1317","543"
"18","72","309","163","5084"
"19","72","193","171","5147"
"20","72","242","166","5288"
"21","37","23","1394","571"
"22","77","22","2326","4576"
"23","72","248","163","5076"
"24","72","111","166","5016"
"25","77","75","2279","4553"
"26","72","249","158","4909"
"27","37","29","1329","567"
"28","77","31","2326","4668"
"29","0","433","276","7443"
"30","77","37","2380","4695"
"31","72","122","163","5009"
"32","37","37","1415","584"
"33","37","20","1365","573"
"34","72","157","160","4907"
"35","37","34","1374","578"
"36","37","33","1269","534"
"37","37","17","1385","567"
"38","72","172","159","4912"
"39","72","193","162","5045"
"40","37","19","1389","589"
"41","37","23","1375","568"
"42","37","27","1379","571"
"43","37","27","1329","569"
"44","72","301","170","5115"
"45","77","65","2325","4652"
"46","77","42","2454","5008"
"47","37","19","1387","588"
"48","37","52","1365","595"
"49","37","28","1377","567"
"50","72","146","157","4926"
"51","77","49","2308","4666"
"52","77","100","2406","4710"
"53","77","63","2251","4454"
"54","77","63","2221","4538"
"55","72","148","159","4852"
"56","72","146","156","4950"
"57","37","26","1325","561"
"58","37","7","1413","571"
"59","37","55","1371","587"
"60","37","26","1274","535"
"61","77","77","2339","4769"
"62","77","46","2287","4655"
"63","37","31","1382","570"
"64","72","203","155","4910"
"65","72","278","162","5206"
"66","77","66","2315","4819"
"67","72","243","160","4976"
"68","77","66","2629","4765"
"69","72","171","168","5197"
"70","77","37","2287","4833"
"71","72","131","155","4959"
"72","72","263","163","5025"
"73","77","37","2444","4863"
"74","37","19","1376","587"
"75","77","68","2409","4757"
"76","72","159","169","5117"
"77","72","165","171","5290"
"78","77","46","2316","4703"
"79","77","34","2259","4700"
"80","72","368","164","5127"
"81","37","21","1327","575"
"82","72","222","153","4815"
"83","72","172","168","5240"
"84","72","150","159","5135"
"85","37","26","1362","591"
"86","77","68","2356","4692"
"87","37","55","1268","559"
"88","77","83","2367","4796"
"89","37","25","1315","567"
"90","37","57","1393","582"
"91","77","54","2320","4758"
"92","37","27","1498","599"
"93","77","68","2325","4573"
"94","72","199","160","4981"
"95","77","93","2386","4958"
"96","37","27","1339","605"
"97","77","56","2298","4655"
"98","72","267","158","4876"
"99","37","20","1405","615"
"100","37","29","1371","582"
"101","77","170","2365","4813"
"102","37","25","1351","579"
"103","72","157","158","5002"
"104","37","20","1394","604"
"105","72","345","169","5214"
"106","37","39","1391","585"
"107","37","32","1363","586"
"108","77","54","2279","4637"
"109","72","186","160","5087"
"110","37","39","1384","587"
"111","72","261","179","5679"
"112","77","98","2359","4837"
"113","37","24","1298","554"
"114","37","11","1384","577"
"115","77","80","2304","4786"
"116","72","191","166","5072"
"117","37","24","1398","596"
"118","72","103","160","5138"
"119","77","116","2226","4510"
"120","77","29","2490","5103"
"121","72","360","161","5157"
"122","77","34","2474","5087"
"123","72","58","165","5162"
"124","77","45","2394","4841"
"125","77","54","2464","4754"
"126","37","29","1375","591"
"127","77","73","2279","4614"
"128","72","148","163","4987"
"129","77","122","2310","4699"
"130","37","23","1294","557"
"131","37","26","1409","587"
"132","77","61","2427","4984"
"133","77","76","2359","4800"
"134","37","26","1328","580"
"135","37","30","1384","571"
"136","72","155","170","5270"
"137","77","110","2294","4689"
"138","72","179","173","5583"
"139","72","249","161","5033"
"140","77","58","2321","4706"
"141","72","235","161","5071"
"142","77","39","2382","4722"
"143","37","30","1353","592"
"144","37","24","1409","590"
"145","77","83","2229","4541"
"146","37","32","1328","567"
"147","37","28","1294","547"
"148","72","130","166","5204"
"149","72","244","166","5166"
"150","37","34","1343","575"
"151","77","49","2525","5099"
"152","37","43","1391","595"
"153","77","43","2368","4636"
"154","72","256","169","5148"
"155","37","23","1540","631"
"156","72","182","168","5223"
"157","77","61","2312","4766"
"158","77","35","2379","4854"
"159","72","189","167","5238"
"160","37","21","1416","603"
"161","77","86","2473","5076"
"162","77","46","2161","4490"
"163","37","29","1375","575"
"164","72","148","161","5145"
"165","77","29","2455","5211"
"166","77","76","2337","4829"
"167","77","63","2455","4907"
"168","37","33","1427","657"
"169","37","27","1322","569"
"170","77","55","2390","4810"
"171","77","542","2282","4632"
"172","77","68","2402","4771"
"173","77","67","2229","4593"
"174","72","299","154","4909"
"175","72","172","156","4780"
"176","77","65","2325","4763"
"177","77","71","2378","4866"
"178","77","43","2368","4718"
"179","77","115","2209","4380"
"180","72","135","160","5030"
"181","72","267","164","5061"
"182","77","63","2289","4592"
"183","37","36","1376","581"
"184","77","39","2365","4842"
"185","37","31","1336","579"
"186","77","62","2247","4545"
"187","37","25","1331","574"
"188","37","33","1370","559"
"189","72","226","162","5033"
"190","77","52","2425","4858"
"191","37","23","1332","581"
"192","72","447","155","4950"
"193","37","31","1349","568"
"194","77","58","2396","4858"
"195","77","60","2241","4503"
"196","77","30","2231","4561"
"197","72","364","164","5230"
"198","77","40","2383","4916"
"199","77","87","2319","4781"
"200","72","169","201","5323"
"201","77","75","2241","4768"
"202","37","21","1357","567"
"203","37","13","1357","563"
"204","77","49","2382","4776"
"205","37","30","1299","561"
"206","72","215","168","5121"
"207","37","24","1356","572"
"208","72","150","165","5212"
"209","37","539","1247","533"
"210","77","74","2350","4713"
"211","37","33","1309","558"
"212","77","95","2451","4863"
"213","37","35","1307","567"
"214","77","60","2459","4869"
"215","37","46","1414","599"
"216","77","110","2285","4467"
"217","77","88","2457","4959"
"218","72","175","173","5331"
"219","72","214","171","5234"
"220","77","102","2848","5503"
"221","77","74","2285","4669"
"222","37","22","1394","593"
"223","77","47","2338","4756"
"224","37","67","1403","587"
"225","37","26","1328","569"
"226","37","35","1326","556"
"227","37","26","1373","580"
"228","77","63","2331","4712"
"229","37","23","1361","576"
"230","37","23","1298","549"
"231","37","33","1431","599"
"232","72","207","167","5242"
"233","37","28","1419","601"
"234","37","31","1464","619"
"235","72","189","162","5063"
"236","77","103","2386","4777"
"237","77","54","2413","4805"
"238","37","36","1367","579"
"239","37","40","1334","567"
"240","37","42","1419","602"
"241","77","26","2320","4726"
"242","72","176","155","4867"
"243","72","178","156","4765"
"244","37","27","1315","554"
"245","37","41","1394","590"
"246","37","34","1449","625"
"247","77","24","2387","4750"
"248","37","37","1338","574"
"249","72","149","158","4984"
"250","37","28","1356","575"
"251","77","239","2202","4641"
"252","77","54","2441","4954"
"253","72","175","154","4803"
"254","77","71","2290","4609"
"255","37","23","1298","557"
"256","72","180","175","5113"
"257","37","31","1385","585"
"258","72","108","153","4709"
"259","72","159","174","5370"
"260","37","22","1388","588"
"261","72","172","156","4832"
"262","37","22","1372","569"
"263","77","102","2254","4545"
"264","37","32","1321","568"
"265","72","191","154","4810"
"266","77","43","2401","4750"
"267","77","101","2464","5019"
"268","37","44","1363","606"
"269","77","88","2395","4862"
"270","37","38","1323","557"
"271","72","233","161","4959"
"272","72","167","167","5166"
"273","37","40","1391","589"
"274","72","174","161","5032"
"275","77","44","2382","4795"
"276","77","32","2179","4341"
"277","72","168","165","5220"
"278","77","89","2486","5069"
"279","72","150","164","5189"
"280","77","69","2314","4723"
"281","37","23","1353","594"
"282","77","68","2246","4512"
"283","37","29","1427","611"
"284","77","74","2381","4827"
"285","77","23","2366","4881"
"286","77","107","2324","4712"
"287","37","18","1374","591"
"288","72","254","163","5086"
"289","77","67","2291","4482"
"290","37","37","1329","556"
"291","37","35","1302","558"
"292","37","22","1409","600"
"293","77","33","2292","4533"
"294","72","166","161","4967"
"295","77","64","2268","4576"
"296","37","36","1469","600"
"297","72","77","168","5143"
"298","72","231","163","5114"
"299","72","178","155","4808"
"300","72","242","160","5146"
"301","37","20","1369","583"
"302","77","85","2427","4906"
"303","37","59","1310","557"
"304","77","130","2432","4879"
"305","77","34","2333","4639"
"306","77","27","2315","4678"
"307","37","23","1316","574"
"308","37","21","1259","543"
"309","77","57","2433","4954"
"310","37","28","1370","589"
"311","77","68","2447","4935"
"312","72","172","168","5211"
"313","77","66","2386","4838"
"314","72","289","148","4610"
"315","72","184","166","5124"
"316","72","136","167","5016"
"317","72","320","155","4992"
"318","37","41","1330","585"
"319","37","32","1277","547"
"320","72","165","165","5125"
"321","72","204","162","5046"
"322","37","19","1371","585"
"323","37","30","1444","612"
"324","77","83","2321","4739"
"325","37","25","1440","597"
"326","37","50","1383","595"
"327","37","17","1362","578"
"328","72","151","159","4948"
"329","77","78","2473","4803"
"330","37","30","1354","582"
"331","37","16","1406","589"
"332","37","39","1349","587"
"333","72","313","151","4714"
"334","77","35","2385","4859"
"335","37","20","1402","601"
"336","37","22","1430","593"
"337","72","189","171","5073"
"338","37","27","1361","607"
"339","72","219","151","4930"
"340","77","85","2241","4562"
"341","37","21","1311","551"
"342","77","42","2118","4237"
"343","77","159","2406","4662"
"344","37","71","1347","588"
"345","77","30","2272","4605"
"346","72","263","159","5005"
"347","72","190","157","5053"
"348","77","26","2290","4581"
"349","77","31","2311","4660"
"350","77","219","2447","4703"
"351","72","375","168","5210"
"352","72","182","169","5122"
"353","72","184","155","4914"
"354","37","44","1375","590"
"355","72","200","173","5248"
"356","77","339","2193","4359"
"357","72","183","169","5241"
"358","37","23","1368","581"
"359","37","18","1341","573"
"360","77","61","2487","4955"
"361","77","42","2351","4750"
"362","37","21","1333","562"
"363","77","125","2289","4529"
"364","77","73","2332","4518"
"365","72","183","156","4864"
"366","77","91","2244","4496"
"367","77","66","2276","4589"
"368","37","21","1375","585"
"369","72","212","168","5178"
"370","37","19","1365","592"
"371","37","20","1337","565"
"372","77","27","2444","4878"
"373","37","19","1431","609"
"374","77","67","2386","4822"
"375","72","235","164","5031"
"376","77","58","2454","4885"
"377","37","22","1365","587"
"378","77","81","2338","4652"
"379","77","63","2343","4705"
"380","77","76","2366","4681"
"381","0","295","216","5140"
"382","77","39","2120","4326"
"383","77","93","2324","4605"
"384","37","30","1495","650"
"385","72","131","154","4777"
"386","37","28","1432","593"
"387","37","25","1241","538"
"388","77","48","2294","4715"
"389","77","29","2268","4643"
"390","77","45","2284","4629"
"391","72","187","157","4893"
"392","37","32","1330","569"
"393","37","32","1342","559"
"394","77","126","2401","4752"
"395","72","136","149","4691"
"396","72","226","165","4895"
"397","77","108","2223","4457"
"398","72","115","160","4904"
"399","77","40","2406","4785"
"400","72","174","173","5076"
"401","77","83","2329","4623"
"402","72","132","160","5035"
"403","37","35","1356","572"
"404","37","31","1360","574"
"405","77","102","2379","4688"
"406","77","39","2348","4681"
"407","37","55","1357","591"
"408","72","159","167","5214"
"409","37","36","1292","543"
"410","37","24","1342","575"
"411","37","23","1296","552"
"412","37","21","1386","588"
"413","77","33","2264","4644"
"414","72","210","176","4857"
"415","72","193","165","5048"
"416","37","29","1386","585"
"417","72","65","155","4740"
"418","72","194","163","4953"
"419","77","53","2398","4746"
"420","77","94","2404","4864"
"421","77","35","2296","4587"
"422","37","20","1389","589"
"423","72","209","159","4950"
"424","72","230","166","5113"
"425","77","21","2220","4530"
"426","77","64","2496","4883"
"427","77","35","2407","4726"
"428","77","44","2165","4334"
"429","77","33","2441","4834"
"430","72","204","182","5271"
"431","77","32","2274","4587"
"432","77","66","2341","4646"
"433","77","10","2372","4673"
"434","37","35","1453","671"
"435","37","38","1372","573"
"436","77","62","2379","4772"
"437","77","25","2269","4713"
"438","72","662","169","5058"
"439","77","126","2391","5490"
"440","77","21","2284","4445"
"441","77","35","2450","4813"
"442","37","30","1386","577"
"443","72","176","160","5116"
"444","72","136","163","5086"
"445","77","41","2484","5023"
"446","37","24","1323","573"
"447","72","116","163","4966"
"448","72","335","176","5162"
"449","77","36","2318","4659"
"450","37","30","1389","583"
"451","77","57","2461","4874"
"452","77","37","2353","4749"
"453","77","73","2302","4568"
"454","77","47","2374","4816"
"455","77","70","2260","4533"
"456","77","44","2196","4451"
"457","47","52","2160","901"
"458","77","53","2373","4685"
"459","72","269","168","5169"
"460","37","38","1432","598"
"461","72","225","167","5130"
"462","37","42","1331","565"
"463","37","27","1306","578"
"464","37","29","1402","581"
