Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\RLE6TN CK_lxb\RLE6TN CK_P1_D10.lxb RLE6TN CK 
"EventNo","RID","RP1","CL1","CL2"
"1","37","35","1355","573"
"2","77","40","2431","4655"
"3","77","63","2205","4315"
"4","37","43","1370","577"
"5","77","34","2264","4562"
"6","72","185","173","5046"
"7","37","25","1326","542"
"8","72","213","168","5002"
"9","37","40","1308","564"
"10","72","290","158","4706"
"11","77","50","2286","4416"
"12","77","43","2364","4565"
"13","37","18","1345","546"
"14","72","180","165","5000"
"15","77","49","2279","4526"
"16","77","62","2355","4540"
"17","77","25","2307","4615"
"18","72","152","168","5180"
"19","37","18","1377","563"
"20","72","184","159","4910"
"21","77","37","2312","4683"
"22","37","22","1320","573"
"23","77","56","2220","4566"
"24","37","29","1374","616"
"25","77","43","2240","4447"
"26","77","67","2257","4499"
"27","72","160","158","4763"
"28","77","101","2305","4525"
"29","72","129","168","5350"
"30","37","31","1430","592"
"31","72","181","159","5038"
"32","72","256","163","5119"
"33","72","157","157","4881"
"34","72","100","167","5273"
"35","77","60","2346","4569"
"36","77","77","2288","4614"
"37","72","208","160","4815"
"38","77","58","2300","4715"
"39","77","65","2396","4737"
"40","77","39","2290","4731"
"41","77","55","2262","4602"
"42","77","51","2343","4795"
"43","37","27","1363","561"
"44","37","28","1351","569"
"45","37","27","1380","569"
"46","77","59","2448","4867"
"47","37","29","1476","616"
"48","72","209","160","4978"
"49","37","77","1420","585"
"50","37","20","1373","592"
"51","37","43","1307","565"
"52","72","175","164","4994"
"53","77","36","2320","4792"
"54","72","155","144","4603"
"55","37","31","1396","597"
"56","77","60","2307","4745"
"57","77","93","2338","4536"
"58","77","73","2429","4853"
"59","77","40","2349","4742"
"60","37","30","1371","585"
"61","37","41","1309","557"
"62","72","124","166","5071"
"63","77","79","2349","4483"
"64","37","25","1290","560"
"65","72","259","158","5160"
"66","72","213","162","5070"
"67","77","40","2409","4857"
"68","77","40","2294","4573"
"69","37","19","1396","597"
"70","37","31","1289","555"
"71","77","36","2625","5517"
"72","37","36","1360","596"
"73","37","24","1398","599"
"74","37","48","1336","574"
"75","37","48","1361","575"
"76","37","40","1341","567"
"77","37","29","1392","587"
"78","77","60","2384","4813"
"79","37","42","1309","561"
"80","72","115","156","4953"
"81","37","31","1389","607"
"82","37","54","1496","643"
"83","72","180","145","4528"
"84","37","26","1374","583"
"85","37","42","1440","630"
"86","72","242","157","4966"
"87","37","17","1375","594"
"88","37","18","1390","622"
"89","77","56","2355","4797"
"90","37","19","1264","548"
"91","37","29","1348","584"
"92","37","18","1381","597"
"93","72","137","160","5022"
"94","77","53","2356","4620"
"95","72","138","160","5080"
"96","72","195","175","5403"
"97","77","35","2387","4845"
"98","37","24","1302","572"
"99","37","22","1391","606"
"100","37","24","1289","551"
"101","72","158","154","4835"
"102","72","197","167","5214"
"103","37","29","1407","588"
"104","77","30","2399","4769"
"105","77","40","2408","4791"
"106","77","71","2360","4882"
"107","37","40","1321","556"
"108","72","187","161","5112"
"109","77","51","2446","4868"
"110","72","195","163","5257"
"111","72","194","170","5225"
"112","77","48","2289","4633"
"113","77","53","2280","4713"
"114","37","36","1438","630"
"115","77","33","2381","4732"
"116","37","30","1413","604"
"117","72","188","163","5147"
"118","37","35","1405","605"
"119","37","23","1409","596"
"120","37","24","1410","608"
"121","72","145","155","4953"
"122","77","97","2430","4917"
"123","72","213","161","5089"
"124","77","92","2163","4354"
"125","77","59","2344","4670"
"126","37","22","1375","585"
"127","77","27","2248","4602"
"128","37","28","1427","606"
"129","72","133","163","5031"
"130","72","192","162","5208"
"131","77","36","2379","4699"
"132","77","47","2381","4772"
"133","37","25","1372","589"
"134","77","85","2241","4659"
"135","37","40","1405","596"
"136","37","23","1336","569"
"137","72","127","149","4871"
"138","37","14","1389","587"
"139","77","140","2423","4884"
"140","72","171","168","5202"
"141","77","42","2442","4777"
"142","37","23","1354","577"
"143","37","25","1351","573"
"144","77","95","2383","4883"
"145","72","162","159","4948"
"146","37","40","1401","611"
"147","37","22","1392","574"
"148","37","17","1384","585"
"149","37","18","1309","565"
"150","37","22","1363","589"
"151","72","204","169","5266"
"152","37","27","1413","610"
"153","0","31","1819","780"
"154","77","38","2337","4846"
"155","37","40","1386","580"
"156","77","59","2403","4993"
"157","72","194","162","5057"
"158","77","60","2509","4884"
"159","37","26","1379","588"
"160","77","42","2389","4817"
"161","72","221","159","4985"
"162","77","88","2343","4736"
"163","77","55","2293","4788"
"164","72","170","154","4928"
"165","37","30","1363","572"
"166","37","27","1343","574"
"167","37","30","1307","568"
"168","37","30","1471","617"
"169","37","30","1309","557"
"170","72","513","153","4906"
"171","77","36","2295","4581"
"172","77","412","2307","4738"
"173","72","263","159","4907"
"174","77","75","2398","4828"
"175","72","216","164","5171"
"176","72","141","153","4919"
"177","37","15","1340","573"
"178","37","37","1366","580"
"179","37","41","1436","609"
"180","72","237","156","5048"
"181","77","28","2370","4691"
"182","72","199","157","5032"
"183","37","33","1408","605"
"184","72","140","162","5008"
"185","72","149","153","4838"
"186","72","188","161","4982"
"187","72","171","164","5051"
"188","77","42","2339","4636"
"189","77","32","2256","4582"
"190","77","36","2377","4824"
"191","72","87","150","4907"
"192","77","47","2377","4689"
"193","77","39","2355","4712"
"194","37","25","1334","568"
"195","77","45","2381","4866"
"196","77","302","2426","4951"
"197","72","138","172","5377"
"198","72","162","157","4912"
"199","72","145","157","4960"
"200","37","44","1265","548"
"201","37","24","1393","590"
"202","77","22","2404","4834"
"203","72","175","163","5082"
"204","37","28","1370","578"
"205","72","204","166","5149"
"206","37","53","1327","560"
"207","37","23","1340","573"
"208","72","148","168","5218"
"209","77","49","2343","4714"
"210","72","198","161","5073"
"211","77","32","2348","4780"
"212","37","28","1379","589"
"213","72","155","171","5364"
"214","77","53","2337","4746"
"215","77","45","2314","4675"
"216","72","162","164","5206"
"217","37","29","1360","571"
"218","77","76","2414","4848"
"219","77","51","2370","4797"
"220","37","22","1399","602"
"221","77","42","2513","5113"
"222","37","26","1384","582"
"223","77","74","2383","4792"
"224","72","107","167","5210"
"225","37","46","1406","613"
"226","37","53","1358","581"
"227","37","33","1346","573"
"228","72","182","157","4957"
"229","37","33","1273","547"
"230","37","47","1349","582"
"231","37","21","1431","593"
"232","72","187","161","5037"
"233","72","130","167","5151"
"234","72","166","166","5197"
"235","37","26","1258","536"
"236","37","38","1339","583"
"237","77","61","2309","4724"
"238","72","124","156","4966"
"239","72","168","156","4771"
"240","37","27","1342","566"
"241","37","34","1398","593"
"242","37","39","1405","603"
"243","37","23","1413","610"
"244","37","49","1268","540"
"245","77","31","2260","4546"
"246","37","48","1373","591"
"247","37","21","1330","562"
"248","72","163","155","4820"
"249","77","29","2257","4515"
"250","77","65","2374","4701"
"251","77","59","2258","4619"
"252","77","83","2194","4377"
"253","77","95","2270","4552"
"254","37","21","1412","596"
"255","37","29","1359","592"
"256","37","47","1311","561"
"257","77","38","2539","4559"
"258","77","31","2361","4674"
"259","72","106","164","4954"
"260","72","148","169","5178"
"261","72","159","158","5016"
"262","37","25","1405","626"
"263","37","24","1419","604"
"264","77","102","2256","4466"
"265","72","130","147","4633"
"266","37","36","1308","568"
"267","77","45","2405","4891"
"268","37","28","1376","580"
"269","77","52","2370","4788"
"270","72","191","164","5092"
"271","77","76","2395","4865"
"272","77","73","2225","4480"
"273","37","23","1348","573"
"274","37","32","1417","603"
"275","77","38","2291","4610"
"276","72","125","163","5042"
"277","37","24","1291","559"
"278","37","49","1328","588"
"279","37","40","1417","609"
"280","37","22","1408","595"
"281","72","431","161","4998"
"282","72","166","162","4944"
"283","37","32","1353","572"
"284","72","185","165","4946"
"285","72","162","162","5076"
"286","37","26","1417","599"
"287","37","43","1400","597"
"288","72","121","153","4809"
"289","37","30","1360","582"
"290","37","26","1348","588"
"291","72","162","153","4813"
"292","37","34","1440","606"
"293","37","39","1333","580"
"294","77","35","2235","4517"
"295","37","23","1275","543"
"296","72","97","153","4764"
"297","72","161","167","5179"
"298","77","66","2201","4513"
"299","72","208","160","4987"
"300","72","251","161","5046"
"301","37","28","1384","582"
"302","77","129","2411","4739"
"303","72","248","164","5148"
"304","77","256","2416","4649"
"305","72","327","202","4917"
"306","72","197","164","5184"
"307","37","24","1375","575"
"308","77","77","2411","4680"
"309","77","35","2199","4439"
"310","77","54","2263","4455"
"311","72","127","166","5213"
"312","72","181","172","5028"
"313","77","155","2489","4862"
"314","77","394","2244","4482"
"315","37","27","1359","579"
"316","37","28","1344","567"
"317","72","200","155","4883"
"318","77","45","2394","4827"
"319","37","47","1403","587"
"320","77","46","2290","4535"
"321","77","45","2373","4740"
"322","72","260","162","4946"
"323","72","185","169","5208"
"324","37","31","1463","612"
"325","72","203","156","4804"
"326","72","231","161","5056"
"327","77","116","2115","4231"
"328","72","284","161","4921"
"329","77","52","2167","4326"
"330","37","64","1337","570"
"331","72","218","159","4950"
"332","77","60","2306","4590"
"333","37","37","1374","595"
"334","77","34","2160","4419"
"335","37","26","1357","584"
"336","37","29","1411","589"
"337","77","246","2405","4839"
"338","77","94","2289","4515"
"339","77","110","2446","4868"
"340","77","91","2183","4766"
"341","37","31","1425","598"
"342","72","142","158","4894"
"343","72","267","161","5052"
"344","37","21","1396","590"
"345","37","36","1366","595"
"346","77","53","2318","4665"
"347","65","65","1716","3204"
"348","73","275","218","5109"
"349","77","56","2327","4616"
"350","77","77","2354","4735"
"351","37","58","1390","587"
"352","77","48","2309","4708"
"353","72","154","166","5145"
"354","77","36","2340","4679"
