Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\RLE6TN CK_lxb\RLE6TN CK_P1_E6.lxb RLE6TN CK 
"EventNo","RID","RP1","CL1","CL2"
"1","77","21","2215","4307"
"2","37","58","1371","571"
"3","37","32","1354","556"
"4","37","44","1302","539"
"5","37","25","1377","565"
"6","77","32","2320","4502"
"7","37","26","1459","597"
"8","77","32","2289","4563"
"9","37","46","1304","533"
"10","37","31","1342","591"
"11","37","21","1362","572"
"12","37","28","1454","603"
"13","72","329","156","4832"
"14","77","23","2478","4809"
"15","37","81","1345","553"
"16","77","46","2236","4616"
"17","37","31","1367","588"
"18","37","25","1332","546"
"19","77","39","2382","4539"
"20","77","35","2342","4572"
"21","77","69","2446","4988"
"22","37","64","1406","575"
"23","77","44","2485","4915"
"24","72","200","159","5040"
"25","72","340","161","5001"
"26","37","23","1302","533"
"27","72","154","161","5015"
"28","77","45","2304","4464"
"29","72","137","170","5144"
"30","77","56","2419","4787"
"31","37","19","1364","558"
"32","37","39","1328","570"
"33","77","100","2256","4612"
"34","37","24","1317","569"
"35","72","129","170","5351"
"36","77","49","2260","4512"
"37","37","25","1361","560"
"38","77","53","2344","4798"
"39","77","45","2368","4618"
"40","72","286","164","4988"
"41","77","52","2345","4836"
"42","72","159","158","5138"
"43","37","35","1367","568"
"44","77","50","2324","4655"
"45","72","606","160","4992"
"46","37","17","1329","577"
"47","77","95","2237","4490"
"48","77","34","2268","4345"
"49","37","44","1448","601"
"50","77","27","2163","4337"
"51","37","34","1313","552"
"52","77","42","2292","4622"
"53","77","35","2347","4790"
"54","37","21","1403","603"
"55","37","25","1386","579"
"56","77","36","2312","4747"
"57","37","23","1390","596"
"58","37","32","1422","585"
"59","37","41","1472","614"
"60","77","117","2206","4593"
"61","72","811","172","5155"
"62","72","679","147","4748"
"63","72","1000","170","5354"
"64","37","38","1378","581"
"65","77","75","2217","4612"
"66","37","28","1384","595"
"67","77","106","2471","5239"
"68","72","321","163","5048"
"69","37","37","1309","566"
"70","37","75","1356","590"
"71","72","286","167","5107"
"72","37","76","1348","576"
"73","72","359","146","4628"
"74","37","92","1363","590"
"75","77","589","2370","4669"
"76","77","446","2308","4681"
"77","72","98","160","5119"
"78","37","35","1331","563"
"79","37","21","1400","596"
"80","37","48","1491","622"
"81","72","83","161","5047"
"82","37","28","1387","600"
"83","77","183","2335","4680"
"84","37","17","1376","587"
"85","77","153","2268","4552"
"86","37","35","1413","624"
"87","72","147","156","4933"
"88","37","24","1360","583"
"89","37","29","1379","584"
"90","72","216","157","4872"
"91","72","212","169","5093"
"92","72","395","171","5294"
"93","72","272","160","4968"
"94","72","96","169","5263"
"95","77","188","2364","4806"
"96","77","129","2416","4969"
"97","37","42","1371","586"
"98","77","26","2491","4862"
"99","37","28","1430","601"
"100","37","45","1302","556"
"101","37","160","1353","578"
"102","37","40","1305","560"
"103","77","83","2162","4432"
"104","37","18","1355","574"
"105","72","218","158","4964"
"106","77","274","2384","4738"
"107","37","24","1389","601"
"108","37","24","1307","562"
"109","77","18","2258","4564"
"110","37","42","1357","578"
"111","37","29","1317","565"
"112","37","44","1315","569"
"113","37","35","1413","597"
"114","37","24","1307","549"
"115","72","299","158","4903"
"116","72","328","165","5158"
"117","37","22","1374","578"
"118","77","154","2380","4725"
"119","72","343","160","5012"
"120","77","1705","2296","4627"
"121","77","46","2339","4786"
"122","37","29","1420","603"
"123","72","322","146","4715"
"124","72","228","167","5158"
"125","77","22","2305","4659"
"126","37","476","1389","587"
"127","37","30","1393","596"
"128","77","18","2367","4750"
"129","37","24","1316","569"
"130","72","801","162","5057"
"131","77","34","2375","4651"
"132","37","26","1328","569"
"133","77","50","2452","4894"
"134","72","125","156","4874"
"135","72","306","149","4838"
"136","37","46","1413","600"
"137","72","192","155","5004"
"138","77","162","2253","4527"
"139","72","88","169","5169"
"140","72","182","157","4891"
"141","37","36","1391","597"
"142","37","31","1392","590"
"143","77","31","2314","4703"
"144","37","64","1404","580"
"145","37","18","1360","587"
"146","72","444","161","4974"
"147","77","30","2324","4732"
"148","72","338","165","5158"
"149","37","94","1187","518"
"150","72","211","163","5106"
"151","72","123","165","5203"
"152","37","37","1325","568"
"153","37","26","1467","599"
"154","37","26","1258","529"
"155","37","33","1293","558"
"156","37","45","1356","590"
"157","77","36","2313","4870"
"158","37","26","1321","570"
"159","72","265","160","4920"
"160","72","307","160","5015"
"161","77","83","2298","4595"
"162","72","72","153","4914"
"163","37","28","1354","569"
"164","77","67","2336","4839"
"165","72","206","158","5071"
"166","77","34","2283","4561"
"167","72","254","158","4895"
"168","72","133","151","4766"
"169","77","48","2125","4939"
"170","37","100","1392","587"
"171","37","33","1394","591"
"172","37","46","1341","582"
"173","77","26","2385","4795"
"174","37","31","1317","567"
"175","37","26","1319","568"
"176","77","51","2372","4767"
"177","77","28","2287","4587"
"178","37","17","1311","499"
"179","77","90","2305","4688"
"180","37","28","1465","610"
"181","37","27","1372","586"
"182","77","506","2322","4643"
"183","37","62","1366","582"
"184","77","257","2312","4739"
"185","77","127","2343","4796"
"186","72","475","161","5093"
"187","77","38","2381","4845"
"188","37","33","1368","591"
"189","72","144","161","5021"
"190","77","124","2348","4783"
"191","37","25","1364","590"
"192","72","231","157","5080"
"193","37","26","1304","557"
"194","72","373","161","5080"
"195","37","30","1308","565"
"196","37","40","1396","596"
"197","37","30","1364","582"
"198","72","253","163","5236"
"199","37","25","1309","572"
"200","37","48","1383","590"
"201","77","69","2305","4697"
"202","37","40","1342","567"
"203","72","356","166","5301"
"204","77","67","2416","4919"
"205","77","49","2361","4886"
"206","37","28","1327","562"
"207","77","62","2379","4766"
"208","37","56","1285","543"
"209","37","35","1470","620"
"210","37","28","1461","606"
"211","37","53","1289","555"
"212","37","27","1374","577"
"213","37","35","1313","559"
"214","77","73","2299","4712"
"215","37","19","1397","597"
"216","37","2","1450","605"
"217","77","194","2339","4717"
"218","72","75","152","4836"
"219","72","455","162","5257"
"220","77","12","2252","4451"
"221","77","43","2502","5046"
"222","72","59","160","5026"
"223","72","237","161","5105"
"224","72","151","152","4825"
"225","72","380","154","4878"
"226","37","72","1368","566"
"227","37","49","1430","603"
"228","37","43","1324","556"
"229","37","17","1368","599"
"230","72","598","163","5036"
"231","37","31","1334","556"
"232","77","41","2213","4503"
"233","72","322","161","4997"
"234","37","27","1405","597"
"235","72","395","150","4927"
"236","77","73","2458","4807"
