Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\RLE6TN CK_lxb\RLE6TN CK_P1_F1.lxb RLE6TN CK 
"EventNo","RID","RP1","CL1","CL2"
"1","77","905","2314","4741"
"2","72","171","163","5109"
"3","72","8","160","4762"
"4","72","312","171","5046"
"5","72","384","166","5087"
"6","37","36","1315","551"
"7","77","105","2253","4472"
"8","72","109","160","4875"
"9","72","60","153","4697"
"10","77","275","2499","4918"
"11","77","242","2321","4687"
"12","72","464","155","4620"
"13","72","362","160","5121"
"14","37","33","1403","580"
"15","77","90","2302","4596"
"16","37","36","1334","553"
"17","37","26","1357","575"
"18","77","122","2341","4538"
"19","37","74","1339","579"
"20","77","302","2401","4634"
"21","72","219","163","5064"
"22","37","28","1244","540"
"23","37","80","1325","568"
"24","72","144","170","5171"
"25","77","370","2361","4678"
"26","37","32","1397","583"
"27","37","40","1368","595"
"28","37","34","1242","527"
"29","77","359","2401","4825"
"30","72","105","152","4805"
"31","72","190","164","5286"
"32","77","274","2174","4450"
"33","37","79","1369","575"
"34","72","162","162","5019"
"35","37","37","1385","598"
"36","37","41","1447","596"
"37","77","300","2250","4641"
"38","77","439","2257","4710"
"39","72","204","149","4735"
"40","77","224","2381","4750"
"41","37","95","1328","561"
"42","77","133","2303","4657"
"43","77","234","2354","4858"
"44","72","12","156","4862"
"45","37","32","1324","574"
"46","72","112","167","5193"
"47","77","787","2337","4649"
"48","77","413","2396","4781"
"49","77","263","2331","4633"
"50","37","41","1359","583"
"51","77","257","2279","4649"
"52","72","253","155","4845"
"53","37","55","1231","529"
"54","37","21","1350","586"
"55","37","47","1312","578"
"56","77","142","2220","4561"
"57","72","162","152","4698"
"58","77","160","2194","4521"
"59","72","164","156","4816"
"60","37","44","1384","589"
"61","72","110","176","5072"
"62","77","139","2344","4831"
"63","72","168","147","4720"
"64","72","86","161","4985"
"65","77","307","2216","4636"
"66","77","346","2454","4837"
"67","72","109","162","5178"
"68","77","168","2372","4815"
"69","72","74","167","5067"
"70","37","75","1345","578"
"71","72","177","156","4837"
"72","37","40","1251","542"
"73","77","359","2449","4903"
"74","37","38","1375","572"
"75","72","194","165","5071"
"76","37","196","1253","554"
"77","77","222","2262","4598"
"78","37","23","1378","584"
"79","77","299","2283","4662"
"80","77","171","2149","5007"
"81","37","25","1347","571"
"82","37","61","1362","597"
"83","37","28","1291","569"
"84","37","37","1246","563"
"85","72","108","163","5190"
"86","77","254","2179","4572"
"87","72","193","156","5054"
"88","37","48","1379","583"
"89","77","288","2377","4844"
"90","72","375","166","5178"
"91","77","215","2327","4586"
"92","77","4357","2331","4621"
"93","37","46","1357","580"
"94","72","224","150","4904"
"95","72","257","155","4905"
"96","37","95","1350","575"
"97","77","213","2323","4786"
"98","77","526","2201","4581"
"99","72","475","164","5203"
"100","37","44","1223","544"
"101","37","38","1303","564"
"102","72","148","165","5310"
"103","37","37","1495","609"
"104","72","156","161","5041"
"105","77","379","2341","4911"
"106","37","57","1383","594"
"107","72","218","163","5081"
"108","37","28","1360","593"
"109","77","174","2294","5324"
"110","37","66","1333","563"
"111","37","29","1340","572"
"112","77","118","2220","4548"
"113","77","424","2272","4689"
"114","77","670","2426","4677"
"115","37","34","1344","576"
"116","72","240","156","4859"
"117","37","57","1250","550"
"118","37","25","1439","603"
"119","37","29","1315","565"
"120","72","22","160","5207"
"121","72","202","155","4940"
"122","77","179","2346","4869"
"123","37","62","1367","583"
"124","37","41","1370","602"
"125","72","213","165","5289"
"126","77","128","2247","4599"
"127","37","18","1399","599"
"128","37","122","1429","617"
"129","37","41","1296","557"
"130","77","118","2271","4708"
"131","77","225","2305","4671"
"132","77","1006","2415","4932"
"133","72","231","171","5385"
"134","37","28","1446","618"
"135","72","86","166","5197"
"136","72","262","166","5250"
"137","77","739","2165","4294"
"138","77","303","2363","4774"
"139","77","185","2279","4575"
"140","77","284","2315","4740"
"141","37","37","1447","599"
"142","72","134","157","5010"
"143","72","102","159","5007"
"144","72","255","160","5034"
"145","77","124","2357","4656"
"146","37","34","1390","595"
"147","37","35","1201","514"
"148","72","333","171","5334"
"149","72","229","150","4764"
"150","77","361","2353","4881"
"151","72","160","163","5127"
"152","72","278","159","5103"
"153","37","32","1380","590"
"154","37","74","1395","616"
"155","72","196","167","5360"
"156","77","162","2384","4904"
"157","72","879","153","4792"
"158","37","47","1316","559"
"159","72","164","161","4911"
"160","37","39","1374","587"
"161","0","376","1961","4141"
"162","77","1142","2345","4658"
"163","72","324","162","5052"
"164","77","278","2204","4399"
"165","37","30","1370","622"
"166","77","196","2328","4797"
"167","72","224","173","5581"
"168","77","157","2454","4948"
"169","37","48","1389","601"
"170","37","45","1399","603"
"171","77","322","2152","4409"
"172","37","55","1344","568"
"173","77","104","2236","4579"
"174","77","812","2360","4754"
"175","72","86","158","4971"
"176","77","239","2460","5014"
"177","37","42","1348","579"
"178","72","334","158","5001"
"179","77","223","2338","4830"
"180","77","452","2275","4703"
"181","77","749","2255","4609"
"182","72","230","167","5111"
"183","77","354","2380","4769"
"184","37","26","1416","582"
"185","77","334","2214","4425"
"186","37","94","1356","619"
"187","37","32","1345","578"
"188","77","292","2354","4837"
"189","37","13","1451","601"
"190","37","108","1399","611"
"191","72","111","160","5045"
"192","77","317","2351","4893"
"193","77","410","2373","4641"
"194","72","267","158","4854"
"195","77","819","2327","5340"
"196","37","65","1372","594"
"197","77","311","2357","4781"
"198","77","195","2372","4812"
"199","77","271","2347","4715"
"200","77","188","2362","4800"
"201","37","40","1465","621"
"202","77","112","2358","4848"
"203","37","40","1305","560"
"204","77","151","2330","4604"
"205","37","35","1381","597"
"206","37","30","1383","590"
"207","77","439","2282","4750"
"208","37","50","1422","612"
"209","72","325","163","5060"
"210","37","90","1357","596"
"211","37","38","1290","559"
"212","77","209","2255","4614"
"213","37","27","1354","582"
"214","72","164","152","4882"
"215","77","519","2270","4651"
"216","37","22","1388","600"
"217","37","29","1374","578"
"218","77","285","2183","4352"
"219","77","183","2255","4577"
"220","37","46","1432","617"
"221","37","42","1314","569"
"222","77","296","2352","4751"
"223","72","116","160","5055"
"224","72","215","161","5133"
"225","37","40","1313","546"
"226","37","68","1405","601"
"227","37","70","1297","550"
"228","37","9","1400","611"
"229","77","237","2234","4550"
"230","72","364","161","5022"
"231","77","192","2318","4715"
"232","72","263","162","4948"
"233","77","417","2367","4822"
"234","37","46","1379","593"
"235","72","268","159","4991"
"236","77","219","2445","4999"
"237","77","242","2344","4748"
"238","77","254","2374","4827"
"239","72","177","158","4908"
"240","37","49","1298","555"
"241","72","139","163","5057"
"242","77","60","2216","4540"
"243","77","308","2382","4794"
"244","77","145","2430","4802"
"245","72","312","158","5060"
"246","37","19","1341","564"
"247","37","53","1350","579"
"248","77","230","2359","4833"
"249","77","21","2392","4936"
"250","77","360","2424","5040"
"251","72","122","161","5156"
"252","77","301","2259","4692"
"253","77","401","2355","4763"
"254","37","34","1427","611"
"255","37","45","1462","648"
"256","37","26","1334","580"
"257","37","43","1370","606"
"258","72","78","167","5282"
"259","37","67","1370","581"
"260","37","97","1287","559"
"261","37","31","1447","617"
"262","37","40","1282","550"
"263","77","630","2249","4583"
"264","37","39","1332","579"
"265","37","28","1382","585"
"266","72","94","164","5199"
"267","72","142","158","4941"
"268","77","373","2237","4609"
"269","72","111","153","4908"
"270","77","105","2233","4474"
"271","72","255","168","5339"
"272","37","18","1348","584"
"273","77","256","2213","4504"
"274","77","158","2355","4864"
"275","72","127","168","5339"
"276","77","260","2560","5146"
"277","77","242","2296","4685"
"278","72","243","167","5208"
"279","77","618","2381","4751"
"280","37","61","1323","586"
"281","37","27","1309","560"
"282","37","36","1324","564"
"283","72","194","160","5094"
"284","77","97","2294","4736"
"285","77","185","2321","4690"
"286","37","47","1384","570"
"287","37","36","1401","590"
"288","77","173","2410","4825"
"289","37","31","1322","566"
"290","37","33","1349","581"
"291","37","28","1268","552"
"292","72","118","165","5241"
"293","37","37","1340","580"
"294","77","425","2445","4998"
"295","72","168","167","5109"
"296","72","174","173","5150"
"297","72","341","155","4834"
"298","77","305","2372","4766"
"299","77","241","2295","4622"
"300","37","45","1245","546"
"301","72","261","165","5130"
"302","77","279","2354","4786"
"303","77","228","2288","4680"
"304","37","31","1343","589"
"305","72","126","164","5183"
"306","37","33","1383","571"
"307","37","61","1346","570"
"308","37","33","1232","526"
"309","72","168","159","5105"
