Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\RLE6TN CK_lxb\RLE6TN CK_P1_G3.lxb RLE6TN CK 
"EventNo","RID","RP1","CL1","CL2"
"1","72","267","162","4956"
"2","77","29","2296","4598"
"3","72","132","162","5006"
"4","77","21","2280","4441"
"5","77","35","2359","4705"
"6","37","29","1451","593"
"7","77","198","2429","4717"
"8","37","27","1367","563"
"9","77","78","2264","4612"
"10","77","49","2390","4680"
"11","37","47","1343","568"
"12","37","20","1295","553"
"13","37","31","1357","588"
"14","72","479","162","4862"
"15","77","21","2278","4702"
"16","77","18","2311","4583"
"17","37","36","1228","528"
"18","72","236","158","4765"
"19","37","19","1397","591"
"20","77","48","2328","4646"
"21","37","44","1445","600"
"22","77","14","2380","4686"
"23","77","29","2341","4558"
"24","72","168","158","5075"
"25","72","174","170","5095"
"26","77","28","2319","4516"
"27","37","76","1433","581"
"28","77","56","2231","4428"
"29","77","57","2358","4567"
"30","72","183","150","4695"
"31","72","449","164","5218"
"32","77","110","2284","4499"
"33","77","19","2371","4613"
"34","72","755","166","5119"
"35","77","60","2397","4736"
"36","72","255","153","4665"
"37","72","157","150","4936"
"38","77","179","2434","4781"
"39","77","154","2270","4414"
"40","77","47","2387","4763"
"41","77","37","2289","4795"
"42","77","63","2134","4436"
"43","37","46","1406","595"
"44","37","38","1285","559"
"45","77","51","2266","4595"
"46","77","71","2318","4549"
"47","37","68","1352","566"
"48","77","24","2358","4617"
"49","77","43","2399","4819"
"50","37","25","1364","565"
"51","77","114","2371","4662"
"52","72","282","167","5175"
"53","37","23","1235","536"
"54","37","27","1286","541"
"55","72","230","172","5293"
"56","77","96","2329","4735"
"57","72","494","165","5015"
"58","72","559","151","4722"
"59","77","29","2085","4284"
"60","37","29","1329","563"
"61","72","179","158","4954"
"62","72","576","173","5271"
"63","37","27","1280","577"
"64","72","731","162","5126"
"65","37","101","1348","572"
"66","37","18","1353","574"
"67","72","307","164","5154"
"68","37","54","1417","589"
"69","77","117","2267","4594"
"70","77","52","2363","4960"
"71","77","37","2332","4525"
"72","72","245","169","5220"
"73","72","448","155","4782"
"74","72","313","153","5022"
"75","72","185","165","5040"
"76","37","30","1250","567"
"77","37","27","1330","553"
"78","77","42","2242","4423"
"79","72","1154","162","4996"
"80","72","278","155","5086"
"81","77","22","2269","4691"
"82","77","49","2320","4819"
"83","77","21","2331","4815"
"84","37","32","1385","595"
"85","37","21","1325","567"
"86","77","42","2434","5240"
"87","37","23","1341","570"
"88","72","498","168","4982"
"89","37","27","1501","642"
"90","37","45","1361","588"
"91","37","20","1296","589"
"92","77","21","2364","4717"
"93","37","29","1354","593"
"94","37","38","1325","568"
"95","37","20","1320","569"
"96","72","134","154","4921"
"97","77","32","2176","4572"
"98","77","37","2228","4731"
"99","77","19","2119","4259"
"100","37","25","1387","581"
"101","37","38","1403","603"
"102","72","286","165","5027"
"103","72","346","158","4979"
"104","37","25","1400","583"
"105","37","32","1415","611"
"106","37","29","1399","594"
"107","77","88","2319","4661"
"108","37","41","1406","574"
"109","72","133","166","5165"
"110","37","40","1371","597"
"111","37","7","1319","573"
"112","72","265","166","4885"
"113","37","23","1344","575"
"114","37","23","1297","552"
"115","37","45","1426","631"
"116","72","168","159","5125"
"117","37","23","1410","605"
"118","77","73","2292","4745"
"119","72","476","151","4923"
"120","37","87","1277","551"
"121","37","35","1362","583"
"122","72","117","163","5195"
"123","72","263","153","4927"
"124","77","49","2451","5126"
"125","77","56","2290","4713"
"126","77","100","2523","5358"
"127","37","29","1342","580"
"128","77","47","2409","4825"
"129","72","153","158","4968"
"130","37","23","1311","562"
"131","37","26","1295","552"
"132","37","40","1424","602"
"133","37","75","1267","553"
"134","72","458","157","4987"
"135","72","241","154","4882"
"136","37","27","1325","572"
"137","37","42","1315","566"
"138","37","31","1361","571"
"139","72","203","173","5257"
"140","77","21","2335","4799"
"141","37","37","1342","587"
"142","77","40","2333","4653"
"143","37","35","1359","578"
"144","37","34","1301","569"
"145","77","16","2435","4927"
"146","77","52","2364","4686"
"147","72","299","160","4905"
"148","72","13948","156","4911"
"149","72","365","162","5138"
"150","77","14","2244","4706"
"151","37","98","1369","592"
"152","72","185","176","5418"
"153","72","284","162","5277"
"154","37","36","1386","583"
"155","37","29","1386","589"
"156","77","122","2141","4306"
"157","37","124","1391","595"
"158","37","39","1327","576"
"159","37","94","1377","593"
"160","77","51","2253","4466"
"161","77","42","2180","4456"
"162","77","20","2275","4586"
"163","77","178","2519","5058"
"164","72","141","152","4931"
"165","77","246","2430","4802"
"166","77","43","2298","4704"
"167","77","69","2390","4772"
"168","37","28","1233","527"
"169","77","33","2409","4772"
"170","72","289","163","5090"
"171","72","233","156","4707"
"172","77","106","2280","4582"
"173","77","48","2364","4706"
"174","37","153","1398","606"
"175","77","30","2371","4748"
"176","72","632","162","4681"
"177","72","200","160","5130"
"178","72","422","170","5153"
"179","72","205","159","4914"
"180","77","45","2345","4883"
"181","72","820","152","4921"
"182","77","68","2446","4893"
"183","37","79","1365","592"
"184","77","23","2330","4543"
"185","77","157","2346","4781"
"186","72","211","159","5112"
"187","77","21","2244","4427"
"188","37","53","1382","584"
"189","77","37","2413","4848"
"190","72","186","160","5053"
"191","77","102","2313","4654"
"192","77","34","2336","4794"
"193","37","24","1381","584"
"194","72","359","168","5225"
"195","77","41","2418","4949"
"196","72","39","171","5271"
"197","37","33","1391","593"
"198","77","22","2378","4769"
"199","72","50","168","5390"
"200","72","167","167","5160"
