Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\RLE6TN CK_lxb\RLE6TN CK_P1_H7.lxb RLE6TN CK 
"EventNo","RID","RP1","CL1","CL2"
"1","37","30","1419","596"
"2","77","72","2284","4634"
"3","77","30","2385","4637"
"4","72","171","160","4842"
"5","72","167","160","4844"
"6","37","48","1335","565"
"7","77","71","2259","4514"
"8","77","25","2437","4736"
"9","72","177","172","5404"
"10","72","179","160","5017"
"11","37","30","1297","536"
"12","77","39","2294","4646"
"13","72","172","171","5408"
"14","72","323","166","5160"
"15","37","27","1355","575"
"16","72","196","157","4926"
"17","77","187","2201","4487"
"18","72","199","155","4712"
"19","37","31","1370","576"
"20","72","149","169","5186"
"21","72","502","164","5051"
"22","72","185","165","4973"
"23","37","30","1481","624"
"24","72","121","163","4893"
"25","77","54","2178","4373"
"26","72","197","171","5149"
"27","37","28","1403","578"
"28","72","344","169","5205"
"29","72","177","163","4984"
"30","72","221","164","5087"
"31","37","29","1363","567"
"32","37","23","1299","532"
"33","77","28","2273","4544"
"34","77","52","2297","4726"
"35","77","44","2279","4702"
"36","72","180","158","4742"
"37","72","220","169","5087"
"38","77","41","2230","4495"
"39","37","32","1317","551"
"40","72","161","158","4987"
"41","77","39","2169","4493"
"42","72","229","171","5273"
"43","77","83","2493","4990"
"44","77","40","2395","4627"
"45","37","31","1328","571"
"46","77","27","2371","4578"
"47","37","36","1374","561"
"48","37","24","1469","613"
"49","37","29","1404","583"
"50","37","31","1326","565"
"51","77","34","2296","4728"
"52","77","71","2390","4668"
"53","37","24","1370","561"
"54","37","26","1382","571"
"55","37","30","1427","588"
"56","37","27","1384","565"
"57","37","23","1386","586"
"58","77","36","2273","4645"
"59","37","20","1328","553"
"60","37","26","1403","599"
"61","72","222","159","4972"
"62","37","26","1365","575"
"63","77","62","2231","4596"
"64","77","35","2354","4665"
"65","72","172","169","5153"
"66","37","29","1384","569"
"67","72","440","162","5095"
"68","37","29","1283","561"
"69","77","36","2384","4676"
"70","72","134","159","5128"
"71","37","36","1351","568"
"72","72","247","158","4916"
"73","77","87","2426","4775"
"74","77","48","2243","4343"
"75","37","28","1314","565"
"76","72","154","158","4815"
"77","37","47","1313","538"
"78","72","207","163","5058"
"79","37","31","1327","591"
"80","37","24","1347","592"
"81","77","43","2314","4526"
"82","72","172","166","5141"
"83","37","40","1412","592"
"84","72","113","158","5005"
"85","72","182","163","5116"
"86","72","181","155","4786"
"87","72","161","159","5038"
"88","72","231","162","5053"
"89","37","27","1296","560"
"90","77","95","2391","4706"
"91","72","215","161","5062"
"92","37","31","1329","566"
"93","37","28","1357","607"
"94","72","407","157","4959"
"95","37","52","1540","632"
"96","77","62","2323","4602"
"97","77","25","2422","4722"
"98","77","28","2427","4847"
"99","72","373","158","5036"
"100","37","34","1288","552"
"101","72","208","184","5080"
"102","37","33","1316","565"
"103","72","131","149","4793"
"104","77","58","2458","4930"
"105","37","189","1273","557"
"106","37","36","1335","565"
"107","72","355","167","5148"
"108","37","25","1374","596"
"109","37","50","1329","575"
"110","37","28","1340","572"
"111","72","276","163","4957"
"112","77","47","2395","4642"
"113","72","1326","165","5237"
"114","77","68","2437","4757"
"115","77","86","2201","4482"
"116","37","28","1356","569"
"117","77","32","2303","4720"
"118","37","34","1405","575"
"119","72","214","162","5045"
"120","72","171","160","5049"
"121","77","63","2275","4638"
"122","37","13","1359","583"
"123","72","210","156","4933"
"124","77","29","2446","4858"
"125","37","28","1398","588"
"126","72","202","155","4944"
"127","37","70","1333","588"
"128","77","39","2360","4816"
"129","37","28","1420","603"
"130","37","28","1359","586"
"131","37","29","1320","560"
"132","77","30","2272","4530"
"133","72","222","171","5325"
"134","72","428","155","5133"
"135","77","40","2325","4750"
"136","72","140","158","5045"
"137","37","23","1649","657"
"138","72","171","166","5278"
"139","37","69","1347","577"
"140","72","448","176","5233"
"141","72","177","168","5122"
"142","37","36","1282","571"
"143","72","168","160","4962"
"144","37","21","1416","599"
"145","72","251","161","5080"
"146","72","201","166","5226"
"147","72","220","158","4949"
"148","72","211","162","5038"
"149","72","186","164","5318"
"150","77","55","2339","4799"
"151","72","181","156","5006"
"152","72","178","175","5619"
"153","72","154","145","4471"
"154","72","186","161","4991"
"155","72","149","162","5001"
"156","37","20","1427","606"
"157","77","40","2360","4738"
"158","77","44","2390","4836"
"159","72","130","164","5253"
"160","37","29","1319","565"
"161","37","33","1282","550"
"162","72","172","167","5215"
"163","72","249","156","4958"
"164","37","37","1335","567"
"165","77","47","2402","4944"
"166","77","53","2248","4624"
"167","72","226","172","5061"
"168","77","52","2275","4623"
"169","77","35","2300","4610"
"170","37","26","1453","625"
"171","77","35","2357","4852"
"172","37","23","1318","581"
"173","77","34","2410","4890"
"174","77","42","2451","4899"
"175","77","60","2360","4954"
"176","77","62","2203","4469"
"177","77","51","2293","4817"
"178","77","31","2178","4518"
"179","72","127","159","4946"
"180","72","181","157","4924"
"181","77","62","2291","4561"
"182","77","78","2382","4706"
"183","72","376","158","5013"
"184","77","39","2372","4862"
"185","37","31","1380","590"
"186","37","32","1358","575"
"187","37","27","1429","597"
"188","37","33","1335","566"
"189","72","146","159","5039"
"190","77","55","2293","4537"
"191","72","178","163","5147"
"192","77","36","2398","4784"
"193","77","39","2209","4528"
"194","37","28","1376","592"
"195","72","1328","164","5179"
"196","77","37","2222","4610"
"197","37","23","1317","574"
"198","37","46","1393","611"
"199","77","27","2356","4847"
"200","72","193","174","5239"
"201","37","21","1503","643"
"202","77","51","2400","4943"
"203","72","204","161","4966"
"204","72","243","158","4853"
"205","37","43","1434","599"
"206","37","40","1293","550"
"207","37","36","1462","609"
"208","72","322","165","5361"
"209","77","35","2242","4553"
"210","77","72","2445","4908"
"211","72","224","165","5201"
"212","77","97","2442","4810"
"213","77","51","2386","4831"
"214","37","42","1292","585"
"215","37","41","1395","622"
"216","72","221","162","5123"
"217","77","30","2414","4928"
"218","72","232","163","5130"
"219","77","8","2372","4659"
"220","37","36","1305","541"
"221","37","45","1480","653"
"222","77","94","2316","4675"
"223","77","30","2372","4842"
"224","72","125","159","4909"
"225","37","24","1424","604"
"226","72","153","173","5423"
"227","77","30","2372","4790"
"228","77","59","2275","4503"
"229","37","62","1326","574"
"230","77","47","2350","4789"
"231","72","178","169","5197"
"232","77","70","2251","4604"
"233","77","46","2413","4866"
"234","37","42","1368","591"
"235","77","78","2291","4628"
"236","37","30","1403","599"
"237","77","24","2390","4685"
"238","77","96","2402","4814"
"239","37","37","1339","584"
"240","37","19","1323","565"
"241","77","135","2336","4711"
"242","72","195","167","5205"
"243","37","125","1464","619"
"244","37","29","1371","593"
"245","77","37","2408","4936"
"246","37","25","1303","559"
"247","37","24","1374","610"
"248","72","264","168","5164"
"249","37","38","1365","584"
"250","77","47","2307","4591"
"251","77","38","2376","4669"
"252","37","50","1439","605"
"253","72","128","160","4985"
"254","37","36","1380","600"
"255","37","33","1375","580"
"256","77","63","2481","4880"
"257","72","160","162","5105"
"258","72","213","161","5050"
"259","77","31","2303","4724"
"260","77","74","2425","4874"
"261","72","187","161","5040"
"262","72","182","162","5050"
"263","72","209","162","5125"
"264","37","28","1384","599"
"265","37","22","1399","608"
"266","72","158","156","4924"
"267","77","36","2331","4749"
"268","72","198","154","4855"
"269","37","68","1291","562"
"270","72","244","159","4975"
"271","37","27","1574","645"
"272","77","28","2470","5143"
"273","37","28","1360","563"
"274","77","37","2348","4725"
"275","72","236","168","5283"
"276","37","34","1323","566"
"277","37","27","1446","656"
"278","37","27","1332","570"
"279","37","22","1286","548"
"280","37","33","1277","542"
"281","37","25","1384","600"
"282","77","54","2321","4683"
"283","77","110","2283","4565"
"284","37","32","1422","611"
"285","77","32","2450","4897"
"286","77","34","2314","4633"
"287","77","43","2437","4962"
"288","37","45","1394","618"
"289","77","14","2302","4684"
"290","37","31","1351","570"
"291","37","28","1393","586"
"292","37","40","1373","579"
"293","37","34","1361","582"
"294","37","27","1366","575"
"295","37","46","1397","598"
"296","72","211","154","4871"
"297","72","143","165","5365"
"298","72","157","163","5049"
"299","37","30","1438","663"
"300","72","139","171","5246"
"301","72","175","160","5048"
"302","37","25","1322","578"
"303","72","165","170","5119"
"304","37","27","1377","583"
"305","72","169","171","5283"
"306","37","28","1444","596"
