"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","10/15/2019","7:46 PM"

"SN","MAGPX17165724"
"Batch","RLE6TN CK"
"Version","1"
"Operator",""
"ComputerName","ENV18022701X"
"Country Code","409"
"ProtocolName","Rat Cytokine Chemokine AD"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany","Millipore"
"SampleWash","Off"
"SampleVolume","50 uL"
"BatchStartTime","10/15/2019 7:47:07 PM"
"BatchStopTime","10/15/2019 8:46:33 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","3"
"ProtocolAnalysis","Type","Quan","Mode","FitOfAllStandards"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 10/15/2019 15:47:30"
"Last VER Verification","Passed 10/15/2019 15:48:32"
"Last Fluidics Test","Passed 10/15/2019 15:49:52"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B62703","11/17/2019","10/15/2019 3:47:30 PM","26.4","26.4","26.4","26.4","252","284","353","353","0.00702","0.00697","0.00407","0.11954","Pass","MAGPX17165724"


"AssayLotInfo:"
"KitName","LotNumber","ExpirationDate","Manufacturer"
"Rat Cytokine-Chemokine Panel","RCYT-8605","03/01/2021","Millipore"
"Reagent","LotName","LotNumber","ExpirationDate","Manufacturer"
"Standard1","Rat CK Panel","RCYT-8605","03/01/2021","Millipore"
"Standard2","Rat CK Panel","RCYT-8605","03/01/2021","Millipore"
"Standard3","Rat CK Panel","RCYT-8605","03/01/2021","Millipore"
"Standard4","Rat CK Panel","RCYT-8605","03/01/2021","Millipore"
"Standard5","Rat CK Panel","RCYT-8605","03/01/2021","Millipore"
"Standard6","Rat CK Panel","RCYT-8605","03/01/2021","Millipore"
"Standard7","Rat CK Panel","RCYT-8605","03/01/2021","Millipore"
"Control1","Rat CK Panel","RCY-109","03/01/2021","Millipore"
"Control2","Rat CK Panel","RCY-209","03/01/2021","Millipore"


"Samples","36","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","29","171","30","1228"
"2(1,B1)","Background0","34","219","37","1252"
"3(1,C1)","Standard1","36","202","92.5","1072"
"4(1,D1)","Standard1","38","212","109","1170"
"5(1,E1)","Standard2","42","242","208","1081"
"6(1,F1)","Standard2","40","168","230","1154"
"7(1,G1)","Standard3","116","401","1209","882"
"8(1,H1)","Standard3","69","241","551","1088"
"9(1,A2)","Standard4","190","721","2667","1256"
"10(1,B2)","Standard4","157.5","557.5","2278","1058"
"11(1,C2)","Standard5","876","1989","6473.5","1016"
"12(1,D2)","Standard5","1027","2435","7709","989"
"13(1,E2)","Standard6","4759","5616","13147","939"
"14(1,F2)","Standard6","3959","4397","10996","1009"
"15(1,G2)","Standard7","12436","7381","11202","1013"
"16(1,H2)","Standard7","12427","6979.5","9693.5","1057"
"17(1,A3)","Control1","197","627","2596","1211"
"18(1,B3)","Control1","209.5","603","2226","963"
"19(1,C3)","Control2","1006.5","2078","7641","924"
"20(1,D3)","Control2","1216","2391","7546","988"
"21(1,E3)","Normoxia Blank 1","35","232","49","809"
"22(1,F3)","Normoxia Blank 1","35","236","44","862"
"23(1,G3)","Normoxia Blank 1","31.5","242","45","909"
"24(1,H3)","Normoxia Blank 2","34","212","40.5","812"
"25(1,A4)","Normoxia Blank 2","32","175","41","960"
"26(1,B4)","Normoxia Blank 2","40","268","66","932"
"27(1,C4)","Normoxia Blank 3","37","224","35.5","831"
"28(1,D4)","Normoxia Blank 3","30","225","208.5","677"
"29(1,E4)","Normoxia Blank 3","30","213.5","52","807"
"30(1,F4)","Normoxia DEP 1","31","271","43","863"
"31(1,G4)","Normoxia DEP 1","37","295","54","812"
"32(1,H4)","Normoxia DEP 1","30","219","38","849"
"33(1,A5)","Normoxia DEP 2","30","241.5","55","960"
"34(1,B5)","Normoxia DEP 2","30","209","54.5","988"
"35(1,C5)","Normoxia DEP 2","38","265","55","887"
"36(1,D5)","Normoxia DEP 3","34","359","56","850"
"37(1,E5)","Normoxia DEP 3","33.5","309","125","655"
"38(1,F5)","Normoxia DEP 3","32.5","346","55","757"
"39(1,G5)","Normoxia Ox66 1","27","183","50","1144"
"40(1,H5)","Normoxia Ox66 1","31","178","50","974"
"41(1,A6)","Normoxia Ox66 1","29","203","53","1256"
"42(1,B6)","Normoxia Ox66 2","31","155","142","1137"
