Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CYK SVG_lxb\Human CYK SVG_P1_A3.lxb Human CYK SVG 
"EventNo","RID","RP1","CL1","CL2"
"1","75","1084","713","4778"
"2","63","2613","413","2549"
"3","75","1444","778","4858"
"4","57","19","4144","1581"
"5","57","1736","3908","1553"
"6","63","3219","438","2719"
"7","63","3091","434","2829"
"8","57","3462","4230","1541"
"9","57","2758","3942","1517"
"10","57","4927","4355","1691"
"11","57","2231","4055","1508"
"12","63","3608","456","2871"
"13","57","3125","4172","1530"
"14","63","1958","441","2818"
"15","75","34344","685","4568"
"16","75","1119","802","4862"
"17","75","2126","746","4992"
"18","75","1010","722","4697"
"19","57","2885","3981","1529"
"20","57","5356","4027","1550"
"21","63","3678","440","2782"
"22","75","234","722","4534"
"23","63","3264","432","2762"
"24","63","3653","432","2763"
"25","75","1606","716","4578"
"26","77","8","2170","4435"
"27","57","2407","4044","1532"
"28","75","1192","752","4818"
"29","57","3448","4159","1593"
"30","75","1692","755","4994"
"31","75","1462","730","4726"
"32","75","1680","715","4561"
"33","75","1533","731","4633"
"34","75","1491","711","4572"
"35","63","3988","426","2708"
"36","57","2695","4163","1584"
"37","57","2506","4607","1661"
"38","75","1343","740","4842"
"39","75","97","757","4804"
"40","57","1658","4260","1588"
"41","75","2382","695","4436"
"42","75","1273","734","4625"
"43","57","3715","4499","1657"
"44","75","1333","731","4698"
"45","57","2472","4141","1592"
"46","57","6833","4099","1602"
"47","75","1035","741","4778"
"48","57","3707","4032","1565"
"49","57","578","4201","1556"
"50","57","3502","4170","1614"
"51","63","2083","434","2846"
"52","75","2164","758","4818"
"53","75","1435","700","4499"
"54","57","4700","4216","1564"
"55","63","2796","454","2967"
"56","63","2537","426","2770"
"57","57","2604","3981","1550"
"58","75","1040","680","4586"
"59","75","966","742","4770"
"60","75","1507","757","4902"
"61","75","1537","698","4755"
"62","75","1244","750","4716"
"63","75","1415","696","4568"
"64","75","1296","736","4703"
"65","75","3216","729","4870"
"66","57","2717","4204","1573"
"67","75","1350","694","4689"
"68","63","2350","415","2649"
"69","57","12","4210","1651"
"70","57","513","4215","1599"
"71","57","2773","4314","1616"
"72","57","3431","4060","1529"
"73","75","1536","721","4706"
"74","75","1449","703","4659"
"75","57","2786","3860","1528"
"76","75","1307","735","4794"
"77","57","3905","4183","1568"
"78","75","1546","708","4817"
"79","57","4676","4141","1545"
"80","63","3226","446","2830"
"81","57","6996","4214","1594"
"82","57","580","4187","1617"
"83","75","1256","720","4793"
"84","75","92","697","4693"
"85","63","2670","451","2843"
"86","57","1799","3926","1525"
"87","63","3263","442","2811"
"88","75","1381","757","5033"
"89","63","1792","413","2687"
"90","63","2527","435","2777"
"91","63","1015","440","2807"
"92","57","15599","4152","1635"
"93","75","1177","680","4486"
"94","63","2046","444","2840"
"95","57","2757","3979","1524"
"96","75","1758","716","4793"
"97","63","2119","413","2710"
"98","75","1006","764","4996"
"99","75","1462","702","4882"
"100","75","1228","707","4708"
"101","63","5391","434","2871"
"102","63","1747","443","2927"
"103","75","1242","641","4168"
"104","63","3187","440","2821"
"105","75","1948","748","4674"
"106","75","1255","752","4816"
"107","75","1180","749","4832"
"108","57","4113","4014","1566"
"109","57","4894","3890","1518"
"110","57","1424","4152","1565"
"111","63","3812","457","2844"
"112","63","4885","455","2919"
"113","63","2439","451","2817"
"114","63","2211","442","2894"
"115","63","2737","444","2843"
"116","57","2353","4139","1584"
"117","75","253","746","4862"
"118","57","2544","4001","1539"
"119","63","4119","418","2708"
"120","57","1867","4229","1628"
"121","63","3156","428","2753"
"122","57","3034","4353","1652"
"123","57","5541","4209","1607"
"124","75","1594","725","4803"
"125","57","2549","4034","1573"
"126","57","1421","4280","1647"
"127","63","503","459","2953"
"128","75","1373","702","4631"
"129","63","2163","441","2823"
"130","57","1972","4403","1727"
"131","63","2481","430","2783"
"132","75","160","759","5105"
"133","75","2135","737","4918"
"134","57","2508","4173","1610"
"135","75","216","695","4693"
"136","63","2712","450","2897"
"137","75","3106","786","5104"
"138","57","5329","4134","1618"
"139","63","3776","462","3014"
"140","75","1369","774","5070"
"141","75","1337","723","4763"
"142","63","4851","448","2929"
"143","75","141","758","5009"
"144","75","2593","791","5004"
"145","75","1323","753","4866"
"146","57","3410","4306","1604"
"147","57","2012","4139","1620"
"148","75","1397","724","4776"
"149","57","2987","3873","1476"
"150","75","1069","731","4796"
"151","57","2511","4122","1588"
"152","57","1952","3959","1536"
"153","75","1112","731","4802"
"154","75","1539","746","4863"
"155","63","1876","447","2851"
"156","75","2078","712","4761"
"157","63","2200","424","2818"
"158","75","1453","786","5064"
"159","57","4830","4103","1614"
"160","75","2137","732","4983"
"161","57","7027","4172","1596"
"162","75","2136","717","4766"
"163","57","2679","4241","1665"
"164","63","2552","444","2878"
"165","75","996","753","4959"
"166","75","1296","720","4807"
"167","57","2849","3961","1522"
"168","57","2193","3933","1512"
"169","63","402","421","2817"
"170","57","1629","4126","1659"
"171","57","4265","4317","1638"
"172","75","1306","749","4874"
"173","75","963","736","4785"
"174","63","434","434","2763"
"175","63","2629","425","2791"
"176","63","190","372","2417"
"177","75","1404","727","4712"
"178","63","2226","448","2914"
"179","57","2112","4278","1625"
"180","63","4773","438","2797"
"181","63","5143","417","2746"
"182","63","3149","449","2870"
"183","75","1380","733","4840"
"184","75","1949","727","4990"
"185","57","1853","4478","1717"
"186","57","2213","4295","1641"
"187","75","1264","714","4620"
"188","63","3810","448","2862"
"189","75","2221","749","4885"
"190","75","1408","727","4768"
"191","63","1875","442","2927"
"192","75","1108","759","4950"
"193","75","2183","714","4969"
"194","63","1949","447","2958"
"195","63","2260","422","2770"
"196","63","6188","516","3310"
"197","63","3391","427","2740"
"198","57","3952","4223","1609"
"199","75","960","734","4942"
"200","63","262","424","2726"
"201","63","3063","449","2875"
"202","75","1402","786","5210"
"203","75","1364","765","5087"
"204","75","1386","766","5163"
"205","57","22","4030","1546"
"206","57","3545","4189","1599"
"207","75","1481","806","5193"
"208","63","4698","462","2951"
"209","57","5027","4221","1653"
"210","57","2724","4132","1592"
"211","75","1178","741","4910"
"212","57","3062","4081","1549"
"213","75","1217","703","4721"
"214","63","1936","429","2904"
"215","63","5178","432","2778"
"216","75","1388","716","4734"
"217","57","2784","4155","1611"
"218","63","1481","467","2976"
"219","57","2401","4167","1570"
"220","57","5923","4231","1624"
"221","75","1592","706","4627"
"222","75","1249","743","4859"
"223","57","3039","4200","1578"
"224","57","2939","3963","1556"
"225","57","2795","4014","1551"
"226","63","3625","451","2823"
"227","63","2056","447","2880"
"228","63","199","448","2850"
"229","57","269","4186","1619"
"230","75","1890","767","4979"
"231","75","1274","653","4385"
"232","57","2868","4247","1677"
"233","75","2378","857","5832"
"234","57","3047","4120","1626"
"235","63","2215","444","2808"
"236","63","27173","447","2875"
"237","63","2917","411","2727"
"238","75","1130","717","4807"
"239","57","2624","4162","1603"
"240","57","3049","4146","1584"
"241","63","5511","458","2977"
"242","57","1555","4122","1599"
"243","75","198","722","4714"
"244","75","1486","737","4914"
"245","75","2186","745","4865"
"246","75","1163","761","4764"
"247","75","1404","761","5149"
"248","63","2480","430","2854"
"249","63","3954","473","3001"
"250","75","1372","762","5023"
"251","57","2333","4142","1588"
"252","63","2890","450","2889"
"253","75","1591","737","4901"
"254","75","1617","728","4908"
"255","75","1425","752","5013"
"256","57","2279","4242","1610"
"257","63","2644","457","3017"
"258","63","4378","447","2893"
"259","63","2809","437","2754"
"260","57","2863","4219","1607"
"261","75","1415","728","4772"
"262","75","1438","751","4935"
"263","75","1159","747","4968"
"264","75","1422","726","4882"
"265","75","1272","710","4615"
"266","57","1829","4344","1681"
"267","75","1886","760","5038"
"268","63","3333","427","2784"
"269","75","930","729","4781"
"270","75","210","777","5060"
"271","75","1323","739","4740"
"272","63","3306","451","2925"
