Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CYK SVG_lxb\Human CYK SVG_P1_B11.lxb Human CYK SVG 
"EventNo","RID","RP1","CL1","CL2"
"1","75","20","743","4797"
"2","57","1014","4091","1476"
"3","63","10082","435","2827"
"4","63","10775","445","2872"
"5","63","10229","454","2771"
"6","75","23","742","4814"
"7","63","9413","430","2719"
"8","57","768","4038","1537"
"9","75","19","759","4810"
"10","57","897","4199","1542"
"11","57","698","4168","1588"
"12","63","1130","471","2988"
"13","75","18","738","4790"
"14","63","9723","446","2721"
"15","57","422","4153","1606"
"16","63","10370","458","2807"
"17","63","8475","439","2753"
"18","57","951","4138","1551"
"19","63","10696","434","2804"
"20","57","1011","4136","1599"
"21","63","10316","405","2603"
"22","57","8902","3882","1480"
"23","75","21","723","4833"
"24","57","1355","4211","1579"
"25","57","775","4129","1558"
"26","57","969","4212","1568"
"27","77","12","2242","4376"
"28","63","9169","448","2899"
"29","75","19","782","4880"
"30","63","10117","459","2892"
"31","63","10371","439","2843"
"32","63","10217","430","2760"
"33","63","1885","430","2675"
"34","57","1035","4162","1624"
"35","75","14","744","4786"
"36","75","36","752","4730"
"37","57","2068","4177","1591"
"38","75","20","780","4838"
"39","75","25","672","4458"
"40","75","20","716","4676"
"41","75","36","747","4859"
"42","63","9462","445","2762"
"43","75","17","767","4895"
"44","63","31337","432","2727"
"45","75","17","732","4758"
"46","57","690","4092","1566"
"47","57","453","4176","1554"
"48","63","10755","446","2816"
"49","57","1279","4206","1588"
"50","75","12","743","4817"
"51","75","21","672","4466"
"52","75","13","727","4789"
"53","57","847","4056","1550"
"54","57","824","4388","1622"
"55","63","7323","457","2837"
"56","63","11376","440","2839"
"57","75","26","756","4849"
"58","63","8687","431","2837"
"59","75","15","721","4619"
"60","57","528","4303","1635"
"61","75","33","790","5002"
"62","57","594","4145","1560"
"63","63","9424","431","2765"
"64","75","17","755","4749"
"65","75","15","728","4803"
"66","75","14","776","5074"
"67","75","20","713","4550"
"68","75","18","714","4607"
"69","75","16","708","4658"
"70","75","33","745","4785"
"71","75","29","738","4726"
"72","75","21","741","4887"
"73","63","11648","426","2723"
"74","75","14","737","4712"
"75","57","818","4071","1583"
"76","63","10719","434","2726"
"77","75","18","706","4626"
"78","63","11053","457","3012"
"79","63","14277","450","2885"
"80","75","22","729","4976"
"81","63","10603","453","2790"
"82","63","11114","427","2742"
"83","57","1286","4196","1639"
"84","75","49","706","4804"
"85","75","18","724","4884"
"86","63","13170","438","2932"
"87","57","441","4008","1503"
"88","63","11285","439","2835"
"89","63","1818","421","2732"
"90","57","428","4201","1598"
"91","63","15234","432","2816"
"92","63","10816","442","2774"
"93","63","6933","413","2735"
"94","63","1919","429","2861"
"95","63","9595","450","2874"
"96","63","13097","426","2795"
"97","75","15","680","4629"
"98","57","1081","4295","1610"
"99","63","1023","415","2721"
"100","75","15","725","4739"
"101","63","10159","441","2789"
"102","75","17","688","4679"
"103","75","18","763","5036"
"104","75","80","773","4949"
"105","63","12179","446","2841"
"106","75","23","748","4875"
"107","57","1289","3888","1528"
"108","57","557","4268","1579"
"109","63","9384","437","2817"
"110","57","1486","4173","1630"
"111","57","779","4271","1621"
"112","75","14","722","4774"
"113","63","10401","426","2705"
"114","63","12077","415","2723"
"115","57","560","4039","1533"
"116","63","8545","430","2775"
"117","63","12794","413","2668"
"118","57","937","4330","1618"
"119","75","19","668","4584"
"120","57","1295","3949","1546"
"121","63","9541","434","2834"
"122","57","1103","4214","1665"
"123","63","11222","455","2907"
"124","63","12420","432","2765"
"125","57","590","4259","1605"
"126","63","10385","430","2769"
"127","63","10303","461","2942"
"128","63","12406","474","2932"
"129","57","398","4075","1564"
"130","75","17","744","4915"
"131","75","19","728","4768"
"132","57","3426","4299","1634"
"133","63","10790","453","2840"
"134","63","8908","456","2818"
"135","57","742","4226","1619"
"136","75","16","755","5075"
"137","63","11934","432","2800"
"138","63","10452","441","2831"
"139","63","10152","426","2759"
"140","63","11780","439","2778"
"141","57","26","4045","1573"
"142","63","11203","472","3028"
"143","63","10822","448","2909"
"144","75","18","735","4953"
"145","63","11629","441","2854"
"146","75","18","732","4785"
"147","57","674","4232","1596"
"148","63","77","427","2762"
"149","57","441","3989","1547"
"150","75","28","762","4841"
"151","57","1174","4096","1580"
"152","75","22","742","4851"
"153","63","828","415","2711"
"154","75","22","780","4921"
"155","75","8","742","4885"
"156","75","20","753","4898"
"157","75","22","780","5008"
"158","63","9493","433","2856"
"159","75","51","737","4946"
"160","75","21","750","4795"
