Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CYK SVG_lxb\Human CYK SVG_P1_C10.lxb Human CYK SVG 
"EventNo","RID","RP1","CL1","CL2"
"1","75","17","713","4672"
"2","63","14408","484","2908"
"3","75","12","737","4645"
"4","63","16431","452","2756"
"5","75","34","702","4716"
"6","63","13193","436","2755"
"7","63","10443","400","2575"
"8","57","757","4221","1562"
"9","75","18","717","4725"
"10","57","987","4210","1559"
"11","75","21","745","4903"
"12","75","18","750","4858"
"13","63","10690","446","2797"
"14","75","21","759","4781"
"15","57","1390","4143","1567"
"16","63","11024","422","2600"
"17","57","873","4125","1522"
"18","63","10117","426","2662"
"19","63","9592","453","2795"
"20","75","31","756","4983"
"21","57","1538","4399","1613"
"22","75","31","741","4689"
"23","63","13448","438","2757"
"24","63","6326","447","2741"
"25","63","11468","461","2841"
"26","57","1087","4441","1622"
"27","63","13136","423","2733"
"28","75","34","747","4824"
"29","63","14400","431","2737"
"30","75","22","717","4834"
"31","63","10316","441","2773"
"32","57","1129","4242","1552"
"33","75","20","741","4756"
"34","63","11669","434","2815"
"35","57","1637","4091","1578"
"36","63","7859","425","2752"
"37","57","913","4158","1544"
"38","77","10","2251","4401"
"39","75","39","790","5335"
"40","63","10418","430","2744"
"41","75","35","745","4747"
"42","63","12874","431","2823"
"43","57","963","4079","1581"
"44","63","13313","442","2849"
"45","63","11250","442","2840"
"46","57","1998","4361","1617"
"47","75","18","766","4750"
"48","57","1390","4468","1706"
"49","75","15","768","4995"
"50","63","45","426","2674"
"51","75","32","759","5072"
"52","75","53","734","4731"
"53","57","732","4069","1556"
"54","75","17","742","4701"
"55","75","24","729","4874"
"56","57","744","3906","1536"
"57","57","691","4060","1538"
"58","75","29","733","4694"
"59","57","659","4282","1590"
"60","63","10383","425","2665"
"61","75","15","698","4758"
"62","75","19","736","4673"
"63","63","11414","424","2713"
"64","63","10995","443","2822"
"65","57","1217","4100","1594"
"66","57","2050","3616","1359"
"67","57","1291","3935","1501"
"68","57","849","4132","1574"
"69","63","11169","438","2756"
"70","75","23","737","4803"
"71","63","13135","453","2820"
"72","57","793","4227","1592"
"73","75","16","709","4750"
"74","63","13283","466","2875"
"75","63","10011","461","2937"
"76","63","11407","453","2948"
"77","75","19","760","5002"
"78","63","13187","439","2777"
"79","57","494","4425","1655"
"80","63","11823","418","2710"
"81","75","12","730","4761"
"82","63","15227","431","2795"
"83","57","1697","4050","1518"
"84","63","12835","426","2693"
"85","63","11513","485","2913"
"86","75","62","724","4729"
"87","57","984","4161","1609"
"88","75","23","766","4931"
"89","75","23","745","4767"
"90","75","16","697","4567"
"91","63","9712","413","2771"
"92","75","19","756","4895"
"93","75","16","713","4790"
"94","57","1013","4263","1602"
"95","75","18","692","4633"
"96","63","13418","457","2888"
"97","75","20","708","4647"
"98","75","14","756","4853"
"99","75","24","771","4932"
"100","75","20","734","4832"
