Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CYK SVG_lxb\Human CYK SVG_P1_D7.lxb Human CYK SVG 
"EventNo","RID","RP1","CL1","CL2"
"1","57","963","4018","1475"
"2","57","2318","4375","1582"
"3","75","20","715","4575"
"4","75","16","712","4760"
"5","63","13310","471","2907"
"6","57","2883","4048","1504"
"7","57","2689","4095","1574"
"8","63","11550","435","2781"
"9","57","917","4307","1586"
"10","75","13","748","4816"
"11","63","14391","429","2688"
"12","63","12857","439","2888"
"13","75","23","747","4968"
"14","63","13962","459","2852"
"15","75","19","719","4662"
"16","75","17","712","4487"
"17","57","1057","4308","1593"
"18","75","32","755","4901"
"19","63","13863","427","2633"
"20","75","22","742","4726"
"21","75","34","691","4588"
"22","57","74","4036","1531"
"23","57","944","4177","1635"
"24","75","24","780","4993"
"25","75","18","724","4827"
"26","77","9","2260","4377"
"27","63","21257","453","2917"
"28","75","23","716","4803"
"29","75","29","734","4879"
"30","75","14","764","4827"
"31","75","26","787","4916"
"32","57","2107","4425","1645"
"33","75","17","703","4586"
"34","63","12324","444","2903"
"35","57","787","4130","1527"
"36","63","13468","424","2643"
"37","75","32","753","4869"
"38","57","1218","4354","1612"
"39","75","25","761","4830"
"40","63","13229","452","2884"
"41","63","18764","430","2736"
"42","75","18","730","4770"
"43","63","14850","461","2860"
"44","63","11966","448","2920"
"45","63","13037","491","3063"
"46","63","22508","440","2751"
"47","75","52","733","4709"
"48","75","37","683","4613"
"49","57","1101","4001","1558"
"50","63","23930","407","2571"
"51","63","14157","481","3039"
"52","75","28","723","4844"
"53","75","29","717","4705"
"54","63","15526","457","2862"
"55","75","20","776","4931"
"56","75","55","691","4633"
"57","63","16388","470","2995"
"58","63","10457","418","2718"
"59","75","17","727","4705"
"60","57","1909","4069","1585"
"61","75","19","719","4829"
"62","63","11076","442","2882"
"63","63","11517","459","2787"
"64","75","105","709","4757"
"65","75","26","701","4749"
"66","63","18599","417","2782"
"67","63","12891","428","2862"
"68","63","10285","424","2805"
"69","63","12083","426","2755"
"70","75","25","717","4621"
"71","57","1553","4334","1624"
"72","63","10706","415","2623"
"73","63","11104","434","2843"
"74","63","10323","412","2623"
"75","63","16702","443","2763"
"76","63","13280","416","2826"
"77","75","12","762","4987"
"78","75","15","751","4871"
"79","57","1800","4295","1610"
"80","63","12820","455","2924"
"81","63","11631","416","2650"
"82","75","19","741","4830"
"83","75","17","748","5061"
"84","75","14","708","4801"
"85","75","23","749","4880"
"86","57","1527","3988","1564"
"87","63","14063","464","2979"
"88","75","42","635","4434"
"89","75","25","726","4804"
"90","57","1899","4124","1611"
"91","75","36","717","4970"
"92","63","10342","471","2956"
"93","63","12914","419","2740"
"94","63","16961","408","2690"
"95","57","1933","4073","1599"
"96","57","763","3942","1530"
"97","75","18","710","4659"
"98","63","12965","429","2716"
"99","75","18","747","4949"
"100","75","28","805","4975"
"101","75","20","713","4723"
"102","75","17","733","4702"
"103","75","31","777","4949"
"104","75","15","786","5065"
"105","75","24","719","4815"
"106","57","1051","4124","1617"
"107","63","17358","469","2943"
"108","75","14","689","4778"
"109","75","20","707","4828"
"110","75","20","717","4793"
"111","63","13094","456","2894"
"112","75","19","780","5185"
"113","63","10069","448","2954"
"114","75","17","737","4823"
"115","57","1204","3776","1457"
"116","75","14","752","4826"
"117","75","19","695","4696"
"118","57","657","3986","1533"
"119","57","1491","3956","1533"
"120","63","16157","460","2858"
"121","75","15","736","4927"
"122","63","11161","425","2780"
"123","63","11493","429","2740"
"124","75","49","728","4812"
"125","57","1099","4003","1506"
"126","63","12627","465","2935"
"127","75","16","736","4947"
"128","63","12890","433","2760"
"129","75","26","720","4761"
"130","75","39","755","4991"
"131","63","13615","464","2876"
"132","63","11803","437","2792"
"133","57","682","3993","1547"
"134","57","1631","4212","1651"
"135","63","21984","438","2784"
"136","57","1995","4261","1617"
"137","75","18","748","4924"
"138","63","14885","443","2838"
"139","63","10106","457","2954"
"140","63","20463","425","2802"
"141","75","13","701","4671"
"142","57","2697","3996","1562"
"143","57","932","4088","1563"
"144","63","19388","428","2777"
"145","75","33","737","4766"
"146","57","2107","4070","1563"
"147","75","31","682","4461"
"148","75","11","757","4868"
"149","63","14735","458","2914"
"150","57","2502","4425","1701"
"151","75","13","765","4984"
"152","63","15435","460","2942"
"153","63","14840","444","2821"
"154","75","19","754","5075"
"155","63","12076","457","2875"
"156","63","10275","481","3051"
"157","63","8205","437","2844"
"158","75","20","668","4479"
"159","63","9360","460","3015"
"160","75","25","770","5117"
"161","63","11760","459","2991"
"162","57","1915","4266","1626"
"163","75","16","745","4972"
"164","57","1422","4162","1596"
"165","75","18","722","4752"
"166","75","16","755","4958"
"167","75","31","770","4885"
"168","57","1707","4199","1601"
"169","57","711","4230","1645"
"170","63","14750","442","2843"
"171","57","961","4120","1619"
"172","57","813","4265","1655"
"173","57","1495","4387","1644"
"174","63","10928","453","2902"
"175","63","17773","441","2895"
"176","57","1010","4280","1672"
"177","63","13364","441","2907"
"178","57","1730","4153","1627"
"179","75","39","739","4823"
"180","63","19177","453","2907"
"181","57","1333","4072","1583"
"182","75","16","750","4850"
"183","75","21","742","4889"
"184","75","22","758","4917"
"185","63","10830","440","2889"
"186","75","14","740","4779"
"187","57","639","3800","1468"
"188","63","17794","449","2960"
"189","63","16088","450","2895"
"190","57","874","4183","1604"
"191","63","16556","457","2952"
"192","57","2498","3997","1592"
"193","57","1903","4182","1632"
"194","63","21080","460","2977"
"195","57","990","4085","1586"
"196","63","16839","440","2882"
"197","57","915","4082","1625"
"198","75","30","734","4723"
"199","63","13337","443","2859"
"200","75","22","711","4672"
"201","75","53","768","5098"
"202","63","12946","442","2882"
"203","57","1796","4129","1571"
"204","63","16936","412","2669"
"205","63","10941","435","2828"
"206","75","18","738","4907"
"207","75","17","689","4536"
"208","75","12","735","4817"
"209","75","25","747","4867"
"210","75","25","729","4821"
"211","75","62","720","4718"
"212","63","14086","447","2874"
"213","63","12304","460","2917"
"214","63","11701","449","2983"
"215","63","16000","476","2979"
"216","75","17","739","4952"
"217","57","729","4231","1612"
"218","75","16","769","5054"
"219","57","1138","4187","1649"
"220","57","2489","3999","1532"
"221","57","847","4267","1633"
"222","63","17221","466","2975"
"223","63","13915","482","3025"
"224","57","1397","4170","1605"
"225","57","4696","4286","1629"
"226","63","15228","464","2993"
"227","57","970","4220","1626"
"228","75","13","760","4960"
"229","75","18","699","4655"
"230","75","23","763","5092"
"231","75","22","740","4808"
"232","57","1406","4407","1707"
"233","63","20825","427","2711"
"234","75","27","759","5021"
"235","57","595","4230","1631"
"236","57","684","4055","1551"
"237","75","30","747","4882"
"238","75","16","696","4640"
"239","73","9","215","5099"
"240","75","30","735","4816"
"241","75","42","749","4841"
"242","75","809","685","4613"
"243","75","43","731","4942"
"244","63","10944","435","2861"
"245","57","659","4308","1674"
"246","63","16683","464","2938"
"247","57","2432","4171","1593"
"248","57","876","4204","1650"
"249","57","2432","4122","1567"
"250","63","11524","469","3017"
"251","75","22","764","5071"
"252","75","16","742","4895"
"253","63","9609","443","2769"
"254","63","10986","433","2777"
"255","75","21","718","4672"
"256","75","36","736","4793"
"257","63","11964","429","2723"
"258","57","1522","4147","1608"
"259","63","55","422","2674"
"260","75","36","708","4708"
"261","57","2349","4004","1542"
"262","75","16","703","4604"
"263","63","15557","470","2987"
"264","57","540","3937","1528"
"265","63","20415","441","2810"
"266","57","2210","4067","1575"
"267","57","876","4239","1620"
"268","63","18058","441","2857"
"269","75","16","732","4877"
"270","75","20","731","4799"
"271","57","771","4089","1592"
"272","63","16239","465","2971"
"273","75","30","696","4600"
"274","63","9147","443","2836"
"275","63","18476","453","2884"
"276","75","19","772","4986"
"277","63","14510","410","2579"
"278","75","25","724","4782"
"279","63","44","441","2870"
"280","75","20","738","4854"
"281","57","764","4261","1643"
"282","75","24","751","4872"
"283","63","17615","435","2818"
"284","57","1530","4243","1625"
"285","75","14","760","5004"
"286","75","23","754","4814"
"287","75","29","721","4759"
"288","63","25","448","2894"
"289","57","894","4380","1696"
"290","63","11204","446","2894"
"291","63","14562","448","2891"
"292","63","17647","451","2948"
"293","63","11075","464","2826"
"294","75","29","750","4919"
"295","57","1426","4361","1627"
"296","57","2010","4102","1588"
"297","63","18173","420","2672"
"298","57","1079","4148","1580"
"299","63","12896","456","2922"
"300","57","1752","4133","1594"
"301","75","14","771","4914"
"302","75","34","735","4818"
"303","57","904","4083","1549"
"304","75","22","730","4803"
"305","63","15138","410","2642"
"306","75","16","716","4676"
"307","63","10521","449","2908"
"308","63","10832","434","2749"
"309","57","1349","4114","1565"
"310","63","13662","454","2828"
"311","75","12","769","5079"
"312","75","16","764","5004"
"313","63","12845","453","2841"
"314","63","9578","435","2825"
"315","75","15","691","4555"
"316","63","9666","428","2775"
"317","57","620","4098","1559"
"318","75","17","735","4801"
"319","75","43","749","4880"
"320","57","867","4170","1588"
