Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CYK SVG_lxb\Human CYK SVG_P1_E2.lxb Human CYK SVG 
"EventNo","RID","RP1","CL1","CL2"
"1","75","31571","738","4641"
"2","63","8149","438","2849"
"3","57","52004","4165","1619"
"4","57","49823","4221","1556"
"5","57","50804","4203","1573"
"6","75","36711","721","4718"
"7","63","37065","411","2536"
"8","75","36004","712","4634"
"9","63","33039","456","2859"
"10","63","36529","460","2862"
"11","75","38005","720","4763"
"12","63","35856","446","2827"
"13","57","48709","4121","1587"
"14","75","37463","769","4825"
"15","63","34896","422","2722"
"16","63","35841","453","2791"
"17","75","38156","754","4779"
"18","75","39519","767","4824"
"19","75","41739","711","4596"
"20","75","42200","708","4620"
"21","63","36508","417","2547"
"22","75","42192","774","5019"
"23","57","47182","4225","1568"
"24","63","40542","395","2436"
"25","57","37669","4347","1596"
"26","77","27","2169","4423"
"27","63","79273","455","2875"
"28","57","48265","4330","1671"
"29","57","53183","4156","1564"
"30","75","53970","783","5013"
"31","75","44261","741","4671"
"32","57","53870","4258","1606"
"33","57","48484","4820","1822"
"34","57","48568","3903","1524"
"35","63","37813","434","2762"
"36","63","38754","414","2647"
"37","63","37890","439","2706"
"38","63","42295","439","2811"
"39","57","45253","4511","1861"
"40","63","36864","470","2917"
"41","63","39803","439","2725"
"42","63","35343","440","2729"
"43","57","43767","4171","1598"
"44","63","39138","439","2844"
"45","57","48663","4283","1609"
"46","75","39959","699","4509"
"47","63","36278","407","2665"
"48","57","50287","4288","1648"
"49","63","24805","443","2817"
"50","75","41357","700","4762"
"51","75","41361","758","4773"
"52","63","39857","424","2820"
"53","75","45127","668","4523"
"54","63","43851","437","2732"
"55","57","53177","4020","1536"
"56","57","48657","4133","1557"
"57","63","38204","453","2863"
"58","63","36908","434","2805"
"59","63","27164","450","2748"
"60","57","55365","4303","1626"
"61","57","50990","4156","1642"
"62","63","35575","446","2787"
"63","75","33848","713","4615"
"64","75","37631","678","4609"
"65","75","14568","687","4683"
"66","75","34771","720","4826"
"67","63","32376","424","2722"
"68","63","42451","434","2865"
"69","63","37935","413","2706"
"70","63","34579","433","2821"
"71","63","43618","444","2818"
"72","75","40789","767","4755"
"73","63","36059","415","2728"
"74","75","41468","724","4922"
"75","75","47629","714","4837"
"76","63","34230","439","2793"
"77","75","28683","701","4622"
"78","63","29709","426","2679"
"79","75","42287","717","4786"
"80","57","44786","3852","1487"
"81","75","46271","740","4756"
"82","63","37614","439","2827"
"83","63","37484","440","2777"
"84","63","38633","441","2748"
"85","75","37735","742","4795"
"86","75","41248","749","4967"
"87","57","52948","3797","1463"
"88","57","43827","4174","1543"
"89","57","42525","4104","1530"
"90","63","35049","421","2832"
"91","57","48028","4289","1633"
"92","75","43708","766","4789"
"93","57","48533","4176","1603"
"94","63","37360","443","2863"
"95","57","45452","4123","1549"
"96","63","31714","429","2808"
"97","75","36692","702","4999"
"98","75","43151","714","4642"
"99","75","6233","788","4967"
"100","57","51054","4052","1607"
"101","75","37590","753","4918"
"102","57","52767","4246","1604"
"103","57","46562","4066","1559"
"104","63","31792","428","2729"
"105","57","49458","4196","1611"
"106","75","39749","749","4824"
"107","57","52730","4129","1620"
"108","57","27547","4163","1574"
"109","75","34233","720","4620"
"110","75","39329","717","4838"
"111","63","4158","435","2815"
"112","75","43880","660","4456"
"113","63","37805","439","2839"
"114","75","43013","793","5082"
"115","57","37708","4171","1610"
"116","75","33993","750","4875"
"117","75","40424","759","4830"
"118","57","46415","4157","1613"
"119","63","42981","444","2842"
"120","57","45549","4069","1572"
"121","57","45812","4106","1594"
"122","57","47631","4156","1604"
"123","57","56324","4255","1632"
"124","57","50770","3834","1537"
"125","75","37967","701","4673"
"126","75","35656","724","4738"
"127","75","42309","749","5083"
"128","63","44836","450","2902"
"129","63","36679","433","2809"
"130","63","32487","438","2813"
"131","57","45027","4037","1519"
"132","57","55842","4086","1571"
"133","63","43417","430","2806"
"134","75","42261","723","4805"
"135","75","41370","731","4851"
"136","63","48941","443","2833"
"137","75","33206","753","4895"
"138","57","52320","4290","1651"
"139","57","53604","3941","1550"
"140","75","36456","705","4650"
"141","63","15692","420","2713"
"142","75","36552","689","4585"
"143","63","36884","416","2718"
"144","63","34992","448","2863"
"145","63","32802","430","2776"
"146","63","37122","462","2937"
"147","63","33343","438","2918"
"148","75","33642","735","4992"
"149","75","42549","661","4348"
"150","57","51325","4149","1592"
"151","57","55430","4007","1559"
"152","63","32758","441","2831"
"153","57","50818","4241","1635"
"154","63","36793","431","2782"
"155","57","36906","4208","1596"
"156","75","40581","706","4781"
"157","75","36512","765","4988"
"158","75","47996","803","5263"
"159","57","47434","4290","1629"
"160","75","40948","776","5022"
"161","63","35171","439","2843"
"162","75","42349","766","4962"
"163","75","41122","750","4963"
"164","63","33616","404","2572"
"165","75","35090","708","4797"
"166","63","36016","437","2817"
"167","75","8390","725","4737"
"168","57","39452","4298","1575"
"169","57","52943","4370","1674"
"170","57","39630","4368","1697"
"171","57","56234","4271","1611"
"172","63","29840","433","2799"
"173","57","51015","4245","1667"
"174","75","33958","758","5056"
"175","75","38388","726","4908"
"176","75","44015","761","5072"
"177","75","40833","706","4809"
"178","75","34125","724","4862"
"179","63","38455","472","2970"
"180","75","30217","746","5070"
"181","75","39330","717","4873"
"182","63","34976","438","2915"
"183","75","47732","742","4854"
"184","63","39671","444","2805"
"185","75","39813","716","4745"
"186","63","35781","468","2960"
"187","63","18067","462","2953"
"188","57","49028","4167","1555"
"189","75","29244","730","4803"
"190","75","37941","715","4637"
"191","57","49454","4255","1618"
"192","75","30642","764","4860"
"193","63","32543","438","2865"
"194","75","41838","759","4936"
"195","75","40316","736","4812"
"196","57","43172","4336","1678"
"197","75","38216","753","5041"
"198","57","44510","3950","1543"
"199","63","14980","452","3007"
"200","57","54638","4155","1593"
"201","57","49090","4159","1641"
"202","63","34475","431","2758"
"203","57","48649","4313","1676"
"204","63","37363","447","2863"
"205","75","38391","759","5114"
"206","63","33222","456","2884"
"207","75","39795","752","5097"
"208","63","39829","451","2916"
"209","75","38409","734","4784"
"210","75","39938","724","4623"
"211","63","34124","459","2877"
"212","57","43309","4074","1587"
"213","57","54821","4297","1629"
"214","57","45505","3920","1512"
"215","75","38054","787","5102"
"216","57","45907","4070","1593"
"217","75","34392","686","4552"
"218","75","38309","754","4919"
"219","57","50827","4321","1650"
"220","57","46893","4071","1567"
"221","63","29750","421","2762"
"222","75","131376","822","5131"
"223","75","35665","799","5061"
"224","75","12223","729","4744"
"225","75","40578","754","5002"
"226","75","34472","712","4712"
"227","57","50664","4284","1684"
"228","63","38691","454","2892"
"229","57","41011","4268","1635"
"230","75","39471","719","4736"
"231","75","42204","726","4754"
"232","75","41929","740","4896"
"233","63","15718","446","2879"
"234","75","41821","718","4772"
"235","63","41783","436","2759"
"236","63","34585","430","2773"
"237","63","42146","453","2889"
"238","57","44248","4199","1648"
"239","57","36019","4093","1589"
"240","63","38322","473","3144"
"241","75","33703","738","4715"
"242","75","40953","683","4541"
"243","57","50188","4022","1559"
"244","63","38419","446","2816"
"245","75","162140","774","4835"
"246","75","37352","729","4779"
"247","63","36105","441","2820"
"248","63","36046","455","2850"
"249","75","47971","730","4803"
"250","57","32932","4083","1540"
"251","75","36169","733","4844"
"252","75","38556","763","5026"
"253","57","50393","4162","1588"
"254","57","47942","4179","1579"
"255","57","51518","4264","1627"
"256","57","47399","4105","1612"
"257","75","35955","706","4622"
"258","75","41653","778","4989"
"259","75","29769","730","4884"
"260","57","56841","4185","1606"
"261","75","40168","768","5114"
"262","57","49778","4169","1593"
"263","57","51772","4440","1710"
"264","57","44768","4289","1629"
"265","63","43163","447","2868"
"266","57","52301","4183","1652"
"267","63","35603","437","2860"
"268","63","36023","451","2898"
"269","63","36405","442","2972"
"270","57","50168","3944","1516"
"271","75","32299","736","4761"
"272","75","38526","774","4811"
"273","75","43648","732","4870"
"274","63","36426","437","2779"
"275","75","44308","721","4739"
"276","75","39933","727","4756"
"277","75","39629","752","4793"
"278","75","40492","776","5096"
"279","63","34590","457","2919"
"280","63","36009","436","2865"
"281","75","38385","759","4973"
"282","75","38531","722","4757"
"283","75","44549","823","5121"
"284","75","42022","779","5044"
"285","63","30741","442","2889"
"286","75","41068","715","4665"
"287","75","37092","795","5148"
"288","57","47212","4339","1627"
"289","75","26864","743","4950"
"290","57","41820","4393","1706"
"291","57","58787","4199","1623"
"292","63","40014","418","2672"
"293","0","43452","4110","1792"
"294","75","34946","732","4751"
"295","57","51109","4155","1607"
"296","75","40291","711","4701"
"297","57","40136","4302","1636"
"298","57","48618","4211","1599"
"299","57","48919","4479","1764"
"300","75","34852","725","4766"
"301","63","37461","451","2876"
"302","63","40494","460","2992"
"303","75","48909","757","5001"
"304","75","41139","757","5097"
