Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CYK SVG_lxb\Human CYK SVG_P1_F5.lxb Human CYK SVG 
"EventNo","RID","RP1","CL1","CL2"
"1","63","10083","427","2797"
"2","75","24","731","4533"
"3","75","31","698","4565"
"4","75","23","712","4689"
"5","75","15","697","4400"
"6","75","25","718","4634"
"7","75","21","718","4589"
"8","75","28","744","4859"
"9","75","49","795","5000"
"10","63","8942","432","2691"
"11","63","11605","442","2768"
"12","75","34","739","4648"
"13","63","14058","418","2639"
"14","75","23","679","4532"
"15","57","977","4417","1627"
"16","57","1206","4059","1492"
"17","57","1453","4153","1578"
"18","63","10146","431","2735"
"19","75","16","707","4694"
"20","63","12981","429","2802"
"21","75","31","755","4806"
"22","77","14","2158","4333"
"23","75","25","713","4620"
"24","75","23","765","5022"
"25","57","1438","4074","1568"
"26","75","86","746","4799"
"27","75","25","768","4825"
"28","57","1736","4112","1516"
"29","63","13035","449","2759"
"30","57","2243","4069","1597"
"31","75","30","733","4991"
"32","57","1006","3970","1503"
"33","75","22","729","4658"
"34","75","21","737","5024"
"35","57","1770","3976","1510"
"36","63","11831","433","2804"
"37","57","1825","4152","1639"
"38","63","14671","451","2829"
"39","63","13664","437","2738"
"40","63","11416","389","2505"
"41","63","11775","412","2738"
"42","75","166","761","5018"
"43","75","19","728","4713"
"44","57","1603","3904","1498"
"45","57","1989","4208","1638"
"46","75","14","734","4777"
"47","57","749","4396","1622"
"48","75","28","746","4983"
"49","75","16","739","4917"
"50","63","9291","448","2805"
"51","75","15","720","4673"
"52","63","13340","439","2873"
"53","75","36","771","4863"
"54","75","21","716","4888"
"55","75","14","758","4909"
"56","75","16","778","4911"
"57","57","2180","4101","1601"
"58","75","15","715","4604"
"59","63","11419","453","2872"
"60","57","1195","4106","1556"
"61","57","1614","4171","1625"
"62","63","11303","425","2706"
"63","75","25","724","4863"
"64","57","601","4049","1563"
"65","75","28","716","4729"
"66","75","18","734","4916"
"67","57","1099","3826","1450"
"68","57","613","4165","1625"
"69","75","15","758","5047"
"70","63","15565","409","2680"
"71","75","20","769","4931"
"72","63","14115","452","2842"
"73","63","12591","427","2735"
"74","63","12486","449","2849"
"75","63","9666","437","2881"
"76","75","23","725","4782"
"77","57","15","4183","1602"
"78","75","30","710","4565"
"79","63","12906","426","2798"
"80","57","705","4383","1654"
"81","57","1699","4144","1583"
"82","75","161","764","4939"
"83","75","34","718","4808"
"84","75","17","720","4802"
"85","63","13722","445","2847"
"86","57","1586","4312","1625"
"87","63","17661","445","2824"
"88","75","14","751","4828"
"89","75","27","732","4932"
"90","63","16927","444","2927"
"91","75","10","758","4933"
"92","63","10674","427","2819"
"93","57","713","3856","1501"
"94","63","14176","440","2779"
"95","63","14000","458","2908"
"96","57","1121","4359","1690"
"97","75","33","735","4773"
"98","63","9522","411","2666"
"99","75","24","733","4769"
"100","63","12085","424","2705"
"101","63","17863","490","3034"
"102","57","1267","4160","1602"
"103","63","12967","448","2899"
"104","57","778","3965","1518"
"105","63","14420","427","2825"
"106","75","11","718","4609"
"107","75","23","692","4570"
"108","75","53","738","4955"
"109","75","17","737","4725"
"110","75","26","726","4931"
"111","75","38","739","4890"
"112","57","1270","4125","1592"
"113","75","25","735","4686"
"114","57","950","4236","1612"
"115","75","26","748","4903"
"116","63","14000","416","2652"
"117","63","16727","440","2800"
"118","75","35","724","4731"
"119","63","11966","421","2654"
"120","63","14053","438","2821"
"121","57","1464","4080","1555"
"122","75","9","703","4647"
"123","75","20","761","5053"
"124","57","1554","4216","1579"
"125","63","14681","429","2792"
"126","57","925","4141","1585"
"127","75","17","729","4822"
"128","75","20","729","4643"
"129","57","1197","4010","1550"
"130","63","8534","447","2860"
"131","75","29","713","4582"
"132","57","627","4032","1542"
"133","57","1358","4279","1631"
"134","75","18","777","5257"
"135","57","1342","4132","1595"
"136","63","12408","445","2876"
"137","75","15","729","4998"
"138","75","27","729","4888"
"139","63","13591","457","2905"
"140","75","34","706","4737"
"141","75","23","725","4786"
"142","63","10345","430","2807"
"143","63","17974","459","2907"
"144","57","724","4437","1688"
"145","57","1272","4302","1654"
"146","75","29","733","4735"
"147","63","29639","462","2971"
"148","57","651","3995","1564"
"149","57","1076","4028","1484"
"150","57","2716","4240","1601"
"151","63","8919","438","2861"
"152","57","12","4342","1658"
"153","75","47","726","4684"
"154","75","37","757","4908"
"155","63","9436","434","2841"
"156","75","28","776","4998"
"157","75","22","783","5055"
"158","75","23","742","4780"
"159","57","673","4349","1639"
"160","63","4953","432","2801"
"161","57","599","4001","1532"
"162","75","22","730","4832"
"163","75","117","738","4805"
"164","75","26","729","4824"
"165","75","23","722","4877"
"166","63","12059","448","2821"
"167","57","885","4077","1562"
"168","57","1557","4271","1631"
"169","57","1247","4083","1567"
"170","63","10840","433","2835"
"171","75","30","724","4637"
"172","57","1880","4074","1590"
"173","63","11337","454","2892"
"174","75","16","746","4881"
"175","63","16693","433","2767"
"176","63","14146","426","2803"
"177","75","35","723","4804"
"178","63","11422","446","2842"
"179","75","50","735","4933"
"180","63","13241","430","2859"
"181","63","11958","405","2669"
"182","63","13108","433","2803"
"183","57","2633","4119","1593"
"184","75","32","725","4731"
"185","75","29","698","4458"
"186","63","9343","430","2797"
"187","57","1640","4192","1603"
"188","57","1095","4256","1607"
"189","63","10177","435","2865"
"190","75","25","729","4801"
"191","63","11668","423","2721"
"192","57","673","3954","1532"
"193","75","26","720","4656"
"194","57","2137","4041","1559"
"195","75","19","733","4860"
"196","63","11363","458","3017"
"197","57","2354","3942","1502"
"198","63","12863","468","3003"
"199","57","1046","4218","1614"
"200","75","17","730","4858"
"201","75","22","712","4539"
"202","57","11","3984","1509"
"203","57","584","4276","1655"
"204","75","22","749","4878"
"205","75","25","751","4897"
"206","63","13369","436","2743"
"207","63","13590","423","2809"
"208","57","1284","4223","1641"
"209","63","10211","452","2884"
"210","75","49","734","4797"
"211","75","32","700","4725"
"212","57","1098","4597","1841"
"213","63","11557","453","3022"
"214","63","13986","436","2805"
"215","75","25","759","5080"
"216","75","16","729","4816"
"217","63","11883","440","2837"
"218","57","1119","4557","1792"
"219","63","12844","441","2825"
"220","63","18299","433","2747"
"221","63","11289","412","2707"
"222","57","1454","4163","1564"
"223","57","1904","4484","1708"
"224","63","11528","445","2922"
"225","75","29","771","4867"
"226","63","14789","453","2947"
"227","57","1503","3948","1495"
"228","63","13249","456","2888"
"229","63","8161","416","2649"
"230","63","20345","454","2898"
"231","63","142126","480","2789"
"232","63","13630","429","2777"
"233","63","23896","449","2840"
"234","57","1723","4067","1572"
"235","75","25","754","4950"
"236","63","10439","456","2860"
"237","63","11663","423","2686"
"238","63","12353","464","3019"
"239","57","763","4060","1538"
"240","63","11911","455","2964"
"241","57","633","4218","1611"
"242","75","32","707","4792"
"243","57","1003","4315","1665"
"244","63","14262","434","2810"
"245","75","37","723","4808"
"246","75","28","699","4752"
"247","75","21","735","4834"
"248","75","14","757","5015"
"249","75","34","764","5029"
"250","57","1185","4356","1604"
"251","0","10","212","5174"
"252","63","16511","460","2921"
"253","63","11072","420","2700"
"254","57","873","4111","1562"
"255","63","12820","472","3018"
"256","63","12838","468","3039"
"257","63","12274","474","3081"
"258","63","11530","440","2871"
"259","63","12685","434","2820"
"260","63","12604","464","2973"
"261","63","16461","466","2933"
"262","57","1412","4309","1670"
"263","57","2117","4287","1687"
"264","63","11008","476","3060"
"265","63","10779","426","2742"
"266","63","12188","421","2697"
"267","75","22","713","4611"
"268","75","23","727","4764"
"269","63","12751","441","2797"
"270","57","1221","3750","1446"
"271","57","1650","4394","1715"
"272","75","23","714","4913"
"273","75","15","729","4763"
"274","75","29","737","4837"
"275","57","1838","4222","1644"
"276","75","50","752","4899"
"277","63","13213","459","2890"
"278","75","25","728","4783"
"279","57","1354","4161","1602"
"280","75","30","764","5061"
"281","63","13758","471","3065"
"282","63","13292","436","2808"
"283","75","68","742","4820"
"284","57","1805","4249","1630"
"285","75","15","736","4857"
"286","57","1167","4358","1671"
"287","57","884","4248","1641"
"288","75","19","760","4894"
"289","57","16","3934","1548"
"290","75","19","766","5164"
"291","75","43","718","4696"
"292","75","40","754","4852"
"293","63","12084","425","2794"
"294","63","10951","447","2887"
"295","75","34","718","4670"
"296","75","27","735","4857"
"297","75","25","781","5149"
"298","63","13070","437","2839"
"299","63","12511","435","2807"
"300","63","13523","444","2866"
"301","63","12888","422","2675"
"302","63","9213","464","3001"
"303","63","9942","422","2686"
"304","57","1096","3872","1485"
"305","63","13472","427","2797"
"306","57","1320","4340","1642"
"307","63","12785","463","3038"
"308","75","40","730","4840"
"309","63","11842","441","2844"
"310","57","645","4016","1554"
"311","57","798","4058","1572"
"312","63","11955","433","2822"
"313","63","12727","429","2766"
"314","57","1157","4146","1598"
"315","75","24","741","4799"
"316","57","650","4292","1624"
"317","57","862","4026","1545"
"318","57","1315","4359","1687"
"319","57","1109","4431","1680"
"320","75","29","755","4945"
"321","63","14059","454","2871"
"322","63","15219","450","2886"
"323","57","694","4199","1622"
"324","57","709","4203","1600"
"325","63","11566","468","2930"
