Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CYK SVG_lxb\Human CYK SVG_P1_G4.lxb Human CYK SVG 
"EventNo","RID","RP1","CL1","CL2"
"1","57","657","4125","1534"
"2","63","18698","452","2730"
"3","63","12666","446","2731"
"4","57","1930","4300","1617"
"5","75","23","731","4709"
"6","63","11643","441","2791"
"7","75","57","696","4471"
"8","75","15","695","4519"
"9","75","21","757","4727"
"10","63","11827","452","2836"
"11","63","14125","435","2753"
"12","75","22","737","4835"
"13","75","20","729","4660"
"14","75","16","719","4624"
"15","63","12501","457","2827"
"16","63","9025","446","2851"
"17","63","10590","431","2736"
"18","57","896","4146","1526"
"19","75","25","715","4743"
"20","57","1404","4157","1587"
"21","75","30","736","4755"
"22","75","22","738","4949"
"23","57","1380","4473","1638"
"24","57","1177","4147","1588"
"25","57","3943","4149","1607"
"26","75","15","754","4876"
"27","77","12","2236","4368"
"28","75","28","730","4696"
"29","75","23","692","4418"
"30","75","19","734","4661"
"31","63","13671","445","2874"
"32","75","23","763","4788"
"33","75","27","694","4468"
"34","63","11845","418","2631"
"35","63","12852","456","2825"
"36","63","14198","434","2752"
"37","75","32","711","4597"
"38","75","27","766","5100"
"39","63","12322","450","2803"
"40","75","33","697","4789"
"41","75","33","719","4703"
"42","57","877","4175","1543"
"43","63","23173","450","2818"
"44","75","18","703","4754"
"45","75","23","687","4608"
"46","63","11442","417","2642"
"47","63","11592","414","2732"
"48","75","20","744","4884"
"49","63","11867","420","2606"
"50","63","11844","449","2963"
"51","63","9730","434","2785"
"52","63","7533","441","2921"
"53","75","24","746","4795"
"54","63","15365","420","2672"
"55","75","15","669","4440"
"56","63","11963","450","2816"
"57","57","1455","4098","1602"
"58","63","10487","444","2872"
"59","75","19","723","4680"
"60","63","12979","446","2817"
"61","75","11","766","4902"
"62","63","11155","434","2776"
"63","57","919","4058","1546"
"64","63","9106","442","2755"
"65","63","13672","429","2818"
"66","75","69","749","4860"
"67","57","766","3911","1496"
"68","75","15","727","4932"
"69","75","16","772","4929"
"70","57","1125","4200","1613"
"71","75","41","749","5001"
"72","63","16082","434","2728"
"73","75","22","731","4741"
"74","75","18","715","4773"
"75","75","53","775","4965"
"76","57","1108","4189","1602"
"77","75","15","700","4784"
"78","75","29","704","4774"
"79","63","16737","427","2670"
"80","57","1378","4303","1627"
"81","75","31","734","4877"
"82","63","15574","439","2870"
"83","57","1502","3702","1438"
"84","75","26","726","4951"
"85","75","11","749","4838"
"86","63","11676","427","2738"
"87","75","33","714","4807"
"88","57","1489","4234","1588"
"89","75","23","751","4910"
"90","63","12459","422","2834"
"91","75","30","665","4333"
"92","75","18","735","4721"
"93","75","19","742","4748"
"94","57","868","4099","1638"
"95","75","31","720","4845"
"96","63","19528","429","2803"
"97","75","31","791","5449"
"98","75","16","761","5337"
"99","57","1566","4287","1656"
"100","75","26","696","4577"
"101","75","17","729","4605"
"102","75","47","729","4701"
"103","63","10554","402","2628"
"104","63","14331","446","2950"
"105","63","16502","419","2633"
"106","63","12742","423","2757"
"107","57","2354","4138","1629"
"108","57","1750","4412","1714"
"109","63","13276","469","2941"
"110","75","16","731","4871"
"111","57","1274","4075","1597"
"112","57","1197","4199","1601"
"113","57","1377","4334","1620"
"114","75","28","688","4492"
"115","63","11718","452","2925"
"116","75","38","736","4823"
"117","75","23","731","4803"
