Sample ID: C:\ProgramData\Luminex\xPONENT42\Batch\Human CYK SVG_lxb\Human CYK SVG_P1_H6.lxb Human CYK SVG 
"EventNo","RID","RP1","CL1","CL2"
"1","75","30","717","4456"
"2","75","19","679","4411"
"3","63","17876","450","2769"
"4","75","34","735","4755"
"5","63","12418","430","2782"
"6","63","13681","457","2849"
"7","63","17342","464","3009"
"8","57","1441","3985","1439"
"9","75","38","755","4709"
"10","63","16587","460","2861"
"11","75","15","716","4742"
"12","75","18","736","4624"
"13","75","24","738","4838"
"14","75","23","732","4656"
"15","57","1694","4236","1578"
"16","63","17633","429","2674"
"17","75","55","651","4309"
"18","75","31","745","4733"
"19","75","23","778","4928"
"20","77","13","2231","4394"
"21","57","1289","4150","1581"
"22","75","15","711","4770"
"23","63","14642","414","2618"
"24","63","18599","437","2769"
"25","75","17","767","4931"
"26","63","17061","459","2890"
"27","57","511","3889","1429"
"28","75","33","731","4827"
"29","63","15818","445","2904"
"30","57","22","4329","1630"
"31","57","803","4316","1619"
"32","63","13818","432","2831"
"33","75","28","757","4673"
"34","57","1338","3964","1506"
"35","75","25","712","4714"
"36","63","9706","425","2754"
"37","57","1736","4037","1543"
"38","63","12128","434","2835"
"39","57","2734","4161","1544"
"40","63","18475","434","2775"
"41","63","15299","455","2937"
"42","57","2292","4380","1638"
"43","63","15841","433","2708"
"44","57","795","4391","1656"
"45","63","5245","428","2734"
"46","75","15","756","4753"
"47","57","797","4111","1550"
"48","63","14295","438","2861"
"49","57","1599","4043","1562"
"50","57","2147","4291","1627"
"51","75","26","742","4779"
"52","63","20021","438","2885"
"53","63","12705","422","2785"
"54","75","41","744","4791"
"55","75","22","709","4785"
"56","75","17","735","4823"
"57","63","15959","434","2754"
"58","75","25","747","4915"
"59","75","32","718","4707"
"60","75","23","699","4613"
"61","57","3457","4167","1619"
"62","63","17234","427","2791"
"63","57","768","4053","1595"
"64","75","12","748","4943"
"65","75","21","763","4945"
"66","63","28","439","2742"
"67","75","24","708","4645"
"68","63","106","465","2913"
"69","75","21","766","4905"
"70","57","901","4038","1545"
"71","75","19","765","4883"
"72","63","15232","445","2795"
"73","63","19841","457","2916"
"74","57","776","4286","1600"
"75","63","18901","438","2811"
"76","75","20","757","5186"
"77","75","21","711","4821"
"78","75","19","718","4809"
"79","57","1453","4238","1597"
