"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","10/16/2019","9:50 PM"

"SN","MAGPX17165724"
"Batch","Human CYK SVG"
"Version","1"
"Operator",""
"ComputerName","ENV18022701X"
"Country Code","409"
"ProtocolName","Human Cytokine Chemokine AD"
"ProtocolVersion","5"
"ProtocolDescription",""
"ProtocolDevelopingCompany","Miliilpore"
"SampleWash","Off"
"SampleVolume","100 uL"
"BatchStartTime","10/16/2019 9:52:19 PM"
"BatchStopTime","10/16/2019 11:02:33 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","3"
"ProtocolAnalysis","Type","Quan","Mode","FitOfAllStandards"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 10/15/2019 15:47:30"
"Last VER Verification","Passed 10/15/2019 15:48:32"
"Last Fluidics Test","Passed 10/15/2019 15:49:52"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B62703","11/17/2019","10/15/2019 3:47:30 PM","26.4","26.4","26.4","26.4","252","284","353","353","0.00702","0.00697","0.00407","0.11954","Pass","MAGPX17165724"


"AssayLotInfo:"
"KitName","LotNumber","ExpirationDate","Manufacturer"
"Human CYK and CHK","8062-13K","02/01/2021","Millipore"
"Reagent","LotName","LotNumber","ExpirationDate","Manufacturer"
"Standard1","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard2","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard3","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard4","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard5","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard6","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Control1","CYK and CHK","HCY-113","02/01/2021","Millipore"
"Control2","CYK and CHK","HCY-213","02/01/2021","Millipore"


"Samples","35","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","15","16","17","1570"
"2(1,B1)","Background0","15","15","16","1573"
"3(1,C1)","Standard 1","15","77","19","1577"
"4(1,D1)","Standard 1","14.5","69","19","1416"
"5(1,E1)","Standard2","17","274","25","1614"
"6(1,F1)","Standard2","17","312.5","27","1377"
"7(1,G1)","Standard3","74.5","1423","178","1592"
"8(1,H1)","Standard3","70","1454","166","1727"
"9(1,A2)","Standard4","5423.5","9402","3351","1479"
"10(1,B2)","Standard4","5043","9414","3267","1489"
"11(1,C2)","Standard5","28332","27669","15375","1235"
"12(1,D2)","Standard5","29304","26865.5","15616","1147"
"13(1,E2)","Standard6","48975","35897","39042","1209"
"14(1,F2)","Standard6","48412","35274","37660.5","1211"
"17(1,A3)","Control1","2732","2769","1369","1503"
"18(1,B3)","Control1","2816","2887.5","1341","1276"
"19(1,C3)","Control2","13857","11657.5","6830","1390"
"20(1,D3)","Control2","14601","11867","6628","1435"
"21(1,E3)","Normoxia Control 1","1535","12766","24","1471"
"22(1,F3)","Normoxia Control 1","1584.5","13205","18","1214"
"23(1,G3)","Normoxia Control 1","1749","13424","22","1464"
"24(1,H3)","Normoxia Control 2","1504","12678","21","1541"
"25(1,A4)","Normoxia Control 2","1630","12842","22","1486"
"26(1,B4)","Normoxia Control 2","1638","12695","21","1364"
"27(1,C4)","Normoxia Control 3","1237","12020","20","1276"
"28(1,D4)","Normoxia Control 3","1264","11540","19","1119"
"29(1,E4)","Normoxia Control 3","1329","11818.5","22.5","1489"
"30(1,F4)","Normoxia DEP 1","1241","12196","21","1129"
"31(1,G4)","Normoxia DEP 1","1256","12517","23","1390"
"32(1,H4)","Normoxia DEP 1","1188","12250","21","1264"
"33(1,A5)","Normoxia DEP 2","1247","12425","22","1336"
"34(1,B5)","Normoxia DEP 2","1160","11812","20","1407"
"35(1,C5)","Normoxia DEP 2","1271","12374","20","1473"
"36(1,D5)","Normoxia DEP 3","1209.5","12754","22","1223"
"37(1,E5)","Normoxia DEP 3","1249","12876.5","22","1465"
"38(1,F5)","Normoxia DEP 3","1273","12768","24","1207"
"39(1,G5)","Normoxia Ox66 1","1620","15644","21","1355"
"40(1,H5)","Normoxia Ox66 1","1742.5","15956","20","1298"
"41(1,A6)","Normoxia Ox66 1","1599","15717","21","1575"
"42(1,B6)","Normoxia Ox66 2","1575","14680.5","21","1407"
